ADDRESS,POINTS
375 ROYAL ELM RD NW,-11264.950 10639.702|-11278.204 10655.069|-11279.371 10656.437|-11326.131 10662.553|-11331.926 10663.309|-11334.533 10670.648|-11337.176 10678.076|-11340.259 10686.726|-11358.189 10686.738|-11361.691 10686.738|-11362.313 10686.738|-11362.286 10655.114|-11362.244 10614.350|-11362.062 10612.048|-11361.531 10609.791|-11360.734 10607.811|-11359.664 10605.954|-11358.350 10604.275|-11356.805 10602.808|-11354.687 10601.340|-11352.345 10600.261|-11349.856 10599.605|-11347.291 10599.372|-11338.434 10599.372|-11319.874 10599.383|-11304.684 10599.172|-11293.695 10598.738|-11282.720 10598.071|-11272.045 10597.370|-11261.357 10596.914
1 ROYAL BIRCH VI NW,-10195.239 11267.842|-10201.356 11275.470|-10220.887 11259.814|-10217.406 11255.477|-10216.875 11254.810|-10214.771 11252.186|-10211.716 11254.632
3 ROYAL BIRCH VI NW,-10201.356 11275.470|-10204.991 11280.007|-10224.515 11264.351|-10222.146 11261.393|-10220.887 11259.814
5 ROYAL BIRCH VI NW,-10204.991 11280.007|-10208.626 11284.544|-10228.151 11268.888|-10227.410 11267.965|-10224.515 11264.351
7 ROYAL BIRCH VI NW,-10208.626 11284.544|-10212.254 11289.081|-10231.786 11273.424|-10231.052 11272.501|-10228.151 11268.888
9 ROYAL BIRCH VI NW,-10212.254 11289.081|-10215.889 11293.617|-10235.421 11277.961|-10234.687 11277.049|-10231.786 11273.424
11 ROYAL BIRCH VI NW,-10215.889 11293.617|-10219.014 11297.520|-10223.089 11297.798|-10240.272 11284.021|-10238.322 11281.586|-10235.421 11277.961
111 ROYAL BIRCH VI NW,-10190.486 11221.874|-10186.054 11216.337|-10168.550 11230.370|-10168.564 11231.337|-10168.669 11232.293|-10168.850 11233.238|-10169.123 11234.161|-10169.465 11235.062|-10169.892 11235.929|-10170.388 11236.752|-10170.961 11237.531
113 ROYAL BIRCH VI NW,-10170.961 11237.531|-10174.589 11242.067|-10194.121 11226.411|-10190.486 11221.874
115 ROYAL BIRCH VI NW,-10174.589 11242.067|-10178.225 11246.604|-10197.756 11230.937|-10194.121 11226.411
117 ROYAL BIRCH VI NW,-10178.225 11246.604|-10181.860 11251.141|-10201.391 11235.473|-10197.756 11230.937
119 ROYAL BIRCH VI NW,-10181.860 11251.141|-10185.495 11255.666|-10205.019 11240.010|-10202.328 11236.652|-10201.391 11235.473
121 ROYAL BIRCH VI NW,-10185.495 11255.666|-10189.130 11260.203|-10208.654 11244.547|-10205.963 11241.189|-10205.019 11240.010
123 ROYAL BIRCH VI NW,-10189.130 11260.203|-10193.653 11265.852|-10195.239 11267.842|-10211.716 11254.632|-10214.771 11252.186|-10213.240 11250.273|-10209.605 11245.737|-10208.654 11244.547
47 ROYAL BIRCH VI NW,-10245.599 11290.671|-10250.038 11296.208|-10261.908 11287.579|-10262.858 11285.567|-10268.248 11282.287|-10266.577 11276.360|-10266.130 11275.748
49 ROYAL BIRCH VI NW,-10241.964 11286.134|-10245.599 11290.671|-10266.130 11275.748|-10262.711 11271.045
51 ROYAL BIRCH VI NW,-10240.272 11284.021|-10241.964 11286.134|-10262.711 11271.045|-10259.300 11266.341|-10238.322 11281.586
53 ROYAL BIRCH VI NW,-10235.421 11277.961|-10238.322 11281.586|-10259.300 11266.341|-10255.882 11261.638|-10234.687 11277.049
55 ROYAL BIRCH VI NW,-10231.786 11273.424|-10234.687 11277.049|-10255.882 11261.638|-10252.484 11256.923|-10231.052 11272.501
57 ROYAL BIRCH VI NW,-10228.151 11268.888|-10231.052 11272.501|-10252.484 11256.923|-10248.661 11252.520|-10227.410 11267.965
59 ROYAL BIRCH VI NW,-10224.515 11264.351|-10227.410 11267.965|-10248.661 11252.520|-10242.397 11245.292|-10222.146 11261.393
63 ROYAL BIRCH VI NW,-10220.887 11259.814|-10222.146 11261.393|-10242.397 11245.292|-10239.678 11242.156|-10236.155 11238.087|-10216.875 11254.810|-10217.406 11255.477
65 ROYAL BIRCH VI NW,-10214.771 11252.186|-10216.875 11254.810|-10236.155 11238.087|-10232.345 11233.694|-10213.240 11250.273
67 ROYAL BIRCH VI NW,-10209.605 11245.737|-10213.240 11250.273|-10232.345 11233.694|-10228.542 11229.302
69 ROYAL BIRCH VI NW,-10208.654 11244.547|-10209.605 11245.737|-10228.542 11229.302|-10224.732 11224.910|-10205.963 11241.189
71 ROYAL BIRCH VI NW,-10205.019 11240.010|-10205.963 11241.189|-10224.732 11224.910|-10220.929 11220.518|-10202.328 11236.652
73 ROYAL BIRCH VI NW,-10201.391 11235.473|-10202.328 11236.652|-10220.929 11220.518|-10216.281 11215.158|-10197.756 11230.937
2 ROYAL BIRCH VI NW,-10172.394 11290.170|-10173.520 11291.571|-10175.393 11293.906|-10179.979 11299.644|-10196.351 11286.512|-10198.937 11284.444|-10195.100 11279.651|-10194.533 11279.040|-10193.897 11278.517|-10193.191 11278.083|-10192.429 11277.750|-10191.632 11277.527|-10190.807 11277.416|-10189.976 11277.416|-10189.158 11277.538|-10187.843 11277.983|-10186.676 11278.717
4 ROYAL BIRCH VI NW,-10179.979 11299.644|-10183.614 11304.181|-10199.986 11291.049|-10202.572 11288.980|-10198.937 11284.444|-10196.351 11286.512
6 ROYAL BIRCH VI NW,-10183.614 11304.181|-10187.249 11308.718|-10203.621 11295.585|-10206.207 11293.517|-10202.572 11288.980|-10199.986 11291.049
8 ROYAL BIRCH VI NW,-10187.249 11308.718|-10190.884 11313.254|-10207.249 11300.122|-10209.842 11298.054|-10206.207 11293.517|-10203.621 11295.585
