ADDRESS,POINTS
101 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
102 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
103 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
104 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
105 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
106 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
107 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
108 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
109 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
110 3 SOMERVALE VW SW,52.541 -16791.586|52.737 -16702.719|52.758 -16694.190|42.741 -16695.247|32.772 -16696.725|25.530 -16698.060|18.323 -16699.617|11.172 -16701.373|4.076 -16703.353|-2.963 -16705.543|-9.926 -16707.945|-16.825 -16710.547|-23.634 -16713.349|-25.458 -16714.328|-27.080 -16715.606|-28.464 -16717.152|-29.562 -16718.909|-30.338 -16720.821|-30.778 -16722.845|-30.862 -16724.913|-30.596 -16726.971|-26.060 -16747.597|-20.523 -16761.719|-17.252 -16770.781|-14.169 -16779.899|-11.282 -16789.095|-8.583 -16798.335|-5.515 -16809.866|-2.746 -16821.486|-0.272 -16833.162|1.888 -16844.893|3.755 -16856.691|5.307 -16868.522|6.551 -16880.397|7.488 -16892.295|8.061 -16902.169|8.466 -16912.043|32.304 -16912.054|52.318 -16912.054|52.283 -16910.198|52.513 -16806.575
