ADDRESS,POINTS
1 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
2 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
3 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
4 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
5 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
6 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
7 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
8 11232 6 ST SW,-523.229 -10643.685|-519.650 -10593.392|-547.955 -10606.301|-548.038 -10650.702|-541.216 -10650.702|-538.077 -10647.555|-536.567 -10646.231|-534.889 -10645.120|-533.086 -10644.230|-531.177 -10643.596|-529.206 -10643.218|-527.200 -10643.107|-525.194 -10643.263
11412 ELBOW DR SW,-867.524 -10609.348|-900.883 -10600.074|-900.869 -10612.495|-900.932 -10622.892|-867.615 -10623.114
11416 ELBOW DR SW,-867.615 -10623.114|-900.932 -10622.892|-901.058 -10641.172|-867.734 -10641.394
