ADDRESS,POINTS
1101 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1102 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1103 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1104 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1105 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1107 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1108 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1109 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1110 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1201 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1202 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1203 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1204 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1205 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1206 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1207 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1208 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1209 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1210 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1301 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1302 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
1303 205 HERITAGE DR SE,334.390 -7626.878|252.120 -7626.922|251.190 -7629.235|250.519 -7631.637|250.113 -7634.094|249.973 -7636.585|249.959 -7648.772|249.862 -7653.153|249.575 -7657.534|249.093 -7661.893|248.422 -7666.219|247.569 -7670.522|246.527 -7674.781|245.297 -7678.995|243.892 -7683.142|213.294 -7767.306|211.344 -7773.377|209.841 -7779.571|209.792 -7800.453|214.329 -7805.023|334.537 -7805.101
