ADDRESS,POINTS
6615 BOWNESS RD NW,-7919.175 4402.812|-7925.578 4407.360|-7945.249 4379.517|-7941.027 4376.514|-7934.002 4386.466|-7931.821 4384.910
6613 BOWNESS RD NW,-7912.667 4398.197|-7919.175 4402.812|-7931.821 4384.910|-7931.527 4384.698|-7934.309 4375.480|-7930.835 4372.467
6611A BOWNESS RD NW,-7900.755 4389.758|-7906.711 4393.983|-7925.292 4367.663|-7919.741 4362.860
6611B BOWNESS RD NW,-7906.711 4393.983|-7912.667 4398.197|-7930.835 4372.467|-7925.292 4367.663
7708 BOWNESS RD NW,-8752.132 4562.688|-8749.084 4565.757|-8749.210 4592.633|-8771.957 4592.511|-8771.824 4562.588
7712 BOWNESS RD NW,-8771.824 4562.588|-8771.957 4592.511|-8794.704 4592.388|-8794.585 4562.455
7720 BOWNESS RD NW,-8817.395 4562.343|-8817.542 4592.266|-8840.359 4592.144|-8840.191 4562.221
4106 67 ST NW,-8099.487 4594.012|-8115.558 4605.354|-8115.558 4578.633
4108 67 ST NW,-8115.558 4619.120|-8115.558 4605.354|-8099.487 4594.012|-8091.204 4601.940
7728 BOWNESS RD NW,-8862.987 4562.110|-8863.176 4592.021|-8885.986 4591.899|-8885.832 4561.988
7732 BOWNESS RD NW,-8885.832 4561.988|-8885.986 4591.899|-8908.817 4591.788|-8908.642 4561.865
1 7736 BOWNESS RD NW,-8908.642 4561.865|-8908.817 4591.788|-8929.425 4591.677|-8929.348 4566.346|-8924.818 4561.787
1 7734 BOWNESS RD NW,-8908.642 4561.865|-8908.817 4591.788|-8929.425 4591.677|-8929.348 4566.346|-8924.818 4561.787
2 7736 BOWNESS RD NW,-8908.642 4561.865|-8908.817 4591.788|-8929.425 4591.677|-8929.348 4566.346|-8924.818 4561.787
2 7734 BOWNESS RD NW,-8908.642 4561.865|-8908.817 4591.788|-8929.425 4591.677|-8929.348 4566.346|-8924.818 4561.787
6716 BOWNESS RD NW,-8017.272 4549.778|-8029.680 4558.529|-8051.575 4527.384|-8039.174 4518.633
7915 43 AV NW,-8951.745 4786.212|-9065.173 4786.234|-9065.166 4766.164|-9024.726 4766.364|-9024.719 4734.962|-8951.731 4735.340
7508 BOWNESS RD NW,-8596.685 4563.400|-8596.860 4593.233|-8615.049 4593.156|-8614.930 4563.322
6720 BOWNESS RD NW,-8029.680 4558.529|-8042.137 4567.325|-8064.067 4536.190|-8051.575 4527.384
6724 BOWNESS RD NW,-8042.137 4567.325|-8054.497 4576.043|-8057.635 4578.255|-8076.608 4551.368|-8079.592 4547.143|-8076.377 4544.875|-8064.067 4536.190
6635 BOWNESS RD NW,-7975.336 4442.542|-7987.752 4451.326|-8001.005 4432.546|-7988.583 4423.761
7504 BOWNESS RD NW,-8564.704 4563.544|-8562.145 4568.593|-8584.137 4599.872|-8596.860 4593.233|-8596.685 4563.400
7520 BOWNESS RD NW,-8637.740 4563.166|-8637.873 4593.055|-8660.683 4592.955|-8660.557 4563.066
6728 BOWNESS RD NW,-8076.608 4551.368|-8057.635 4578.255|-8066.905 4584.794|-8073.126 4589.175|-8094.999 4558.007|-8088.785 4553.615|-8079.592 4547.143
6634 BOWWOOD DR NW,-7988.583 4423.761|-8001.005 4432.546|-8004.990 4426.897|-8014.371 4413.598|-8008.499 4408.694|-8002.837 4403.557
6604 BOWNESS RD NW,-7839.477 4423.972|-7851.857 4432.746|-7851.892 4432.768|-7870.829 4405.881|-7873.814 4401.645|-7861.392 4392.849
