ADDRESS,POINTS
539 21 AV SW,-153.748 -1540.879|-168.945 -1540.890|-168.917 -1577.462|-153.727 -1577.451
1917 5 ST SW,-204.275 -1377.045|-239.206 -1377.056|-239.192 -1392.267|-204.268 -1392.278
518 22 AV SW,-77.761 -1583.511|-92.951 -1583.511|-92.930 -1620.072|-77.733 -1620.072
2301 5 ST SW,-185.925 -1776.123|-158.795 -1776.090|-164.107 -1767.194|-169.148 -1758.143|-173.929 -1748.947|-178.424 -1739.618|-186.044 -1739.618
601 23 AV SW,-185.925 -1776.123|-158.795 -1776.090|-164.107 -1767.194|-169.148 -1758.143|-173.929 -1748.947|-178.424 -1739.618|-186.044 -1739.618
2303 5 ST SW,-185.925 -1776.123|-158.795 -1776.090|-164.107 -1767.194|-169.148 -1758.143|-173.929 -1748.947|-178.424 -1739.618|-186.044 -1739.618
603 23 AV SW,-185.925 -1776.123|-158.795 -1776.090|-164.107 -1767.194|-169.148 -1758.143|-173.929 -1748.947|-178.424 -1739.618|-186.044 -1739.618
1909 5A ST SW,-300.268 -1364.268|-300.268 -1361.833|-300.282 -1346.599|-333.682 -1346.744|-333.675 -1362.044|-333.675 -1364.480
1722 5A ST SW,-245.379 -1220.026|-280.317 -1219.882|-280.303 -1235.115|-245.372 -1235.104
513 18 AV SW,-67.835 -1242.932|-77.957 -1242.888|-77.915 -1279.493|-67.821 -1279.504
1 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
2 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
3 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
4 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
5 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
6 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
7 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
8 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
9 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
10 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
11 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
12 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
13 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
14 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
15 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
16 515 18 AV SW,-77.957 -1242.888|-108.330 -1242.910|-108.282 -1279.504|-77.915 -1279.493
527 18 AV SW,-108.330 -1242.910|-123.514 -1242.910|-123.472 -1279.504|-108.282 -1279.504
1740 5A ST SW,-245.344 -1280.794|-280.275 -1280.805|-280.261 -1296.039|-245.330 -1296.028
1715 5 ST SW,-204.387 -1199.544|-239.325 -1199.555|-239.318 -1204.637|-239.318 -1209.718|-204.380 -1209.707|-204.387 -1204.626
1717 5 ST SW,-204.380 -1209.707|-239.318 -1209.718|-239.311 -1219.871|-204.380 -1219.859
627 23 AV SW,-257.353 -1739.662|-264.931 -1739.662|-272.509 -1739.674|-280.086 -1739.674|-280.072 -1776.056|-279.968 -1776.223|-272.495 -1776.223|-264.903 -1776.223|-257.312 -1776.212
1815 5 ST SW,-204.338 -1280.783|-239.269 -1280.794|-239.255 -1296.028|-204.331 -1296.017
1 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
2 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
3 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
4 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
5 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
6 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
7 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
8 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
9 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
10 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
11 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
12 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
13 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
14 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
15 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
16 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
17 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
18 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
19 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
20 616 24 AV SW,-176.362 -1782.250|-216.844 -1782.261|-216.844 -1818.844|-176.341 -1818.800
1809 5 ST SW,-204.359 -1250.316|-239.290 -1250.327|-239.276 -1265.561|-204.345 -1265.549
104 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
103 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
102 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
101 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
205 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
204 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
203 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
202 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
201 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
207 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
206 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
305 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
304 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
303 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
302 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
301 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
307 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
306 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
405 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
404 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
403 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
402 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
401 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
407 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
406 626 24 AV SW,-216.844 -1782.261|-276.144 -1782.306|-260.157 -1807.880|-256.591 -1813.429|-252.859 -1818.867|-216.844 -1818.844
1809 5 ST SW,-204.345 -1265.549|-239.276 -1265.561|-239.269 -1280.794|-204.338 -1280.783
109 540 18 AV SW,-123.598 -1186.312|-182.220 -1186.334|-182.206 -1218.392|-177.641 -1222.884|-123.598 -1222.862
108 540 18 AV SW,-123.598 -1186.312|-182.220 -1186.334|-182.206 -1218.392|-177.641 -1222.884|-123.598 -1222.862
107 540 18 AV SW,-123.598 -1186.312|-182.220 -1186.334|-182.206 -1218.392|-177.641 -1222.884|-123.598 -1222.862
106 540 18 AV SW,-123.598 -1186.312|-182.220 -1186.334|-182.206 -1218.392|-177.641 -1222.884|-123.598 -1222.862
105 540 18 AV SW,-123.598 -1186.312|-182.220 -1186.334|-182.206 -1218.392|-177.641 -1222.884|-123.598 -1222.862
