ADDRESS,POINTS
7000 SOMERVALE CO SW,140.985 -16894.652|140.656 -16886.769|140.188 -16878.885|139.580 -16871.024|138.839 -16863.173|137.958 -16855.323|136.944 -16847.506|135.791 -16839.700|134.505 -16831.916|133.093 -16824.444|131.485 -16817.016|129.674 -16809.633|127.661 -16802.294|122.572 -16784.658|121.747 -16781.834|121.146 -16780.366|120.244 -16779.065|119.084 -16777.976|117.728 -16777.164|116.232 -16776.652|114.659 -16776.474|113.086 -16776.630|111.583 -16777.119|109.052 -16778.343|106.585 -16779.699|104.201 -16781.178|101.901 -16782.790|99.685 -16784.525|97.567 -16786.382|95.554 -16788.339|93.652 -16790.418|91.954 -16792.253|90.164 -16794.010|88.277 -16795.667|86.312 -16797.212|84.264 -16798.658|82.146 -16799.992|79.958 -16801.215|77.707 -16802.316|75.407 -16803.295|73.051 -16804.151|70.661 -16804.874|68.228 -16805.474|65.767 -16805.941|63.293 -16806.286|60.797 -16806.486|58.295 -16806.564|52.513 -16806.575|52.283 -16910.198|117.553 -16910.198|117.301 -16906.472|122.929 -16906.005|131.548 -16895.464
8000 SOMERVALE CO SW,52.541 -16791.586|58.260 -16791.575|61.678 -16791.386|65.061 -16790.830|68.361 -16789.918|71.542 -16788.661|74.582 -16787.071|77.434 -16785.181|80.063 -16782.979|82.454 -16780.522|85.131 -16777.620|87.983 -16774.896|90.982 -16772.327|94.128 -16769.947|97.406 -16767.757|100.811 -16765.766|104.327 -16763.976|107.941 -16762.397|109.206 -16761.741|110.325 -16760.852|111.254 -16759.762|111.960 -16758.528|112.422 -16757.171|112.618 -16755.748|112.541 -16754.324|112.191 -16752.935|91.450 -16694.035|85.536 -16690.443|69.172 -16692.556|52.758 -16694.190|52.737 -16702.719
112 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
114 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
116 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
118 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
119 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
117 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
115 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
113 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
111 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
110 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
109 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
107 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
105 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
103 2000 SOMERVALE CO SW,255.014 -16825.456|226.409 -16744.840|217.880 -16746.852|188.674 -16753.757|189.240 -16756.215|141.286 -16767.534|144.515 -16778.242|146.682 -16786.160|148.632 -16794.121|150.373 -16802.138|151.890 -16810.189|155.050 -16828.291|156.189 -16835.085|157.601 -16844.581|182.082 -16842.947|241.774 -16828.636|242.277 -16828.514
