ADDRESS,POINTS
1705 26 AV SW,-2007.776 -2003.784|-2003.966 -2003.773|-1996.374 -2003.750|-1988.783 -2003.739|-1981.184 -2003.717|-1981.247 -1965.566|-1988.839 -1965.588|-1996.430 -1965.610|-2004.022 -1965.633|-2007.755 -1965.633
1823 26 AV SW,-2228.892 -2004.206|-2228.892 -1966.111|-2236.476 -1966.122|-2244.047 -1966.133|-2244.068 -2004.217|-2236.483 -2004.206
1827 26 AV SW,-2244.068 -2004.217|-2244.047 -1966.133|-2251.632 -1966.144|-2259.356 -1966.155|-2259.258 -2004.240|-2251.653 -2004.228
1837 26 AV SW,-2274.428 -2004.262|-2274.533 -1966.178|-2282.110 -1966.189|-2289.709 -1966.211|-2289.597 -2004.273|-2282.005 -2004.273
1839 26 AV SW,-2289.597 -2004.273|-2289.709 -1966.211|-2297.300 -1966.211|-2304.899 -1966.233|-2304.773 -2004.295|-2297.182 -2004.284
1711 26 AV SW,-2007.776 -2003.784|-2007.755 -1965.633|-2011.614 -1965.644|-2019.198 -1965.666|-2026.790 -1965.688|-2034.382 -1965.711|-2034.333 -2003.850|-2026.741 -2003.828|-2019.149 -2003.817|-2011.558 -2003.795
1717 26 AV SW,-2034.333 -2003.850|-2034.382 -1965.711|-2041.973 -1965.733|-2049.565 -1965.744|-2057.150 -1965.766|-2057.108 -2003.906|-2049.516 -2003.895|-2041.924 -2003.873
1831 26 AV SW,-2259.258 -2004.240|-2259.356 -1966.155|-2274.533 -1966.178|-2274.428 -2004.262
1531 26 AV SW,-1751.435 -2003.450|-1751.428 -1965.399|-1759.020 -1965.410|-1759.027 -2003.461
1535 26 AV SW,-1759.027 -2003.461|-1759.020 -1965.410|-1766.604 -1965.421|-1774.196 -1965.444|-1781.781 -1965.455|-1789.372 -1965.455|-1789.386 -2003.517|-1781.795 -2003.495|-1774.210 -2003.483|-1766.618 -2003.472
101 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
102 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
104 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
105 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
106 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
107 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
108 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
201 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
202 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
204 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
205 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
206 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
207 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
208 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
301 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
302 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
304 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
305 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
306 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
307 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
308 1513 26 AV SW,-1675.539 -2003.339|-1675.546 -1965.299|-1705.899 -1965.333|-1705.899 -2003.383
1735 26 AV SW,-2087.467 -2003.995|-2087.502 -1965.855|-2095.094 -1965.866|-2102.686 -1965.888|-2110.277 -1965.911|-2117.862 -1965.933|-2117.834 -2004.073|-2110.249 -2004.051|-2102.658 -2004.028|-2095.066 -2004.006
1737 26 AV SW,-2117.834 -2004.073|-2117.862 -1965.933|-2125.454 -1965.944|-2133.045 -1965.966|-2133.017 -2004.106|-2125.433 -2004.084
1 1607 26 AV SW,-1824.618 -1965.610|-1839.802 -1965.622|-1839.830 -2003.695|-1824.660 -2003.673
