ADDRESS,POINTS
103 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
102 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
101 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
203 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
202 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
201 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
303 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
302 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
301 705 56 AV SW,-548.150 -4976.569|-565.165 -4976.558|-565.242 -5013.074|-548.234 -5013.074
101 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
102 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
103 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
104 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
105 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
106 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
107 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
108 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
109 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
110 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
111 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
112 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
113 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
114 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
201 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
202 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
203 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
204 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
205 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
206 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
207 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
208 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
209 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
210 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
211 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
212 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
213 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
214 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
215 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
216 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
301 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
302 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
303 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
304 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
305 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
306 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
307 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
308 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
309 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
310 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
311 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
312 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
313 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
314 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
315 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
316 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
401 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
402 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
403 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
404 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
405 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
406 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
407 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
408 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
409 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
410 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
411 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
412 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
413 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
414 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
416 727 56 AV SW,-565.165 -4976.558|-649.470 -4976.524|-649.533 -5013.052|-616.154 -5013.063|-565.242 -5013.074
114 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
113 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
112 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
111 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
101 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
102 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
103 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
104 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
105 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
106 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
107 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
108 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
109 525 56 AV SW,-240.450 -4976.680|-337.122 -4976.647|-341.575 -4981.139|-341.638 -5013.119|-240.541 -5013.185
