ADDRESS,POINTS
101 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
102 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
103 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
104 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
105 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
106 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
107 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
108 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
201 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
202 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
203 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
204 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
205 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
206 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
207 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
208 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
301 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
302 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
303 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
304 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
305 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
306 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
307 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
308 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
401 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
402 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
403 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
404 659 4 AV NE,1602.519 854.048|1602.540 880.846|1597.989 885.427|1555.284 885.616|1555.228 854.248|1562.806 854.215|1570.398 854.182|1577.996 854.148|1585.588 854.126|1593.180 854.093
