ADDRESS,POINTS
273 INGLEWOOD GV SE,3655.937 -787.534|3655.923 -765.094|3655.776 -764.327|3655.342 -763.682|3654.692 -763.249|3653.930 -763.093|3647.569 -763.093|3647.576 -787.545
277 INGLEWOOD GV SE,3647.576 -787.545|3647.569 -763.093|3641.795 -763.093|3641.809 -787.545
281 INGLEWOOD GV SE,3641.809 -787.545|3641.795 -763.093|3636.028 -763.104|3636.035 -787.545
285 INGLEWOOD GV SE,3636.035 -787.545|3636.028 -763.104|3630.254 -763.104|3630.261 -787.545
289 INGLEWOOD GV SE,3630.261 -787.545|3630.254 -763.104|3624.486 -763.104|3624.493 -787.556
293 INGLEWOOD GV SE,3624.493 -787.556|3624.486 -763.104|3617.468 -763.104|3617.475 -787.556
301 INGLEWOOD GV SE,3617.475 -787.556|3617.468 -763.104|3610.450 -763.104|3610.457 -787.556
305 INGLEWOOD GV SE,3610.457 -787.556|3610.450 -763.104|3604.675 -763.115|3604.689 -787.567
309 INGLEWOOD GV SE,3604.689 -787.567|3604.675 -763.115|3598.908 -763.115|3598.915 -787.567
313 INGLEWOOD GV SE,3598.915 -787.567|3598.908 -763.115|3593.134 -763.115|3593.148 -787.567
317 INGLEWOOD GV SE,3593.148 -787.567|3593.134 -763.115|3586.479 -763.115|3585.661 -763.182|3584.871 -763.382|3584.123 -763.716|3583.438 -764.160|3582.830 -764.705|3582.327 -765.350|3581.935 -766.073|3581.663 -766.840|3576.210 -787.578
