ADDRESS,POINTS
821 2 AV NW,-533.163 929.583|-558.266 956.092|-563.767 950.855|-538.671 924.335
821 2 AV NW,-538.671 924.335|-563.767 950.855|-569.276 945.606|-544.173 919.097
821 2 AV NW,-544.173 919.097|-569.276 945.606|-574.784 940.358|-549.681 913.849
821 2 AV NW,-549.681 913.849|-574.784 940.358|-580.286 935.120|-555.183 908.600
821 2 AV NW,-555.183 908.600|-580.286 935.120|-585.794 929.872|-591.303 924.624|-566.193 898.115|-560.691 903.363
821 2 AV NW,-566.193 898.115|-591.303 924.624|-596.811 919.386|-602.313 914.138|-577.203 887.629|-571.701 892.866
821 2 AV NW,-577.203 887.629|-602.313 914.138|-607.821 908.890|-582.711 882.381
821 2 AV NW,-582.711 882.381|-607.821 908.890|-613.330 903.652|-588.213 877.132
821 2 AV NW,-588.213 877.132|-613.330 903.652|-618.831 898.404|-624.340 893.155|-599.223 866.647|-593.721 871.895
821 2 AV NW,-599.223 866.647|-624.340 893.155|-629.848 887.918|-635.350 882.670|-640.858 877.421|-646.367 872.173|-621.243 845.664|-615.741 850.913|-610.233 856.161|-604.731 861.398
821 2 AV NW,-621.243 845.664|-646.367 872.173|-651.868 866.936|-657.377 861.687|-632.253 835.178|-626.744 840.427
821 2 AV NW,-650.554 876.599|-675.671 903.107|-681.179 897.859|-686.688 892.622|-661.564 866.102|-656.055 871.350
821 2 AV NW,-639.537 887.084|-664.654 913.593|-670.162 908.356|-675.671 903.107|-650.554 876.599|-645.045 881.836
821 2 AV NW,-628.527 897.581|-653.644 924.090|-659.152 918.842|-664.654 913.593|-639.537 887.084|-634.028 892.333
821 2 AV NW,-617.510 908.067|-642.627 934.576|-648.135 929.327|-653.644 924.090|-628.527 897.581|-623.018 902.818
821 2 AV NW,-606.500 918.552|-631.610 945.061|-637.118 939.824|-642.627 934.576|-617.510 908.067|-612.001 913.315
821 2 AV NW,-598.237 926.425|-623.347 952.934|-626.101 950.310|-631.610 945.061|-606.500 918.552|-600.991 923.801
821 2 AV NW,-589.974 934.286|-615.084 960.806|-620.593 955.558|-623.347 952.934|-598.237 926.425|-595.483 929.049
821 2 AV NW,-584.473 939.535|-609.576 966.044|-615.084 960.806|-589.974 934.286
821 2 AV NW,-573.456 950.021|-598.559 976.541|-604.067 971.292|-609.576 966.044|-584.473 939.535|-578.964 944.783
821 2 AV NW,-551.429 971.003|-576.525 997.512|-582.033 992.275|-587.542 987.026|-593.050 981.778|-598.559 976.541|-573.456 950.021|-567.954 955.269|-562.446 960.517|-556.937 965.755
821 2 AV NW,-547.249 966.589|-551.429 971.003|-556.937 965.755|-562.446 960.517|-567.954 955.269|-573.456 950.021|-578.964 944.783|-584.473 939.535|-589.974 934.286|-595.483 929.049|-598.237 926.425|-600.991 923.801|-606.500 918.552|-612.001 913.315|-617.510 908.067|-623.018 902.818|-628.527 897.581|-634.028 892.333|-639.537 887.084|-645.045 881.836|-650.554 876.599|-656.055 871.350|-661.564 866.102|-657.377 861.687|-651.868 866.936|-646.367 872.173|-640.858 877.421|-635.350 882.670|-629.848 887.918|-624.340 893.155|-618.831 898.404|-613.330 903.652|-607.821 908.890|-602.313 914.138|-596.811 919.386|-591.303 924.624|-585.794 929.872|-580.286 935.120|-574.784 940.358|-569.276 945.606|-563.767 950.855|-558.266 956.092|-552.757 961.340
605 1 AV NW,-315.137 1070.222|-315.291 1109.096|-334.067 1091.227
821 2 AV NW,-533.163 929.583|-527.661 934.831|-522.153 940.069|-547.249 966.589|-552.757 961.340|-558.266 956.092
