ADDRESS,POINTS
1439 23 AV NW,-1605.103 2753.925|-1605.208 2790.508|-1612.779 2790.486|-1620.350 2790.475|-1620.301 2753.914|-1612.702 2753.925
1435 23 AV NW,-1589.906 2753.936|-1590.074 2790.530|-1597.638 2790.519|-1605.208 2790.508|-1605.103 2753.925|-1597.505 2753.936
D 1712 15 ST NW,-1768.387 2194.692|-1791.176 2194.681|-1791.071 2158.120|-1768.289 2158.142
C 1712 15 ST NW,-1768.387 2194.692|-1791.176 2194.681|-1791.071 2158.120|-1768.289 2158.142
B 1712 15 ST NW,-1768.387 2194.692|-1791.176 2194.681|-1791.071 2158.120|-1768.289 2158.142
A 1712 15 ST NW,-1768.387 2194.692|-1791.176 2194.681|-1791.071 2158.120|-1768.289 2158.142
1501 23 AV NW,-1655.714 2758.306|-1648.109 2758.306|-1640.503 2758.317|-1640.566 2794.867|-1648.172 2794.867|-1655.770 2794.867
1836 17 AV NW,-2277.007 2250.990|-2284.606 2250.990|-2292.204 2250.979|-2292.100 2214.440|-2284.501 2214.440|-2276.902 2214.440
1431 23 AV NW,-1574.709 2753.958|-1574.933 2790.552|-1582.503 2790.541|-1590.074 2790.530|-1589.906 2753.936|-1582.307 2753.947
2411 17 ST NW,-2172.395 2909.119|-2172.283 2864.897|-2157.072 2864.908|-2157.183 2909.119
2413 17 ST NW,-2172.395 2909.119|-2172.283 2864.897|-2157.072 2864.908|-2157.183 2909.119
2415 17 ST NW,-2172.395 2909.119|-2172.283 2864.897|-2157.072 2864.908|-2157.183 2909.119
1805 24 AV NW,-2172.395 2909.119|-2172.283 2864.897|-2157.072 2864.908|-2157.183 2909.119
110 1632 20 AV NW,-1918.452 2516.868|-1910.853 2516.879|-1910.937 2549.437|-1910.944 2553.440|-1916.487 2553.429|-1918.542 2553.429|-1926.141 2553.429|-1929.958 2553.418|-1933.740 2553.418|-1941.338 2553.418|-1948.937 2553.407|-1948.846 2516.846|-1941.248 2516.857|-1933.649 2516.857|-1929.860 2516.868|-1926.050 2516.868
109 1632 20 AV NW,-1918.452 2516.868|-1910.853 2516.879|-1910.937 2549.437|-1910.944 2553.440|-1916.487 2553.429|-1918.542 2553.429|-1926.141 2553.429|-1929.958 2553.418|-1933.740 2553.418|-1941.338 2553.418|-1948.937 2553.407|-1948.846 2516.846|-1941.248 2516.857|-1933.649 2516.857|-1929.860 2516.868|-1926.050 2516.868
108 1632 20 AV NW,-1918.452 2516.868|-1910.853 2516.879|-1910.937 2549.437|-1910.944 2553.440|-1916.487 2553.429|-1918.542 2553.429|-1926.141 2553.429|-1929.958 2553.418|-1933.740 2553.418|-1941.338 2553.418|-1948.937 2553.407|-1948.846 2516.846|-1941.248 2516.857|-1933.649 2516.857|-1929.860 2516.868|-1926.050 2516.868
103 1632 20 AV NW,-1918.452 2516.868|-1910.853 2516.879|-1910.937 2549.437|-1910.944 2553.440|-1916.487 2553.429|-1918.542 2553.429|-1926.141 2553.429|-1929.958 2553.418|-1933.740 2553.418|-1941.338 2553.418|-1948.937 2553.407|-1948.846 2516.846|-1941.248 2516.857|-1933.649 2516.857|-1929.860 2516.868|-1926.050 2516.868
102 1632 20 AV NW,-1918.452 2516.868|-1910.853 2516.879|-1910.937 2549.437|-1910.944 2553.440|-1916.487 2553.429|-1918.542 2553.429|-1926.141 2553.429|-1929.958 2553.418|-1933.740 2553.418|-1941.338 2553.418|-1948.937 2553.407|-1948.846 2516.846|-1941.248 2516.857|-1933.649 2516.857|-1929.860 2516.868|-1926.050 2516.868
101 1632 20 AV NW,-1918.452 2516.868|-1910.853 2516.879|-1910.937 2549.437|-1910.944 2553.440|-1916.487 2553.429|-1918.542 2553.429|-1926.141 2553.429|-1929.958 2553.418|-1933.740 2553.418|-1941.338 2553.418|-1948.937 2553.407|-1948.846 2516.846|-1941.248 2516.857|-1933.649 2516.857|-1929.860 2516.868|-1926.050 2516.868
107 1632 20 AV NW,-1918.452 2516.868|-1910.853 2516.879|-1910.937 2549.437|-1910.944 2553.440|-1916.487 2553.429|-1918.542 2553.429|-1926.141 2553.429|-1929.958 2553.418|-1933.740 2553.418|-1941.338 2553.418|-1948.937 2553.407|-1948.846 2516.846|-1941.248 2516.857|-1933.649 2516.857|-1929.860 2516.868|-1926.050 2516.868
