ADDRESS,POINTS
8 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
12 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
16 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
20 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
24 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
28 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
32 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
36 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
40 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
44 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
48 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
52 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
56 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
7 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
15 CHRISTIE PARK TC SW,-7015.810 -785.843|-7021.395 -785.855|-7048.986 -796.552|-7060.458 -796.552|-7104.756 -813.809|-7104.749 -819.435|-7104.749 -846.678|-7104.742 -867.739|-7104.735 -889.321|-7104.735 -905.334|-7088.622 -904.010|-7072.418 -902.687|-7056.194 -901.686|-7039.948 -901.019|-7023.695 -900.697|-7022.150 -900.519|-7020.668 -900.041|-7019.312 -899.296|-7018.123 -898.295|-7017.145 -897.083|-7016.425 -895.715|-7015.984 -894.225|-7015.838 -892.680
