ADDRESS,POINTS
262 MIKE RALPH WY SW,-3730.167 -5022.214|-3741.295 -5022.259|-3752.417 -5021.892|-3752.410 -5053.972|-3726.021 -5053.961|-3722.533 -5053.961|-3722.540 -5029.709|-3722.687 -5028.230|-3723.120 -5026.807|-3723.833 -5025.506|-3724.784 -5024.361|-3725.937 -5023.426|-3727.258 -5022.748|-3728.685 -5022.337
258 MIKE RALPH WY SW,-3730.167 -5022.214|-3741.295 -5022.259|-3752.417 -5021.892|-3752.410 -5053.972|-3726.021 -5053.961|-3722.533 -5053.961|-3722.540 -5029.709|-3722.687 -5028.230|-3723.120 -5026.807|-3723.833 -5025.506|-3724.784 -5024.361|-3725.937 -5023.426|-3727.258 -5022.748|-3728.685 -5022.337
254 MIKE RALPH WY SW,-3730.167 -5022.214|-3741.295 -5022.259|-3752.417 -5021.892|-3752.410 -5053.972|-3726.021 -5053.961|-3722.533 -5053.961|-3722.540 -5029.709|-3722.687 -5028.230|-3723.120 -5026.807|-3723.833 -5025.506|-3724.784 -5024.361|-3725.937 -5023.426|-3727.258 -5022.748|-3728.685 -5022.337
250 MIKE RALPH WY SW,-3730.167 -5022.214|-3741.295 -5022.259|-3752.417 -5021.892|-3752.410 -5053.972|-3726.021 -5053.961|-3722.533 -5053.961|-3722.540 -5029.709|-3722.687 -5028.230|-3723.120 -5026.807|-3723.833 -5025.506|-3724.784 -5024.361|-3725.937 -5023.426|-3727.258 -5022.748|-3728.685 -5022.337
2801 DALLAIRE AV SW,-3705.609 -5052.849|-3652.971 -5048.034|-3638.899 -5048.034|-3638.906 -5024.505|-3638.997 -5023.304|-3639.283 -5022.137|-3639.759 -5021.036|-3640.395 -5020.013|-3641.485 -5018.834|-3642.807 -5017.922|-3644.289 -5017.311|-3645.868 -5017.033|-3651.363 -5016.766|-3656.871 -5016.721|-3662.373 -5016.899|-3667.860 -5017.289|-3698.821 -5020.124|-3700.184 -5020.369|-3701.471 -5020.869|-3702.645 -5021.603|-3703.666 -5022.537|-3704.498 -5023.638|-3705.113 -5024.883|-3705.490 -5026.206|-3705.616 -5027.585
2805 DALLAIRE AV SW,-3705.609 -5052.849|-3652.971 -5048.034|-3638.899 -5048.034|-3638.906 -5024.505|-3638.997 -5023.304|-3639.283 -5022.137|-3639.759 -5021.036|-3640.395 -5020.013|-3641.485 -5018.834|-3642.807 -5017.922|-3644.289 -5017.311|-3645.868 -5017.033|-3651.363 -5016.766|-3656.871 -5016.721|-3662.373 -5016.899|-3667.860 -5017.289|-3698.821 -5020.124|-3700.184 -5020.369|-3701.471 -5020.869|-3702.645 -5021.603|-3703.666 -5022.537|-3704.498 -5023.638|-3705.113 -5024.883|-3705.490 -5026.206|-3705.616 -5027.585
2809 DALLAIRE AV SW,-3705.609 -5052.849|-3652.971 -5048.034|-3638.899 -5048.034|-3638.906 -5024.505|-3638.997 -5023.304|-3639.283 -5022.137|-3639.759 -5021.036|-3640.395 -5020.013|-3641.485 -5018.834|-3642.807 -5017.922|-3644.289 -5017.311|-3645.868 -5017.033|-3651.363 -5016.766|-3656.871 -5016.721|-3662.373 -5016.899|-3667.860 -5017.289|-3698.821 -5020.124|-3700.184 -5020.369|-3701.471 -5020.869|-3702.645 -5021.603|-3703.666 -5022.537|-3704.498 -5023.638|-3705.113 -5024.883|-3705.490 -5026.206|-3705.616 -5027.585
2813 DALLAIRE AV SW,-3705.609 -5052.849|-3652.971 -5048.034|-3638.899 -5048.034|-3638.906 -5024.505|-3638.997 -5023.304|-3639.283 -5022.137|-3639.759 -5021.036|-3640.395 -5020.013|-3641.485 -5018.834|-3642.807 -5017.922|-3644.289 -5017.311|-3645.868 -5017.033|-3651.363 -5016.766|-3656.871 -5016.721|-3662.373 -5016.899|-3667.860 -5017.289|-3698.821 -5020.124|-3700.184 -5020.369|-3701.471 -5020.869|-3702.645 -5021.603|-3703.666 -5022.537|-3704.498 -5023.638|-3705.113 -5024.883|-3705.490 -5026.206|-3705.616 -5027.585
2817 DALLAIRE AV SW,-3705.609 -5052.849|-3652.971 -5048.034|-3638.899 -5048.034|-3638.906 -5024.505|-3638.997 -5023.304|-3639.283 -5022.137|-3639.759 -5021.036|-3640.395 -5020.013|-3641.485 -5018.834|-3642.807 -5017.922|-3644.289 -5017.311|-3645.868 -5017.033|-3651.363 -5016.766|-3656.871 -5016.721|-3662.373 -5016.899|-3667.860 -5017.289|-3698.821 -5020.124|-3700.184 -5020.369|-3701.471 -5020.869|-3702.645 -5021.603|-3703.666 -5022.537|-3704.498 -5023.638|-3705.113 -5024.883|-3705.490 -5026.206|-3705.616 -5027.585
2821 DALLAIRE AV SW,-3705.609 -5052.849|-3652.971 -5048.034|-3638.899 -5048.034|-3638.906 -5024.505|-3638.997 -5023.304|-3639.283 -5022.137|-3639.759 -5021.036|-3640.395 -5020.013|-3641.485 -5018.834|-3642.807 -5017.922|-3644.289 -5017.311|-3645.868 -5017.033|-3651.363 -5016.766|-3656.871 -5016.721|-3662.373 -5016.899|-3667.860 -5017.289|-3698.821 -5020.124|-3700.184 -5020.369|-3701.471 -5020.869|-3702.645 -5021.603|-3703.666 -5022.537|-3704.498 -5023.638|-3705.113 -5024.883|-3705.490 -5026.206|-3705.616 -5027.585
