ADDRESS,POINTS
103 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
101 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
105 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
107 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
109 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
108 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
106 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
102 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
104 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
111 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
113 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
115 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
117 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
118 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
116 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
114 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
112 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
110 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
203 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
201 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
205 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
207 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
209 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
208 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
206 2850 51 ST SW,-6185.614 -2058.358|-6206.305 -2058.291|-6252.408 -2058.147|-6252.303 -2129.345|-6209.234 -2129.467|-6199.434 -2129.490|-6195.785 -2129.501|-6160.672 -2129.601|-6160.546 -2084.411|-6185.502 -2084.333|-6185.614 -2058.558
