ADDRESS,POINTS
234 11A ST NW,-1267.470 660.958|-1305.568 660.914|-1305.422 651.785|-1267.338 651.818
428 11A ST NW,-1270.267 897.926|-1270.336 907.066|-1308.344 906.710|-1308.267 897.570
224 11 ST NW,-1165.941 614.890|-1204.053 614.946|-1203.934 605.828|-1165.836 605.761
9 13 ST NW,-1539.225 428.394|-1575.667 428.461|-1575.667 426.704|-1575.660 420.777|-1575.653 413.160|-1539.211 413.171|-1539.218 420.777
216 11A ST NW,-1266.233 578.685|-1304.268 578.763|-1304.128 569.634|-1266.093 569.545
445 11A ST NW,-1328.609 933.986|-1328.686 943.126|-1366.651 942.737|-1366.567 933.597
235 11 ST NW,-1224.654 669.876|-1263.045 670.076|-1262.906 660.936|-1224.542 660.736
337 13 ST NW,-1532.815 758.287|-1532.906 767.438|-1575.988 767.194|-1575.974 758.043
236 11A ST NW,-1267.470 660.958|-1267.610 670.098|-1305.708 670.043|-1305.568 660.914
430 11A ST NW,-1270.336 907.066|-1270.413 916.206|-1308.414 915.850|-1308.344 906.710
226 11 ST NW,-1166.046 624.008|-1204.172 624.075|-1204.053 614.946|-1165.941 614.890
339 13 ST NW,-1532.906 767.438|-1532.997 776.590|-1576.009 776.334|-1575.988 767.194
220 12 ST NW,-1367.127 598.678|-1405.085 598.811|-1405.064 597.321|-1404.973 591.250|-1367.008 591.128|-1367.106 597.210
432 11A ST NW,-1270.413 916.206|-1270.490 925.346|-1308.491 924.991|-1308.414 915.850
228 11 ST NW,-1166.150 633.137|-1204.290 633.193|-1204.172 624.075|-1166.046 624.008
1 329 13 ST NW,-1532.361 712.675|-1532.542 730.967|-1575.918 730.689|-1575.876 712.408
2 329 13 ST NW,-1532.361 712.675|-1532.542 730.967|-1575.918 730.689|-1575.876 712.408
3 329 13 ST NW,-1532.361 712.675|-1532.542 730.967|-1575.918 730.689|-1575.876 712.408
4 329 13 ST NW,-1532.361 712.675|-1532.542 730.967|-1575.918 730.689|-1575.876 712.408
341 13 ST NW,-1532.997 776.590|-1533.081 785.730|-1576.030 785.485|-1576.009 776.334
222 12 ST NW,-1367.245 606.339|-1405.204 606.439|-1405.085 598.811|-1367.127 598.678
434 11A ST NW,-1270.490 925.346|-1270.560 934.487|-1308.560 934.142|-1308.491 924.991
230 11 ST NW,-1166.248 642.255|-1204.409 642.311|-1204.290 633.193|-1166.150 633.137
401 13 ST NW,-1533.081 785.730|-1533.171 794.881|-1576.051 794.626|-1576.030 785.485
436 11A ST NW,-1270.560 934.487|-1270.637 943.627|-1308.637 943.282|-1308.560 934.142
232 11 ST NW,-1166.353 651.384|-1204.521 651.429|-1204.409 642.311|-1166.248 642.255
403 13 ST NW,-1533.171 794.881|-1533.262 804.033|-1576.065 803.766|-1576.051 794.626
320 12 ST NW,-1368.679 697.597|-1400.954 698.053|-1406.539 693.183|-1406.469 688.557|-1368.532 688.468
438 11A ST NW,-1270.637 943.627|-1270.714 952.767|-1308.707 952.422|-1308.637 943.282
234 11 ST NW,-1166.458 660.513|-1204.640 660.547|-1204.521 651.429|-1166.353 651.384
405 13 ST NW,-1533.262 804.033|-1533.353 813.184|-1576.086 812.917|-1576.065 803.766
1255 GLADSTONE RD NW,-1368.679 697.597|-1369.119 725.818|-1400.954 698.053
322 12 ST NW,-1368.679 697.597|-1369.119 725.818|-1400.954 698.053
440 11A ST NW,-1270.714 952.767|-1270.784 961.907|-1308.777 961.574|-1308.707 952.422
236 11 ST NW,-1166.563 669.631|-1204.759 669.665|-1204.640 660.547|-1166.458 660.513
7 13 ST NW,-1539.211 413.171|-1575.653 413.160|-1575.653 411.048|-1575.653 405.543|-1575.646 404.020|-1566.530 404.031|-1557.435 404.031|-1548.320 404.031|-1539.204 404.042|-1539.204 404.065|-1539.204 405.566
214 11A ST NW,-1266.093 569.545|-1304.128 569.634|-1303.982 560.505|-1265.953 560.405
441 11A ST NW,-1328.532 924.846|-1328.609 933.986|-1366.567 933.597|-1366.490 924.446
231 11 ST NW,-1224.542 660.736|-1262.906 660.936|-1262.766 651.796|-1262.633 642.656|-1224.325 642.478|-1224.437 651.607
407 13 ST NW,-1533.353 813.184|-1533.444 822.335|-1576.107 822.057|-1576.086 812.917
