ADDRESS,POINTS
35 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
39 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
43 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
47 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
51 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
55 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
59 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
63 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
67 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
71 NORQUAY HT NW,-1531.773 5511.181|-1541.385 5528.594|-1612.408 5528.716|-1613.856 5335.927|-1575.513 5335.860|-1572.011 5335.860|-1536.513 5335.904|-1535.674 5341.231|-1534.695 5346.546|-1533.570 5351.816|-1532.305 5357.065|-1530.893 5362.269|-1529.348 5367.439|-1527.663 5372.565|-1525.838 5377.636|-1523.881 5382.673|-1521.784 5387.643|-1519.554 5392.558|-1517.191 5397.406|-1514.703 5402.188|-1512.088 5406.913|-1509.341 5411.561|-1506.475 5416.131|-1502.826 5421.569|-1499.002 5426.895|-1495.003 5432.088|-1490.837 5437.147|-1523.070 5493.946
