ADDRESS,POINTS
1 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
2 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
3 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
4 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
5 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
6 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
7 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
8 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
9 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
10 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
11 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
12 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
13 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
14 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
15 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
16 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
17 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
18 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
19 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
20 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
21 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
22 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
23 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
24 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
25 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
26 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
27 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
28 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
29 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
30 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
31 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
32 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
33 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
34 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
35 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
36 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
37 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
38 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
39 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
40 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
41 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
42 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
43 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
44 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
45 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
46 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
47 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
48 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
49 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
50 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
51 2815 PALLISER DR SW,-3522.137 -8747.845|-3779.946 -8747.611|-3784.497 -8752.170|-3784.545 -8798.116|-3553.307 -8878.177|-3531.315 -8825.515
