ADDRESS,POINTS
19 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
3 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
5 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
9 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
11 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
17 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
29 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
25 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
27 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
23 PARKRIDGE VW SE,3254.760 -14330.909|3211.517 -14329.997|3211.957 -14345.976|3212.887 -14361.943|3214.306 -14377.878|3216.208 -14393.756|3269.685 -14386.095|3279.492 -14379.167|3287.042 -14373.830|3270.580 -14331.242
