ADDRESS,POINTS
130 CRESTRIDGE HL SW,-14084.182 4047.500|-14084.230 4057.085|-14106.859 4056.384|-14107.145 4054.816|-14107.767 4051.781|-14104.272 4047.411
53 CRESTBROOK DR SW,-14003.050 4052.337|-14003.260 4055.617|-14003.190 4060.065|-14022.616 4059.976|-14022.574 4050.913|-14004.357 4050.991
128 CRESTRIDGE HL SW,-14106.859 4056.384|-14084.230 4057.085|-14084.265 4063.167|-14105.908 4062.500|-14106.348 4059.431
51 CRESTBROOK DR SW,-14022.616 4059.976|-14003.190 4060.065|-14003.218 4063.745|-14003.225 4066.169|-14022.644 4066.080
127 CRESTBROOK WY SW,-14075.115 4047.544|-14067.593 4047.578|-14067.684 4068.260|-14072.787 4068.238|-14072.780 4066.603|-14073.248 4066.559|-14073.696 4066.414|-14074.108 4066.192|-14074.472 4065.891|-14074.765 4065.536|-14074.989 4065.113|-14075.122 4064.668|-14075.164 4064.201
125 CRESTBROOK WY SW,-14067.593 4047.578|-14061.532 4047.600|-14061.623 4068.293|-14067.684 4068.260
123 CRESTBROOK WY SW,-14055.465 4047.633|-14055.556 4068.315|-14061.623 4068.293|-14061.532 4047.600
121 CRESTBROOK WY SW,-14055.465 4047.633|-14049.446 4047.655|-14049.551 4068.338|-14055.556 4068.315
119 CRESTBROOK WY SW,-14049.446 4047.655|-14043.378 4047.689|-14043.469 4068.371|-14049.551 4068.338
117 CRESTBROOK WY SW,-14043.378 4047.689|-14036.367 4047.711|-14036.451 4066.859|-14037.289 4068.393|-14043.469 4068.371
126 CRESTRIDGE HL SW,-14084.265 4063.167|-14084.265 4063.423|-14084.398 4069.250|-14105.251 4068.605|-14105.544 4065.547|-14105.908 4062.500
49 CRESTBROOK DR SW,-14003.225 4066.169|-14003.253 4072.263|-14022.672 4072.174|-14022.644 4066.080
124 CRESTRIDGE HL SW,-14105.251 4068.605|-14084.398 4069.250|-14084.622 4075.343|-14104.873 4074.720|-14105.027 4071.662
47 CRESTBROOK DR SW,-14003.253 4072.263|-14003.288 4079.535|-14021.792 4079.457|-14022.183 4078.568|-14022.470 4077.656|-14022.637 4076.700|-14022.686 4075.743|-14022.672 4072.174
122 CRESTRIDGE HL SW,-14084.622 4075.343|-14084.944 4081.414|-14104.776 4080.814|-14104.789 4077.767|-14104.873 4074.720
228 CRESTBROOK CM SW,-14077.457 4082.971|-14077.282 4081.748|-14076.925 4080.558|-14076.387 4079.446|-14075.681 4078.434|-14057.667 4080.069|-14058.401 4088.242|-14077.694 4086.607
202 CRESTBROOK CM SW,-14034.207 4080.391|-14029.949 4083.038|-14030.012 4089.654|-14049.579 4088.775|-14049.194 4080.325
120 CRESTRIDGE HL SW,-14104.776 4080.814|-14084.944 4081.414|-14085.580 4090.365|-14105.069 4088.742|-14104.866 4084.783
226 CRESTBROOK CM SW,-14078.170 4092.623|-14077.694 4086.607|-14058.401 4088.242|-14058.946 4094.257
204 CRESTBROOK CM SW,-14049.579 4088.775|-14030.012 4089.654|-14030.019 4090.265|-14030.124 4095.714|-14049.851 4094.847
114 CRESTRIDGE HL SW,-14105.831 4096.626|-14105.391 4092.689|-14105.069 4088.742|-14085.580 4090.365|-14086.419 4099.272
224 CRESTBROOK CM SW,-14078.170 4092.623|-14058.946 4094.257|-14059.491 4100.273|-14078.736 4098.616
206 CRESTBROOK CM SW,-14030.124 4095.714|-14030.299 4101.807|-14050.124 4100.929|-14049.851 4094.847
41 CRESTBROOK DR SW,-14021.938 4095.080|-14003.372 4095.169|-14003.379 4096.859|-14003.504 4104.610|-14023.120 4103.208|-14022.959 4098.761|-14022.875 4097.804|-14022.672 4096.859|-14022.358 4095.947
112 CRESTRIDGE HL SW,-14105.831 4096.626|-14086.419 4099.272|-14087.104 4105.343|-14106.740 4102.652|-14106.251 4099.639
222 CRESTBROOK CM SW,-14078.736 4098.616|-14059.491 4100.273|-14060.043 4106.366|-14079.400 4104.710
208 CRESTBROOK CM SW,-14050.124 4100.929|-14030.299 4101.807|-14030.579 4107.901|-14050.397 4107.011
39 CRESTBROOK DR SW,-14023.120 4103.208|-14003.504 4104.610|-14003.742 4110.692|-14023.413 4109.302
110 CRESTRIDGE HL SW,-14107.928 4108.646|-14107.299 4105.655|-14106.740 4102.652|-14087.104 4105.343|-14087.880 4111.381
