ADDRESS,POINTS
101 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
102 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
103 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
104 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
110 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
109 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
108 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
105 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
106 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
107 138 18 AV SE,707.444 -1183.176|702.222 -1182.832|677.127 -1181.786|661.929 -1181.108|646.760 -1180.374|644.935 -1219.948|705.620 -1222.650
