ADDRESS,POINTS
210 15 AV NW,413.054 2044.523|405.463 2044.523|405.337 2001.302|412.928 2001.324
202 15 AV NW,423.260 2001.302|430.866 2001.291|438.444 2001.291|438.584 2044.534|430.985 2044.534|423.386 2044.523
208 15 AV NW,423.386 2044.523|415.788 2044.523|413.054 2044.523|412.928 2001.324|415.655 2001.313|423.260 2001.302
101 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
102 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
103 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
104 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
201 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
202 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
203 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
204 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
301 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
302 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
303 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
304 312 15 AV NE,1035.263 2044.746|1012.460 2044.957|1012.390 2008.374|1035.193 2008.151
320 15 AV NE,1035.193 2008.151|1042.805 2008.085|1050.544 2008.007|1050.607 2010.542|1050.509 2012.299|1050.138 2014.023|1049.495 2015.657|1048.594 2017.169|1047.985 2018.204|1047.552 2019.315|1047.293 2020.483|1047.223 2021.673|1047.755 2044.635|1042.847 2044.679|1035.263 2044.746
