ADDRESS,POINTS
67 WALGROVE PZ SE,3231.475 -20361.232|3214.865 -20351.803|3211.279 -20358.197|3225.820 -20366.469|3227.441 -20365.391|3228.930 -20364.157|3230.279 -20362.767
65 WALGROVE PZ SE,3217.850 -20346.488|3214.865 -20351.803|3231.475 -20361.232|3232.202 -20360.120|3234.600 -20356.006
63 WALGROVE PZ SE,3234.600 -20356.006|3237.585 -20350.691|3220.821 -20341.173|3217.850 -20346.488
61 WALGROVE PZ SE,3240.465 -20345.342|3223.799 -20335.869|3220.821 -20341.173|3237.585 -20350.691
59 WALGROVE PZ SE,3240.465 -20345.342|3243.254 -20339.927|3226.777 -20330.565|3223.799 -20335.869
57 WALGROVE PZ SE,3243.254 -20339.927|3245.938 -20334.456|3229.748 -20325.249|3226.777 -20330.565
55 WALGROVE PZ SE,3245.938 -20334.456|3249.112 -20327.640|3233.404 -20318.733|3229.748 -20325.249
49 WALGROVE PZ SE,3241.443 -20316.031|3247.196 -20319.768|3256.508 -20305.234|3250.559 -20301.810
47 WALGROVE PZ SE,3236.361 -20312.729|3241.443 -20316.031|3250.559 -20301.810|3245.638 -20298.818|3245.372 -20298.663
45 WALGROVE PZ SE,3231.272 -20309.426|3236.361 -20312.729|3245.372 -20298.663|3240.241 -20295.427
43 WALGROVE PZ SE,3235.159 -20292.124|3226.190 -20306.124|3231.272 -20309.426|3240.241 -20295.427
130 WALGROVE CV SE,3126.023 -20305.979|3126.967 -20305.801|3127.855 -20305.446|3128.666 -20304.912|3129.351 -20304.245|3132.518 -20300.509|3120.375 -20290.090|3119.138 -20291.546|3118.753 -20292.047|3118.418 -20292.592|3118.138 -20293.159|3117.915 -20293.759|3117.747 -20294.371|3117.642 -20295.004|3117.600 -20295.638|3117.621 -20296.272|3117.698 -20296.906|3117.845 -20297.529|3118.047 -20298.129|3118.306 -20298.707|3118.621 -20299.263|3118.991 -20299.786|3119.404 -20300.264|3119.865 -20300.698
41 WALGROVE PZ SE,3235.159 -20292.124|3230.133 -20288.733|3221.108 -20302.821|3226.190 -20306.124
