ADDRESS,POINTS
423 2 AV NE,1293.470 696.118|1285.857 696.163|1285.899 659.591|1293.414 659.546
425 2 AV NE,1308.618 696.018|1301.048 696.062|1293.470 696.118|1293.414 659.546|1301.013 659.502|1308.604 659.446
431 2 AV NE,1308.604 659.446|1316.203 659.402|1323.788 659.368|1323.767 695.918|1316.189 695.974|1308.618 696.018
101 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
102 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
103 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
104 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
109 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
201 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
202 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
203 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
204 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
205 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
206 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
207 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
208 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
209 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
301 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
302 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
303 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
304 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
305 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
306 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
307 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
308 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
309 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
401 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
402 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
403 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
404 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
405 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
406 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
407 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
408 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
409 309 4 ST NE,1365.577 761.223|1329.771 761.478|1329.764 715.966|1361.040 715.766|1365.591 720.303
