ADDRESS,POINTS
2030 34 AV SW,-2603.309 -2721.124|-2610.900 -2721.136|-2610.949 -2750.991|-2603.358 -2750.980
2032 34 AV SW,-2610.900 -2721.136|-2618.485 -2721.147|-2618.541 -2751.002|-2610.949 -2750.991
2024 34 AV SW,-2580.583 -2721.091|-2588.132 -2721.102|-2588.181 -2750.958|-2580.590 -2750.947
2028 34 AV SW,-2595.724 -2721.113|-2600.624 -2721.102|-2603.309 -2721.124|-2603.358 -2750.980|-2595.766 -2750.969
2215 33 AV SW,-2840.761 -2720.958|-2840.733 -2685.520|-2916.601 -2685.620|-2916.629 -2714.831|-2916.629 -2717.477|-2916.636 -2721.080|-2843.662 -2720.958
2409 33 AV SW,-3042.849 -2683.641|-3050.441 -2683.652|-3054.229 -2683.663|-3054.222 -2717.777|-3042.877 -2717.755|-3042.877 -2717.600
2140 34 AV SW,-2805.501 -2751.258|-2805.529 -2720.335|-2813.135 -2720.357|-2820.733 -2720.379|-2820.678 -2751.280|-2813.086 -2751.269
2140 34 AV SW,-2790.325 -2751.236|-2790.332 -2720.290|-2797.930 -2720.313|-2805.529 -2720.335|-2805.501 -2751.258|-2797.917 -2751.247
2001 33 AV SW,-2497.060 -2720.969|-2497.039 -2684.786|-2504.617 -2684.808|-2512.202 -2684.819|-2512.244 -2720.991|-2504.652 -2720.980|-2501.982 -2720.969
2140 34 AV SW,-2775.121 -2751.214|-2775.100 -2720.246|-2790.332 -2720.290|-2790.325 -2751.236
2009 33 AV SW,-2527.420 -2721.002|-2527.378 -2682.718|-2534.963 -2682.740|-2542.554 -2682.751|-2542.596 -2721.024|-2535.012 -2721.002
2015 33 AV SW,-2542.596 -2721.024|-2542.554 -2682.751|-2550.139 -2682.773|-2557.724 -2682.784|-2565.322 -2682.807|-2565.343 -2701.877|-2565.364 -2721.058|-2557.780 -2721.035|-2550.188 -2721.024
2009 33 AV SW,-2512.202 -2684.819|-2512.202 -2682.684|-2519.793 -2682.707|-2527.378 -2682.718|-2527.420 -2721.002|-2519.835 -2720.991|-2512.244 -2720.991
2129 33 AV SW,-2775.100 -2714.152|-2775.107 -2685.431|-2782.698 -2685.442|-2790.297 -2685.453|-2790.304 -2714.197|-2782.705 -2714.175
2129A 33 AV SW,-2775.107 -2685.431|-2775.107 -2683.251|-2782.705 -2683.263|-2790.297 -2683.285|-2790.297 -2685.453|-2782.698 -2685.442
2026 34 AV SW,-2588.132 -2721.102|-2594.948 -2721.102|-2595.724 -2721.113|-2595.766 -2750.969|-2588.181 -2750.958
2133 33 AV SW,-2790.297 -2685.453|-2790.297 -2683.285|-2797.889 -2683.296|-2805.480 -2683.318|-2805.515 -2714.241|-2797.910 -2714.219|-2790.304 -2714.197
2137 33 AV SW,-2805.515 -2714.241|-2805.480 -2683.318|-2813.072 -2683.340|-2820.664 -2683.352|-2820.726 -2714.286|-2813.121 -2714.264
2022 34 AV SW,-2572.516 -2750.936|-2572.558 -2733.845|-2572.970 -2733.845|-2572.956 -2721.091|-2580.583 -2721.091|-2580.590 -2750.947|-2572.998 -2750.936
2020 34 AV SW,-2572.956 -2721.091|-2572.970 -2733.845|-2572.558 -2733.845|-2572.516 -2750.936|-2565.413 -2750.925|-2565.364 -2721.058
3332 20 ST SW,-2648.747 -2662.914|-2641.162 -2662.892|-2633.584 -2662.881|-2626.000 -2662.869|-2618.415 -2662.847|-2610.830 -2662.836|-2603.246 -2662.814|-2603.246 -2660.690|-2603.239 -2624.752|-2610.830 -2624.763|-2618.415 -2624.774|-2626.000 -2624.796|-2633.584 -2624.807|-2641.169 -2624.830|-2648.754 -2624.841
2040 34 AV SW,-2635.101 -2721.158|-2641.253 -2721.169|-2648.838 -2721.180|-2648.901 -2751.047|-2641.316 -2751.036|-2633.724 -2751.025|-2626.133 -2751.014|-2618.541 -2751.002|-2618.485 -2721.147|-2626.077 -2721.147|-2633.668 -2721.158
2008 33 AV SW,-2542.575 -2662.691|-2534.970 -2662.680|-2527.392 -2662.669|-2519.807 -2662.647|-2512.230 -2662.636|-2504.652 -2662.614|-2497.067 -2662.603|-2497.046 -2624.541|-2504.638 -2624.552|-2512.223 -2624.574|-2519.807 -2624.585|-2527.392 -2624.596|-2534.977 -2624.618|-2542.561 -2624.629
2018 33 AV SW,-2542.575 -2662.691|-2542.561 -2624.629|-2566.832 -2624.674|-2567.063 -2624.674|-2567.077 -2652.250|-2567.308 -2652.250|-2567.308 -2660.612|-2566.846 -2660.612|-2566.846 -2662.747
2032 33 AV SW,-2567.308 -2660.612|-2567.308 -2652.250|-2567.077 -2652.250|-2567.063 -2624.674|-2603.239 -2624.752|-2603.246 -2660.690
2031 33 AV SW,-2565.364 -2721.058|-2565.343 -2701.877|-2565.322 -2682.807|-2578.374 -2682.840|-2595.018 -2682.873|-2637.856 -2682.962|-2644.287 -2682.973|-2648.775 -2687.477|-2648.817 -2709.927|-2648.838 -2721.180|-2641.253 -2721.169|-2635.101 -2721.158|-2633.668 -2721.158|-2626.077 -2721.147|-2618.485 -2721.147|-2610.900 -2721.136|-2603.309 -2721.124|-2600.624 -2721.102|-2595.724 -2721.113|-2594.948 -2721.102|-2588.132 -2721.102|-2580.583 -2721.091|-2572.956 -2721.091
2031 33 AV SW,-2642.574 -2704.834|-2642.567 -2706.758|-2641.980 -2706.758|-2641.973 -2709.916|-2647.132 -2709.927|-2647.188 -2704.612|-2644.797 -2704.601|-2644.797 -2702.877|-2641.987 -2702.866|-2641.987 -2704.823
