ADDRESS,POINTS
1812 41 ST SE,6834.877 -1188.714|6834.884 -1181.086|6834.891 -1176.471|6834.891 -1173.469|6797.841 -1173.513|6797.841 -1173.614|6797.841 -1181.130|6797.834 -1188.758
1811 42 ST SE,6878.001 -1188.658|6878.008 -1181.041|6878.015 -1173.424|6840.966 -1173.469|6840.959 -1176.460|6840.959 -1181.086|6840.952 -1188.703
1810 42 ST SE,6935.162 -1189.959|6935.183 -1173.191|6913.296 -1173.324|6898.106 -1173.358|6898.085 -1190.104
1812 40 ST SE,6734.634 -1188.847|6734.634 -1181.230|6734.634 -1173.614|6697.549 -1173.669|6697.549 -1181.286|6697.549 -1188.903
202 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
204 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
206 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
208 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
201 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
203 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
205 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
207 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
209 4908 17 AV SE,7533.407 -1076.340|7494.547 -1076.396|7494.512 -1114.680|7533.372 -1114.702
