ADDRESS,POINTS
1912 33 ST SW,-4433.283 -1176.638|-4469.696 -1176.671|-4469.703 -1191.905|-4433.283 -1191.861
1916 33 ST SW,-4433.283 -1191.861|-4469.703 -1191.905|-4469.703 -1207.128|-4433.283 -1207.094
1907 32 ST SW,-4390.837 -1161.360|-4427.201 -1161.404|-4427.208 -1176.627|-4390.837 -1176.594
1911 32 ST SW,-4390.837 -1176.594|-4427.208 -1176.627|-4427.208 -1191.861|-4390.830 -1191.816
1915 32 ST SW,-4390.830 -1191.816|-4427.208 -1191.861|-4427.208 -1207.083|-4390.823 -1207.050
1919 32 ST SW,-4390.823 -1207.050|-4427.208 -1207.083|-4427.215 -1222.317|-4390.823 -1222.284
3333 17 AV SW,-4390.837 -1161.360|-4390.837 -1155.822|-4398.512 -1148.139|-4427.201 -1148.172|-4427.201 -1161.404
1904 36 ST SW,-4724.087 -1151.686|-4730.168 -1151.697|-4730.168 -1146.515|-4763.562 -1146.560|-4766.603 -1149.607|-4766.610 -1161.793|-4730.168 -1161.749|-4724.094 -1161.738
1901 30 ST SW,-4192.880 -1161.160|-4192.880 -1153.543|-4192.887 -1145.915|-4229.357 -1145.959|-4229.357 -1153.576|-4229.350 -1161.204
2604 37 ST SW,-4829.146 -1851.324|-4829.146 -1843.707|-4829.146 -1836.091|-4865.588 -1836.124|-4865.588 -1843.741|-4865.588 -1851.358
1905A 30 ST SW,-4192.880 -1161.160|-4229.350 -1161.204|-4229.350 -1176.438|-4192.866 -1176.382
1905B 30 ST SW,-4192.880 -1161.160|-4229.350 -1161.204|-4229.350 -1176.438|-4192.866 -1176.382
1905C 30 ST SW,-4192.880 -1161.160|-4229.350 -1161.204|-4229.350 -1176.438|-4192.866 -1176.382
1907 30 ST SW,-4192.880 -1161.160|-4229.350 -1161.204|-4229.350 -1176.438|-4192.866 -1176.382
2608 37 ST SW,-4829.146 -1851.324|-4865.588 -1851.358|-4865.588 -1858.963|-4865.588 -1866.580|-4829.146 -1866.547|-4829.146 -1858.941
1911 30 ST SW,-4192.866 -1176.382|-4229.350 -1176.438|-4229.350 -1184.055|-4229.350 -1191.672|-4192.859 -1191.616|-4192.859 -1184.010
2612 37 ST SW,-4829.146 -1866.547|-4865.588 -1866.580|-4865.588 -1874.197|-4865.588 -1881.814|-4829.146 -1881.781|-4829.146 -1874.164
2616 37 ST SW,-4829.146 -1881.781|-4865.588 -1881.814|-4865.588 -1889.431|-4865.588 -1897.048|-4829.146 -1897.014|-4829.146 -1889.397
2620 37 ST SW,-4829.146 -1897.014|-4865.588 -1897.048|-4865.588 -1904.665|-4865.588 -1912.270|-4829.146 -1912.237|-4829.146 -1904.620
2628 37 ST SW,-4829.146 -1927.471|-4865.588 -1927.504|-4865.588 -1935.121|-4865.588 -1942.738|-4829.146 -1942.704|-4829.146 -1935.087
2632 37 ST SW,-4829.146 -1942.704|-4865.588 -1942.738|-4865.588 -1950.355|-4865.588 -1957.960|-4829.146 -1957.927|-4829.146 -1950.321
2636 37 ST SW,-4829.146 -1957.927|-4865.588 -1957.960|-4865.588 -1965.577|-4865.588 -1973.194|-4829.139 -1973.161|-4829.146 -1965.544
2640 37 ST SW,-4829.139 -1973.161|-4865.588 -1973.194|-4865.581 -1980.811|-4865.581 -1988.428|-4829.139 -1988.394|-4829.139 -1980.777
1910 31 ST SW,-4271.845 -1191.727|-4235.424 -1191.683|-4235.424 -1184.066|-4235.431 -1176.438|-4235.431 -1168.821|-4235.431 -1161.204|-4271.845 -1161.249|-4271.845 -1168.865|-4271.845 -1176.482|-4271.845 -1184.110
