ADDRESS,POINTS
8225 BROADCAST AV SW,-9440.499 1819.732|-9440.492 1816.629|-9440.471 1809.435|-9440.464 1804.042|-9440.457 1801.952|-9440.443 1794.757|-9357.389 1794.924|-9355.795 1794.924|-9355.788 1802.130|-9355.788 1803.230|-9355.781 1812.826|-9355.781 1817.263|-9355.774 1826.448|-9355.767 1836.656|-9355.767 1837.412|-9360.255 1841.904|-9361.415 1841.893|-9361.415 1840.803|-9361.415 1836.644|-9356.941 1836.656|-9356.934 1834.665|-9356.927 1828.961|-9356.920 1826.437|-9362.639 1826.426|-9362.639 1825.036|-9363.883 1825.036|-9366.714 1825.025|-9366.707 1822.801|-9371.894 1822.790|-9379.556 1822.767|-9396.864 1822.723|-9396.878 1828.127|-9396.892 1835.321|-9396.906 1841.215|-9405.987 1841.192|-9405.973 1835.299|-9405.959 1828.105|-9405.945 1822.712|-9412.788 1822.689|-9423.407 1822.667|-9423.952 1822.667|-9423.952 1822.067|-9423.945 1820.188|-9423.938 1816.674|-9423.924 1811.503|-9425.665 1811.503|-9425.658 1809.468|-9425.658 1808.879|-9433.340 1808.857|-9434.333 1809.012|-9435.242 1809.457|-9435.745 1809.880|-9436.157 1810.391|-9436.458 1810.970|-9436.640 1811.603|-9437.576 1816.640|-9437.709 1817.352|-9439.499 1817.352|-9439.681 1818.164|-9439.995 1818.942|-9440.002 1821.477|-9439.401 1822.033|-9439.149 1822.256|-9438.681 1822.634|-9437.625 1823.134|-9436.465 1823.312|-9431.956 1823.323|-9428.510 1823.334|-9426.671 1823.334|-9426.678 1826.337|-9431.963 1826.326|-9437.521 1826.303|-9438.359 1826.426|-9439.128 1826.770|-9439.765 1827.315|-9440.233 1828.027|-9440.443 1828.638|-9440.519 1829.294|-9440.519 1831.251|-9438.625 1835.221|-9438.143 1836.222|-9433.487 1840.625|-9439.939 1840.614|-9448.265 1840.592|-9448.251 1835.199|-9448.237 1828.005|-9440.512 1828.016|-9440.506 1822.623|-9440.499 1822.022|-9440.499 1821.022
1V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
2V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
3V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
4V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
5V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
6V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
7V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
8V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
9V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
10V 8250 BROADCAST AV SW,-9358.158 1893.554|-9358.144 1902.805|-9358.647 1902.805|-9359.842 1902.794|-9416.270 1902.661|-9440.156 1902.594|-9445.637 1902.583|-9452.816 1902.561|-9468.300 1902.527|-9502.224 1902.438|-9507.656 1902.427|-9526.852 1902.372|-9527.355 1902.372|-9527.698 1894.366|-9527.733 1893.610|-9527.775 1893.098|-9528.523 1883.113|-9529.180 1874.662|-9524.929 1870.181|-9520.162 1870.192|-9505.873 1870.225|-9474.647 1870.303|-9465.587 1870.325|-9465.287 1870.325|-9455.989 1870.348|-9448.279 1870.359|-9447.335 1870.370|-9439.121 1870.381|-9421.799 1870.425|-9416.172 1870.437|-9416.221 1877.809|-9416.263 1891.675|-9376.144 1891.797|-9376.137 1889.729|-9379.073 1889.729|-9379.059 1884.514|-9374.515 1884.536|-9374.543 1893.432|-9377.444 1893.432|-9377.472 1900.593|-9366.707 1900.626|-9366.686 1893.465|-9361.702 1893.476
