ADDRESS,POINTS
2501 14 ST SW,-1642.845 -1789.066|-1637.686 -1789.055|-1637.693 -1781.438|-1637.707 -1773.810|-1640.720 -1773.810|-1671.702 -1773.810|-1671.695 -1781.438|-1671.681 -1789.066
2609 14 ST SW,-1637.539 -1882.770|-1637.553 -1875.198|-1671.569 -1875.320|-1671.562 -1882.815
1511 17 AV SW,-1805.779 -1144.158|-1813.364 -1144.158|-1820.648 -1144.169|-1820.718 -1174.614|-1813.175 -1174.614|-1805.632 -1174.614
1511 17 AV SW,-1775.433 -1144.136|-1783.018 -1144.136|-1790.610 -1144.147|-1798.194 -1144.147|-1805.779 -1144.158|-1805.632 -1174.614|-1798.090 -1174.603|-1790.540 -1174.603|-1783.004 -1174.603|-1775.461 -1174.603
2611 14 ST SW,-1637.539 -1882.770|-1671.562 -1882.815|-1671.548 -1890.398|-1637.532 -1890.354
1431 17 AV SW,-1638.427 -1161.315|-1638.434 -1159.269|-1638.448 -1151.653|-1638.462 -1144.036|-1674.288 -1144.058|-1676.413 -1144.058|-1676.357 -1163.395|-1674.239 -1163.395|-1645.984 -1163.461|-1645.991 -1161.304
1805 14 ST SW,-1638.427 -1161.315|-1645.991 -1161.304|-1645.984 -1163.461|-1674.239 -1163.395|-1676.357 -1163.395|-1676.232 -1208.784|-1674.120 -1208.784|-1638.350 -1208.773|-1638.357 -1204.959|-1638.364 -1197.343|-1638.378 -1189.726|-1638.392 -1182.120|-1638.406 -1174.503|-1638.420 -1166.886
1463 17 AV SW,-1682.376 -1223.940|-1682.516 -1144.036|-1717.839 -1144.102|-1748.129 -1144.113|-1748.199 -1171.545|-1748.226 -1180.686|-1748.254 -1192.895|-1717.951 -1192.850|-1717.986 -1205.004|-1717.986 -1212.665|-1718.014 -1220.271|-1718.035 -1224.318|-1718.049 -1227.888|-1718.070 -1234.281|-1710.737 -1234.270|-1703.397 -1234.259|-1696.064 -1234.248|-1688.696 -1234.259|-1688.437 -1234.259|-1688.444 -1228.199|-1685.410 -1228.199|-1682.376 -1225.163
1459 17 AV SW,-1682.376 -1223.940|-1682.516 -1144.036|-1717.839 -1144.102|-1748.129 -1144.113|-1748.199 -1171.545|-1748.226 -1180.686|-1748.254 -1192.895|-1717.951 -1192.850|-1717.986 -1205.004|-1717.986 -1212.665|-1718.014 -1220.271|-1718.035 -1224.318|-1718.049 -1227.888|-1718.070 -1234.281|-1710.737 -1234.270|-1703.397 -1234.259|-1696.064 -1234.248|-1688.696 -1234.259|-1688.437 -1234.259|-1688.444 -1228.199|-1685.410 -1228.199|-1682.376 -1225.163
1455 17 AV SW,-1682.376 -1223.940|-1682.516 -1144.036|-1717.839 -1144.102|-1748.129 -1144.113|-1748.199 -1171.545|-1748.226 -1180.686|-1748.254 -1192.895|-1717.951 -1192.850|-1717.986 -1205.004|-1717.986 -1212.665|-1718.014 -1220.271|-1718.035 -1224.318|-1718.049 -1227.888|-1718.070 -1234.281|-1710.737 -1234.270|-1703.397 -1234.259|-1696.064 -1234.248|-1688.696 -1234.259|-1688.437 -1234.259|-1688.444 -1228.199|-1685.410 -1228.199|-1682.376 -1225.163
1451 17 AV SW,-1682.376 -1223.940|-1682.516 -1144.036|-1717.839 -1144.102|-1748.129 -1144.113|-1748.199 -1171.545|-1748.226 -1180.686|-1748.254 -1192.895|-1717.951 -1192.850|-1717.986 -1205.004|-1717.986 -1212.665|-1718.014 -1220.271|-1718.035 -1224.318|-1718.049 -1227.888|-1718.070 -1234.281|-1710.737 -1234.270|-1703.397 -1234.259|-1696.064 -1234.248|-1688.696 -1234.259|-1688.437 -1234.259|-1688.444 -1228.199|-1685.410 -1228.199|-1682.376 -1225.163
1445 17 AV SW,-1682.376 -1223.940|-1682.516 -1144.036|-1717.839 -1144.102|-1748.129 -1144.113|-1748.199 -1171.545|-1748.226 -1180.686|-1748.254 -1192.895|-1717.951 -1192.850|-1717.986 -1205.004|-1717.986 -1212.665|-1718.014 -1220.271|-1718.035 -1224.318|-1718.049 -1227.888|-1718.070 -1234.281|-1710.737 -1234.270|-1703.397 -1234.259|-1696.064 -1234.248|-1688.696 -1234.259|-1688.437 -1234.259|-1688.444 -1228.199|-1685.410 -1228.199|-1682.376 -1225.163
1441 17 AV SW,-1682.376 -1223.940|-1682.516 -1144.036|-1717.839 -1144.102|-1748.129 -1144.113|-1748.199 -1171.545|-1748.226 -1180.686|-1748.254 -1192.895|-1717.951 -1192.850|-1717.986 -1205.004|-1717.986 -1212.665|-1718.014 -1220.271|-1718.035 -1224.318|-1718.049 -1227.888|-1718.070 -1234.281|-1710.737 -1234.270|-1703.397 -1234.259|-1696.064 -1234.248|-1688.696 -1234.259|-1688.437 -1234.259|-1688.444 -1228.199|-1685.410 -1228.199|-1682.376 -1225.163
1501 17 AV SW,-1760.418 -1197.598|-1760.397 -1189.981|-1760.376 -1182.365|-1760.362 -1174.592|-1760.278 -1144.125|-1767.849 -1144.125|-1775.433 -1144.136|-1775.461 -1174.603|-1783.004 -1174.603|-1790.540 -1174.603|-1790.561 -1182.264|-1790.589 -1189.892|-1790.617 -1197.509
2613 14 ST SW,-1637.518 -1897.937|-1637.532 -1890.354|-1671.548 -1890.398|-1671.541 -1897.982
2615 14 ST SW,-1637.504 -1905.521|-1637.518 -1897.937|-1671.541 -1897.982|-1671.527 -1905.576
