ADDRESS,POINTS
1140 17 AV SW,-1202.228 -1086.437|-1209.827 -1086.092|-1217.426 -1085.747|-1225.017 -1085.414|-1232.616 -1085.069|-1234.363 -1124.054|-1226.751 -1124.043|-1219.138 -1124.043|-1211.526 -1124.043|-1203.913 -1124.043
1550 5 ST SW,-167.994 -1073.015|-175.558 -1072.660|-183.150 -1072.315|-190.699 -1071.970|-198.277 -1071.614|-198.487 -1076.307|-197.438 -1087.004|-192.664 -1114.914|-192.069 -1118.405|-185.212 -1118.394|-177.599 -1118.394|-169.986 -1118.394
320 17 AV SW,119.217 -1082.745|111.625 -1082.400|104.033 -1082.067|96.442 -1081.722|88.843 -1081.377|81.251 -1081.044|79.399 -1118.316|87.018 -1118.316|94.638 -1118.305|102.258 -1118.305|109.877 -1118.305|117.497 -1118.305|125.117 -1118.294|126.808 -1083.090
1140 17 AV SW,-1179.439 -1087.449|-1187.038 -1087.115|-1194.637 -1086.770|-1202.228 -1086.437|-1203.913 -1124.043|-1196.300 -1124.043|-1188.688 -1124.032|-1181.075 -1124.032
1202 17 AV SW,-1292.489 -1124.098|-1284.877 -1124.098|-1277.271 -1124.087|-1269.658 -1124.087|-1262.046 -1124.087|-1254.433 -1124.087|-1252.567 -1084.235|-1260.165 -1083.901|-1267.764 -1083.557|-1275.363 -1083.223|-1282.961 -1082.878|-1290.560 -1082.534|-1291.525 -1103.272
1518 7 ST SW,-512.723 -1081.611|-543.103 -1080.243|-543.292 -1084.613|-543.627 -1092.230|-536.036 -1092.575|-528.444 -1092.908|-520.859 -1093.253|-513.254 -1093.587|-512.953 -1086.759|-512.918 -1085.970
1230 17 AV SW,-1351.349 -1079.798|-1358.941 -1079.454|-1366.539 -1079.120|-1368.616 -1124.132|-1361.003 -1124.121|-1353.390 -1124.121|-1352.377 -1102.082
1232 17 AV SW,-1366.539 -1079.120|-1374.138 -1078.786|-1381.737 -1078.442|-1382.792 -1101.359|-1375.187 -1101.515|-1375.991 -1118.950|-1376.228 -1124.132|-1368.616 -1124.132
706 17 AV SW,-423.279 -1123.676|-415.667 -1123.665|-408.061 -1123.665|-400.455 -1123.665|-392.843 -1123.654|-390.159 -1063.119|-397.757 -1062.774|-405.349 -1062.430|-412.947 -1062.085|-420.539 -1061.751
1108 17 AV SW,-1127.794 -1124.021|-1120.181 -1124.021|-1112.568 -1124.009|-1104.956 -1124.009|-1097.343 -1124.009|-1089.731 -1124.009|-1082.118 -1124.009|-1080.692 -1091.874|-1088.290 -1091.529|-1095.889 -1091.196|-1103.481 -1090.851|-1111.079 -1090.518|-1118.671 -1090.173|-1126.270 -1089.828
710 17 AV SW,-420.539 -1061.751|-428.138 -1061.407|-435.729 -1061.062|-438.274 -1118.494|-438.407 -1121.541|-438.505 -1123.687|-430.885 -1123.676|-423.279 -1123.676
718 17 AV SW,-435.729 -1061.062|-443.321 -1060.717|-450.920 -1060.384|-458.511 -1060.039|-460.028 -1059.972|-462.685 -1120.607|-462.818 -1123.698|-461.308 -1123.698|-460.203 -1123.698|-459.972 -1118.516|-453.485 -1118.505|-445.880 -1118.505|-438.274 -1118.494
