ADDRESS,POINTS
1398R MACLEOD TR SE,940.248 -951.379|936.858 -951.235|909.916 -950.023|909.022 -970.127|916.606 -970.483|924.191 -970.827|931.769 -971.172|937.109 -971.394|939.360 -971.494
1504 MACLEOD TR SE,933.153 -1076.729|927.092 -1076.451|919.507 -1076.107|911.930 -1075.762|904.359 -1075.440|903.289 -1099.257|910.874 -1099.502|918.459 -1099.736|926.043 -1099.980|932.111 -1100.180
1510 MACLEOD TR SE,932.111 -1100.180|926.043 -1099.980|918.459 -1099.736|910.874 -1099.502|903.289 -1099.257|902.241 -1123.164|909.826 -1123.120|917.424 -1123.120|921.996 -1123.120|925.016 -1123.120|932.628 -1123.175|934.453 -1123.175|940.220 -1123.164|940.388 -1119.417|941.241 -1100.169|938.955 -1100.114|933.642 -1099.958|933.628 -1100.225
1414 MACLEOD TR SE,939.360 -971.494|937.109 -971.394|931.769 -971.172|924.191 -970.827|916.606 -970.483|909.022 -970.127|907.134 -1012.737|905.247 -1055.358|912.817 -1055.680|920.402 -1056.025|927.987 -1056.370|935.544 -1056.714|936.886 -1027.159|937.438 -1014.116
303R 12 AV SE,944.030 -866.226|932.377 -865.693|913.698 -864.847|911.804 -907.435|909.916 -950.023|936.858 -951.235|940.248 -951.379|941.220 -929.474
537 9 AV SE,934.076 -407.225|914.041 -406.313|911.790 -456.840|910.762 -479.902|908.623 -527.960|928.651 -528.861|928.749 -526.737|930.280 -492.344|930.552 -486.262|1017.752 -490.221|1062.050 -499.605|1081.812 -503.786|1082.295 -493.067|1254.204 -500.906|1274.120 -501.796|1601.974 -516.396|1602.211 -483.049|1597.500 -482.837|1519.975 -479.379|1437.607 -475.710|1392.127 -473.686|1346.632 -471.662|1283.334 -468.849|1280.901 -468.738|1255.672 -467.626|1195.974 -464.902|1167.194 -463.589|1125.230 -461.677|1114.276 -461.176|1097.031 -460.387|1096.255 -460.354|1087.572 -459.964|1087.565 -459.964|1086.796 -459.920|1085.769 -459.876|1083.749 -459.787|1077.220 -459.486|1058.066 -458.619|1027.070 -457.207|997.200 -455.839|991.223 -455.572|990.887 -462.856|931.713 -460.176
450 10 AV SE,1274.120 -501.796|1254.204 -500.906|1082.295 -493.067|1081.812 -503.786|1081.742 -505.488|1080.463 -533.609|1080.379 -535.744|1247.927 -543.338|1272.198 -544.439|1279.964 -544.784|1597.353 -559.184|1601.904 -559.395|1601.883 -528.905|1273.568 -514.005
450R 10 AV SE,1601.974 -516.396|1274.120 -501.796|1273.568 -514.005|1601.883 -528.905
697 9 AV SE,1622.267 -483.938|1602.211 -483.049|1601.974 -516.396|1621.917 -517.285
698R 11 AV SE,1621.917 -517.285|1601.974 -516.396|1601.883 -528.905|1601.904 -559.395|1621.952 -560.285|1621.924 -529.806
1013 7 ST SE,1936.748 -538.646|1922.396 -535.633|1907.968 -532.986|1893.484 -530.718|1878.936 -528.827|1621.917 -517.285|1621.924 -529.806|1771.318 -536.578|1821.642 -538.857|1822.188 -538.690
