ADDRESS,POINTS
6524 BOWNESS RD NW,-7760.980 4368.419|-7773.396 4377.204|-7778.869 4381.085|-7797.457 4354.687|-7791.990 4350.817|-7779.575 4342.022
6524 BOWNESS RD NW,-7748.558 4359.624|-7760.980 4368.419|-7779.575 4342.022|-7767.160 4333.226
6535 BOWNESS RD NW,-7834.716 4343.011|-7834.541 4343.267|-7846.956 4352.052|-7859.371 4360.847|-7878.511 4333.682|-7866.096 4324.887|-7853.674 4316.102
6403 BOWNESS RD NW,-7607.043 4182.190|-7619.458 4190.986|-7638.591 4163.854|-7626.176 4155.059
6411 BOWNESS RD NW,-7631.866 4199.770|-7644.274 4208.555|-7644.449 4208.310|-7663.421 4181.445|-7651.006 4172.650
6407 BOWNESS RD NW,-7619.458 4190.986|-7631.866 4199.770|-7651.006 4172.650|-7638.591 4163.854
6415 BOWNESS RD NW,-7644.449 4208.310|-7656.864 4217.094|-7675.836 4190.230|-7663.421 4181.445
6419 BOWNESS RD NW,-7656.864 4217.094|-7669.279 4225.890|-7688.245 4199.025|-7675.836 4190.230
6435 BOWNESS RD NW,-7705.106 4251.631|-7706.350 4252.510|-7718.765 4261.305|-7737.905 4234.196|-7725.490 4225.412|-7724.246 4224.533
6423 BOWNESS RD NW,-7669.279 4225.890|-7669.105 4226.134|-7681.520 4234.930|-7700.660 4207.821|-7688.245 4199.025
6427 BOWNESS RD NW,-7681.520 4234.930|-7692.711 4242.825|-7699.779 4232.928|-7700.967 4233.762|-7713.082 4216.616|-7700.660 4207.821
6428 BOWNESS RD NW,-7645.239 4286.469|-7657.647 4295.264|-7676.074 4269.122|-7663.666 4260.338
6432 BOWNESS RD NW,-7657.647 4295.264|-7670.062 4304.049|-7682.477 4312.844|-7700.897 4286.702|-7688.482 4277.907|-7676.074 4269.122
8604 47 AV NW,-9771.323 5236.174|-9771.330 5268.253|-9781.312 5268.253|-9781.312 5231.681|-9775.811 5231.681
