ADDRESS,POINTS
129 CANTRELL DR SW,-425.691 -12547.498|-424.650 -12548.165|-423.538 -12548.699|-422.371 -12549.088|-421.161 -12549.333|-419.931 -12549.422|-418.701 -12549.355|-417.484 -12549.144|-416.310 -12548.788|-415.184 -12548.276|-414.129 -12547.642|-413.164 -12546.875|-412.297 -12545.997|-411.542 -12545.018|-410.920 -12543.951|-410.431 -12542.817|-410.088 -12541.627|-406.425 -12525.481|-406.334 -12524.681|-406.425 -12523.869|-406.691 -12523.091|-407.124 -12522.401|-407.698 -12521.823|-408.383 -12521.389|-409.152 -12521.111|-409.956 -12521.022|-452.849 -12520.911|-453.758 -12521.056|-454.590 -12521.478|-455.240 -12522.134|-455.666 -12522.957|-455.813 -12523.880|-455.666 -12524.792|-455.247 -12525.626|-454.597 -12526.282
226R CANNIFF PL SW,-194.586 -12211.789|-193.901 -12207.909|-190.427 -12188.105|-187.526 -12171.615|-184.569 -12154.813|-190.517 -12153.623|-192.013 -12158.705|-193.628 -12163.731|-195.369 -12168.735|-197.228 -12173.683|-200.814 -12182.334|-204.771 -12190.818|-208.266 -12197.612|-211.992 -12204.273|-213.775 -12207.275|-218.794 -12215.181|-224.149 -12222.864|-229.825 -12230.303|-235.823 -12237.486|-242.114 -12244.403|-248.706 -12251.041|-255.578 -12257.390|-262.722 -12263.439|-270.111 -12269.166|-277.738 -12274.570|-285.588 -12279.629|-293.648 -12284.355|-298.506 -12286.979|-303.435 -12289.470|-308.419 -12291.839|-313.466 -12294.074|-312.564 -12297.009|-304.826 -12293.518|-297.227 -12289.726|-289.775 -12285.645|-282.491 -12281.275|-279.597 -12280.374|-275.249 -12279.029|-242.527 -12268.877|-238.661 -12267.876|-234.739 -12267.253|-230.776 -12267.009|-226.805 -12267.142|-222.869 -12267.654|-218.997 -12268.543|-215.229 -12269.789|-211.594 -12271.390|-208.127 -12273.336|-205.533 -12275.093|-202.905 -12277.183|-200.458 -12279.485|-198.200 -12281.976|-196.145 -12284.633|-194.313 -12287.446|-192.706 -12290.404|-191.342 -12293.473|-190.231 -12296.653|-186.757 -12307.951|-184.680 -12314.711|-182.646 -12310.997|-175.460 -12297.899|-174.174 -12295.541|-171.937 -12291.850|-169.385 -12288.369|-166.533 -12285.133|-163.408 -12282.165|-160.032 -12279.485|-156.432 -12277.116|-152.636 -12275.070|-148.679 -12273.380|-145.757 -12272.379|-141.123 -12271.212|-136.404 -12270.511|-131.630 -12270.278|-126.862 -12270.522|-122.137 -12271.234|-117.509 -12272.413|-113.021 -12274.036|-108.708 -12276.093|-105.653 -12277.895|-102.731 -12279.918|-99.970 -12282.142|-97.376 -12284.578|-86.373 -12295.630|-84.178 -12297.843|-84.157 -12289.915|-73.602 -12279.362|-67.122 -12272.880|-64.479 -12270.467|-61.627 -12268.310|-58.593 -12266.408|-55.406 -12264.796|-52.078 -12263.484|-48.653 -12262.483|-45.144 -12261.794|-41.585 -12261.427|-38.552 -12261.360|-34.777 -12261.616|-31.044 -12262.238|-27.388 -12263.217|-23.837 -12264.540|-20.439 -12266.197|-17.210 -12268.176|-14.183 -12270.467|-11.394 -12273.024|-3.942 -12280.552|3.538 -12288.125|3.363 -12282.654|2.720 -12266.064|1.839 -12248.339|35.226 -12248.439|34.925 -12242.946|1.532 -12242.857|0.476 -12226.167|-0.754 -12209.499|-2.152 -12192.831|-3.718 -12176.196|-5.452 -12159.550|-6.430 -12150.888|-7.465 -12142.083|-12.519 -12142.737|-16.755 -12166.789|-19.663 -12183.279|-22.459 -12199.169|-25.200 -12214.747|-25.766 -12217.438|-26.500 -12220.096|-27.409 -12222.686|-28.478 -12225.211|-30.526 -12229.080|-32.966 -12232.716|-35.769 -12236.085|-38.901 -12239.132|-42.340 -12241.834|-46.038 -12244.169|-49.960 -12246.104|-54.056 -12247.616|-55.063 -12247.905|-58.055 -12248.639|-61.061 -12249.140|-64.081 -12249.418|-67.939 -12249.451|-71.798 -12249.129|-75.608 -12248.439|-79.348 -12247.405|-82.969 -12246.037|-86.450 -12244.325|-89.757 -12242.312|-92.861 -12239.988|-95.741 -12237.386|-98.397 -12234.506|-100.774 -12231.382|-102.843 -12228.057|-104.598 -12224.543|-106.024 -12220.885|-107.100 -12217.104|-107.820 -12213.246|-108.177 -12209.343|-108.219 -12207.030|-108.135 -12204.717|-107.918 -12202.416|-107.582 -12200.125|-109.687 -12212.078|-112.210 -12226.423|-112.734 -12228.958|-113.420 -12231.460|-114.251 -12233.917|-115.237 -12236.308|-116.363 -12238.643|-117.635 -12240.900|-119.040 -12243.080|-120.578 -12245.170|-123.178 -12248.172|-126.051 -12250.908|-129.169 -12253.365|-132.504 -12255.511|-136.027 -12257.335|-139.711 -12258.825|-143.514 -12259.948|-147.407 -12260.704|-150.420 -12261.038|-152.993 -12261.138|-155.558 -12261.082|-158.124 -12260.871|-160.668 -12260.504|-163.178 -12259.970|-165.659 -12259.292|-168.092 -12258.458|-170.469 -12257.479|-172.783 -12256.356|-175.020 -12255.089|-177.180 -12253.688|-179.242 -12252.164|-181.213 -12250.507|-183.080 -12248.728|-184.827 -12246.849|-186.463 -12244.859|-188.952 -12241.256|-191.049 -12237.409|-192.740 -12233.372|-194.006 -12229.180|-194.831 -12224.877|-195.201 -12220.518|-195.117 -12216.137
700 CANTRELL DR SW,-20.313 -11663.509|-21.879 -11663.498|-27.905 -11690.352|-25.626 -11689.718|-23.277 -11689.451|-20.915 -11689.551|-18.594 -11690.018|-16.378 -11690.841|-14.316 -11692.009|-12.456 -11693.476|-10.855 -11695.211|21.560 -11663.565
1319 116 AV SW,-1355.753 -11371.278|-1364.848 -11371.267|-1364.855 -11391.071|-1364.862 -11410.863|-1364.869 -11432.191|-1364.883 -11462.658|-1364.890 -11488.844|-1356.431 -11488.856|-1335.516 -11488.867|-1315.201 -11488.878|-1315.215 -11522.392|-1306.121 -11522.392|-1306.114 -11502.288|-1306.107 -11483.396|-1306.100 -11464.515|-1306.093 -11444.722|-1306.086 -11424.607|-1306.079 -11404.814|-1314.237 -11404.814|-1334.544 -11404.803|-1355.767 -11404.792
225 CANTRELL DR SW,-344.699 -12650.765|-348.223 -12646.039|-351.620 -12646.117|-355.003 -12646.428|-358.359 -12646.973|-361.665 -12647.751|-364.909 -12648.763|-368.076 -12649.986|-371.151 -12651.443|-374.122 -12653.100|-378.128 -12655.379|-382.259 -12657.436|-386.503 -12659.249|-390.837 -12660.817|-395.255 -12662.140|-399.742 -12663.207|-404.279 -12664.030|-408.858 -12664.586|-413.458 -12664.886|-418.065 -12664.920|-422.671 -12664.697|-427.257 -12664.208|-431.808 -12663.474|-436.310 -12662.473|-440.749 -12661.217|-445.111 -12659.716|-435.590 -12663.263|-425.943 -12666.454|-416.184 -12669.279|-406.328 -12671.725|-359.652 -12682.422|-350.578 -12676.684
11775 CANFIELD RD SW,-280.240 -11011.840|-277.227 -11014.087|-274.110 -11016.177|-270.894 -11018.123|-267.581 -11019.891|-264.183 -11021.503|-260.716 -11022.938|-257.179 -11024.194|-253.586 -11025.284|-249.937 -11026.185|-246.253 -11026.907|-242.534 -11027.452|-238.801 -11027.808|-235.047 -11027.975|-231.293 -11027.953|-227.546 -11027.741|-223.806 -11027.352|-222.163 -11026.996|-220.598 -11026.396|-219.143 -11025.540|-217.836 -11024.472|-216.718 -11023.216|-215.816 -11021.792|-215.145 -11020.247|-214.726 -11018.612|-214.565 -11016.933|-214.670 -11015.254|-215.040 -11013.608|-215.669 -11012.041|-216.529 -11010.595|-217.606 -11009.305|-218.878 -11008.193|-220.304 -11007.304|-228.203 -11003.323|-236.207 -10999.553|-244.295 -10995.984|-252.481 -10992.626|-260.744 -10989.468|-269.083 -10986.532|-277.493 -10983.797|-285.972 -10981.284|-287.762 -10980.950|-289.587 -10980.928|-291.383 -10981.228|-293.110 -10981.818|-294.704 -10982.696|-296.130 -10983.842|-297.332 -10985.198|-298.290 -10986.755|-298.975 -10988.456|-299.352 -10990.235|-299.422 -10992.059|-299.184 -10993.871|-298.639 -10995.617|-297.807 -10997.240|-296.710 -10998.697|-295.375 -10999.943
271R CANTERVILLE DR SW,-1416.780 -11846.180|-1419.842 -11846.180|-1419.541 -11848.271|-1416.857 -11867.163|-1414.207 -11885.732|-1414.201 -11904.624|-1408.804 -11904.624|-1389.405 -11904.613|-1368.790 -11904.602|-1347.574 -11904.602|-1327.568 -11904.591|-1306.960 -11904.580|-1303.926 -11904.580|-1283.318 -11904.580|-1263.318 -11904.569|-1261.130 -11904.569|-1265.730 -11854.754|-1261.997 -11850.217|-1265.541 -11847.359|-1267.463 -11849.694|-1290.231 -11877.348|-1292.783 -11880.206|-1295.551 -11882.841|-1298.522 -11885.232|-1301.682 -11887.389|-1305.002 -11889.268|-1308.463 -11890.881|-1312.049 -11892.204|-1315.726 -11893.238|-1319.473 -11893.950|-1323.261 -11894.372|-1327.078 -11894.472|-1330.888 -11894.261|-1334.663 -11893.750|-1338.389 -11892.927|-1342.038 -11891.793|-1345.582 -11890.380|-1349.000 -11888.679|-1352.272 -11886.700|-1355.369 -11884.465|-1358.277 -11881.974|-1360.975 -11879.272|-1363.443 -11876.348|-1365.666 -11873.234|-1367.637 -11869.954|-1369.566 -11865.984|-1371.118 -11861.859|-1375.851 -11847.215|-1376.186 -11846.192|-1396.480 -11846.180
139 CANTERVILLE DR SW,-1241.298 -11863.516|-1246.688 -11860.547|-1251.945 -11857.333|-1257.048 -11853.886|-1261.997 -11850.217|-1265.730 -11854.754|-1261.130 -11904.569|-1244.521 -11904.558|-1225.122 -11904.558|-1204.507 -11904.547|-1197.328 -11904.547|-1178.768 -11908.805|-1161.033 -11912.864|-1143.306 -11916.934|-1124.389 -11921.270|-1106.661 -11925.329|-1088.339 -11929.532|-1070.017 -11933.735|-1056.512 -11936.827|-1058.805 -11910.362|-1095.043 -11913.542|-1096.490 -11896.852|-1097.930 -11880.162|-1098.014 -11879.239|-1117.860 -11879.239|-1134.532 -11879.228|-1151.198 -11879.228|-1154.232 -11879.228|-1173.931 -11879.228|-1177.489 -11879.228|-1182.305 -11879.139|-1187.115 -11878.883|-1191.910 -11878.460|-1196.692 -11877.871|-1202.361 -11876.948|-1207.988 -11875.792|-1213.560 -11874.402|-1219.075 -11872.778|-1224.773 -11870.832|-1230.386 -11868.631|-1235.894 -11866.195
844 CANTABRIAN DR SW,-412.172 -11332.649|-430.018 -11266.243|-570.576 -11269.056|-564.207 -11294.598|-563.480 -11297.500|-547.053 -11363.405|-546.319 -11366.352
395 CANTERBURY DR SW,-449.074 -11243.304|-387.439 -11171.227|-391.144 -11168.392|-394.968 -11165.712|-398.897 -11163.199|-402.930 -11160.853|-407.062 -11158.673|-411.277 -11156.672|-415.569 -11154.859|-419.938 -11153.214|-424.370 -11151.768|-428.865 -11150.500|-433.402 -11149.422|-437.980 -11148.543|-442.594 -11147.854|-447.229 -11147.365|-451.884 -11147.065|-456.547 -11146.964|-573.666 -11146.876|-573.680 -11166.201
