ADDRESS,POINTS
14415 1 ST NW,-156.117 14919.250|-156.145 14958.747|-218.284 14958.680|-218.256 14914.447|-165.450 14914.502|-160.612 14914.502|-159.620 14915.503|-157.620 14917.504|-156.117 14919.006
320 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
315 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
310 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
305 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
405 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
410 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
415 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
420 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
425 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
430 45 CARRINGTON BV NW,-270.384 15025.742|-271.845 15025.597|-273.250 15025.163|-274.543 15024.463|-275.675 15023.529|-276.605 15022.395|-277.297 15021.105|-277.717 15019.704|-277.857 15018.236|-277.843 15002.357|-277.752 14914.391|-244.757 14914.424|-218.256 14914.447|-218.284 14958.680|-156.145 14958.747|-156.173 15006.850|-156.271 15008.529|-156.558 15010.196|-157.026 15011.820|-157.676 15013.377|-158.543 15014.922|-159.585 15016.357|-160.794 15017.658|-162.150 15018.814|-163.625 15019.793|-165.212 15020.593|-166.883 15021.205|-168.616 15021.605|-194.167 15026.020
