ADDRESS,POINTS
115 CASTLERIDGE RD NE,8368.084 6785.764|8368.021 6852.125|8337.599 6852.103|8337.662 6785.753
88 CASTLEBROOK WY NE,7351.844 6625.454|7316.255 6661.303|7283.274 6628.467|7304.434 6607.151|7305.825 6608.630|7307.363 6609.942|7309.048 6611.065|7310.845 6612.000|7312.739 6612.711|7314.696 6613.223|7316.703 6613.501|7318.730 6613.556|7320.750 6613.378|7322.728 6612.978|7324.658 6612.355|7326.503 6611.521|7328.244 6610.487|7329.852 6609.253|7331.313 6607.852|7332.606 6606.306
23 CASTLERIDGE WY NE,8512.480 6692.627|8512.452 6723.094|8460.624 6723.050|8460.659 6683.776|8496.150 6665.684|8497.597 6668.876|8498.890 6672.123|8500.009 6675.436|8500.966 6678.805|8501.749 6682.219|8502.357 6685.655|8502.798 6689.135|8503.057 6692.616
20 CASTLEBURY RD NE,7580.076 6150.730|7577.699 6155.989|7572.149 6155.989|7557.182 6155.978|7544.208 6155.978|7530.828 6155.967|7517.854 6155.956|7505.082 6155.956|7492.310 6155.945|7479.539 6155.945|7466.767 6155.934|7451.850 6155.922|7455.436 6149.095|7516.036 6107.419|7520.468 6111.556|7525.005 6115.570|7529.647 6119.462|7534.393 6123.231|7541.544 6128.546|7548.891 6133.572|7556.434 6138.309|7564.152 6142.757|7572.037 6146.893
39 CASTLEBROOK RI NE,7504.222 6285.865|7506.131 6286.098|7507.920 6286.777|7509.507 6287.866|7510.779 6289.301|7511.674 6291.002|7512.142 6292.859|7512.149 6294.772|7511.702 6296.640|7509.829 6301.910|7508.109 6307.236|7506.543 6312.618|7505.131 6318.033|7503.432 6325.584|7468.515 6326.618|7468.522 6319.112|7468.522 6316.833|7448.739 6316.821|7445.747 6316.821|7445.761 6285.843|7448.753 6285.843
100 CASTLEBROOK DR NE,7900.610 6258.511|7900.603 6274.356|7900.596 6289.590|7900.596 6305.424|7900.589 6309.905|7900.589 6312.907|7900.589 6320.658|7900.589 6332.834|7900.582 6345.020|7900.582 6357.207|7900.575 6369.383|7900.568 6382.882|7897.583 6382.871|7606.192 6382.771|7606.192 6365.113|7606.304 6360.677|7606.633 6356.262|7607.178 6351.859|7607.940 6347.500|7608.919 6343.175|7610.107 6338.905|7611.498 6334.702|7613.106 6330.565|7614.902 6326.518|7616.902 6322.559|7619.097 6318.712|7621.473 6314.965|7624.032 6311.351|7626.772 6307.859|7629.673 6304.512|7632.742 6301.310|7715.600 6218.959|7720.591 6214.222|7725.806 6209.752|7731.238 6205.526|7736.872 6201.579|7742.688 6197.921|7748.679 6194.540|7754.831 6191.460|7761.122 6188.680|7767.546 6186.212|7774.083 6184.066|7780.710 6182.242|7787.427 6180.741|7794.208 6179.562|7801.031 6178.728|7807.896 6178.228|7814.774 6178.050|7814.774 6178.017|7890.593 6178.061|7897.639 6178.061|7900.631 6178.061|7900.624 6195.152|7900.624 6210.997|7900.617 6226.220|7900.610 6242.065
55 CASTLEFALL WY NE,7682.081 6115.114|7674.363 6120.362|7661.326 6107.208|7646.730 6092.486|7627.716 6084.224|7613.316 6077.975|7600.698 6072.493|7590.296 6063.364|7579.908 6054.235|7570.366 6045.851|7568.066 6043.838|7557.776 6034.798|7551.722 6025.969|7565.508 6016.484|7578.042 6007.855|7590.583 5999.238|7604.368 5989.753|7589.939 5968.704|7591.331 5968.148|7592.659 5967.458|7593.917 5966.635|7595.084 5965.690|7596.154 5964.645|7597.112 5963.488|7597.957 5962.254|7598.671 5960.931|7627.975 5969.104|7644.081 5958.018|7646.723 5961.354|7656.391 5973.552|7664.248 5986.106|7671.924 5998.359|7679.599 6010.602|7686.471 6023.645|7693.217 6036.432|7699.970 6049.253|7730.455 6035.443|7733.915 6043.293|7737.152 6050.699|7722.800 6056.992|7708.449 6063.286|7693.790 6069.724|7678.718 6078.242|7663.647 6086.770
160 CASTLERIDGE CL NE,8157.615 6759.577|8157.552 6825.939|8127.130 6825.905|8127.200 6759.544
151 CASTLEDALE CR NE,7658.893 6789.911|7658.914 6741.708|7662.808 6741.820|7666.695 6742.142|7670.561 6742.687|7674.384 6743.443|7678.159 6744.422|7681.871 6745.600|7685.520 6746.990|7689.078 6748.580|7708.959 6758.110|7699.620 6777.635|7697.432 6782.539|7695.517 6787.554|7693.867 6792.658|7692.490 6797.851
119 CASTLERIDGE DR NE,8120.202 6558.659|8120.174 6673.034|7890.446 6672.801|7890.460 6632.682|7890.467 6606.384|7890.474 6578.408|7890.481 6558.426|7900.519 6558.437|7906.615 6558.437|7910.565 6558.437|7937.639 6558.470|7953.759 6558.493|7969.578 6558.504|7985.999 6558.526|8000.602 6558.537|8016.421 6558.559|8032.849 6558.570|8048.662 6558.593|8065.089 6558.604|8080.909 6558.626|8096.728 6558.637|8112.296 6558.659|8115.337 6558.648
