ADDRESS,POINTS
3110 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3115 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3120 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3130 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3150 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3155 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3160 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3165 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3170 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
3215 40 CHRISTIE PARK VW SW,-7456.727 -1211.486|-7440.740 -1220.493|-7425.361 -1164.362|-7385.522 -1164.262|-7385.578 -1143.502|-7437.692 -1143.413|-7438.922 -1143.502|-7440.118 -1143.780|-7441.257 -1144.236|-7442.306 -1144.870|-7443.256 -1145.648|-7444.067 -1146.571|-7444.731 -1147.605|-7445.228 -1148.728|-7462.145 -1197.087|-7462.725 -1199.377|-7462.851 -1201.746|-7462.508 -1204.081|-7461.718 -1206.316|-7460.781 -1207.873|-7459.621 -1209.274|-7458.258 -1210.486
