ADDRESS,POINTS
1216 CENTRE ST NE,703.565 1693.014|670.423 1693.292|670.402 1682.628|670.388 1675.011|635.435 1675.323|635.386 1652.083|636.141 1652.072|670.332 1651.827|670.346 1656.742|676.421 1656.687|703.495 1656.475
199 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
123 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
127 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
103 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
107 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
111 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
115 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
143 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
147 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
151 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
167 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
183 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
179 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
171 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
159 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
155 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
122 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
142 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
138 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
131 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
135 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
163 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
185 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
187 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
189 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
191 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
195 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
196 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
197 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
119 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
139 1518 CENTRE ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
