ADDRESS,POINTS
5352 DALHURST CR NW,-5935.788 7110.864|-5938.668 7124.275|-5941.737 7121.884|-5944.701 7119.360|-5947.553 7116.713|-5950.293 7113.956|-5952.915 7111.076|-5955.410 7108.085|-5957.773 7105.004|-5960.010 7101.813|-5966.944 7091.439|-5951.509 7080.264|-5936.955 7069.722|-5926.442 7062.117|-5926.456 7063.974|-5926.763 7067.965|-5927.420 7071.902|-5928.811 7078.396|-5932.272 7094.485
5837 DALCASTLE CR NW,-6593.067 7784.339|-6604.036 7788.308|-6615.808 7784.861|-6624.790 7773.075|-6635.877 7758.553|-6646.957 7744.019|-6658.960 7728.285|-6654.129 7724.594|-6634.731 7750.013|-6629.719 7750.002|-6548.293 7749.957|-6548.293 7751.470|-6548.286 7768.138|-6574.473 7777.611
5280 DALCROFT CR NW,-5706.025 7142.110|-5705.158 7148.448|-5708.192 7155.442|-5747.639 7181.273|-5756.356 7167.930|-5754.497 7159.279|-5750.792 7142.010|-5744.759 7142.021|-5725.899 7142.066
117 DALCASTLE CL NW,-6915.958 7414.649|-6930.463 7425.746|-6983.262 7356.516|-6968.757 7345.419|-6954.251 7334.333|-6940.956 7324.170|-6926.450 7313.072|-6919.194 7307.535|-6905.905 7297.372|-6892.609 7287.208|-6889.953 7285.174|-6875.329 7300.196|-6862.585 7313.284|-6840.300 7336.190|-6828.793 7348.010|-6834.728 7352.547|-6848.024 7362.710|-6861.320 7372.884|-6840.069 7400.705|-6851.191 7409.200|-6872.442 7381.391|-6886.947 7392.477|-6901.452 7403.563
279 DALHURST WY NW,-5748.988 6954.413|-5758.600 6989.195|-5762.291 6988.094|-5765.933 6986.838|-5769.519 6985.414|-5773.043 6983.858|-5776.496 6982.145|-5779.872 6980.288|-5783.172 6978.298|-5786.380 6976.163|-5789.498 6973.895|-5792.518 6971.504|-5795.426 6968.980|-5798.236 6966.333|-5800.921 6963.576|-5803.493 6960.718|-5805.940 6957.738|-5808.261 6954.669|-5808.526 6954.302
4616 DALHOUSIE DR NW,-5709.681 6752.339|-5746.591 6765.693|-5752.791 6748.514|-5758.314 6733.202|-5758.488 6731.134|-5759.027 6724.851|-5760.390 6708.772|-5762.068 6689.046|-5763.228 6675.369|-5763.941 6668.242|-5764.682 6662.460|-5765.570 6656.689|-5766.597 6650.951|-5767.772 6645.236|-5769.079 6639.565|-5770.526 6633.938|-5772.120 6628.345|-5773.839 6622.785|-5775.706 6617.281|-5777.705 6611.810|-5779.837 6606.406|-5782.102 6601.047|-5784.500 6595.754|-5787.031 6590.517|-5789.687 6585.346|-5792.476 6580.242|-5796.824 6572.826|-5802.913 6562.862|-5813.741 6545.138|-5815.293 6542.603|-5818.467 6530.182|-5823.031 6512.324|-5825.478 6502.750|-5827.128 6496.757|-5828.994 6490.808|-5830.917 6485.348|-5833.021 6479.956|-5835.307 6474.629|-5837.767 6469.381|-5840.403 6464.221|-5843.213 6459.151|-5846.184 6454.181|-5849.316 6449.299|-5859.885 6433.476|-5870.874 6417.019|-5876.285 6408.913|-5881.696 6400.807|-5886.596 6393.457|-5892.685 6384.350|-5852.224 6357.252|-5846.729 6365.480|-5841.235 6373.709|-5830.413 6389.910|-5819.760 6405.866|-5814.349 6413.961|-5808.939 6422.067|-5798.292 6438.024|-5792.882 6446.119|-5787.464 6454.225|-5796.321 6460.152|-5803.899 6465.233|-5794.517 6497.202|-5782.592 6537.844|-5778.817 6550.698|-5775.524 6557.570|-5761.341 6587.103|-5747.164 6616.636|-5743.871 6623.497|-5741.914 6630.858|-5732.267 6667.241|-5722.613 6703.613|-5720.663 6710.974|-5719.090 6716.879
44 DALCASTLE WY NW,-7186.615 7224.661|-7207.502 7232.211|-7226.628 7179.216|-7196.737 7168.408|-7194.675 7173.523|-7192.417 7178.571|-7190.145 7183.152|-7187.712 7187.656|-7185.112 7192.059|-7182.351 7196.373|-7179.834 7200.009|-7177.206 7203.579|-7172.417 7209.861|-7166.636 7217.434
6015 DALFORD HL NW,-5990.593 6767.639|-6020.240 6788.988|-6035.430 6766.249|-6035.843 6764.559|-6005.944 6744.644|-5975.557 6724.395|-5960.947 6746.279
5850 66 AV NW,-6919.194 7307.535|-6926.450 7313.072|-6947.680 7285.240|-6940.431 7279.692
4784 DALTON DR NW,-5809.141 6159.892|-5890.804 6159.714|-5894.069 6159.714|-5897.592 6150.552|-5895.012 6150.563|-5894.313 6150.563|-5827.918 6150.707|-5824.569 6150.718|-5795.531 6150.785
6125 DALMARNOCK CR NW,-5059.168 6704.147|-5059.588 6708.528|-5060.259 6712.876|-5061.181 6717.179|-5062.349 6721.415|-5063.761 6725.574|-5065.418 6729.655|-5067.298 6733.636|-5069.409 6737.494|-5071.737 6741.219|-5074.274 6744.811|-5077.022 6748.258|-5079.958 6751.527|-5083.082 6754.629|-5086.375 6757.554|-5089.835 6760.267|-5093.449 6762.791|-5112.296 6775.134|-5121.181 6770.308|-5121.013 6704.013|-5116.441 6699.454|-5063.558 6699.577
6502 58 ST NW,-6772.898 6953.134|-6684.720 6953.023|-6686.069 6958.883|-6712.779 7083.321|-6714.115 7090.071|-6715.233 7096.854|-6716.128 7103.670|-6716.806 7110.520|-6717.260 7117.380|-6717.498 7124.252|-6717.512 7131.135|-6717.302 7138.007|-6723.034 7144.067|-6777.847 7143.934|-6782.761 7144.034|-6787.668 7144.334|-6792.555 7144.857|-6797.413 7145.591|-6802.237 7146.536|-6807.011 7147.692|-6811.737 7149.049|-6816.392 7150.617|-6823.425 7148.615|-6881.578 7072.280|-6884.976 7067.487|-6888.017 7062.461|-6890.701 7057.235|-6893.008 7051.842|-6894.923 7046.282|-6896.440 7040.611|-6897.552 7034.852|-6898.258 7029.014|-6900.823 6998.847|-6901.522 6992.809|-6902.585 6986.838|-6904.004 6980.933|-6905.779 6975.129|-6907.912 6969.447|-6910.379 6963.898|-6913.182 6958.505|-6916.307 6953.301|-6884.431 6953.268|-6865.892 6953.246|-6846.144 6953.223|-6824.942 6953.190|-6806.648 6953.168|-6786.536 6953.146
635 DALMENY HL NW,-6351.498 7685.987|-6350.470 7685.909|-6349.435 7686.009|-6348.436 7686.276|-6347.499 7686.721|-6346.646 7687.310|-6345.905 7688.033|-6345.304 7688.867|-6344.850 7689.801|-6344.556 7690.790|-6344.437 7691.813|-6344.493 7692.848|-6344.724 7693.859|-6345.122 7694.816|-6345.675 7695.683|-6346.367 7696.461|-6347.184 7697.095|-6381.585 7719.601|-6394.188 7727.685|-6406.932 7735.546|-6419.816 7743.197|-6432.832 7750.613|-6438.152 7747.467|-6438.186 7688.266|-6432.273 7683.607|-6422.311 7685.609|-6412.259 7687.132|-6402.151 7688.166|-6392.000 7688.711|-6381.836 7688.767|-6371.686 7688.322|-6361.564 7687.399
5500 DALHART RD NW,-6231.590 7113.533|-6195.253 7167.885|-6314.238 7247.523|-6348.002 7196.963|-6346.737 7190.613
5825 DALCASTLE CR NW,-6548.293 7749.957|-6629.719 7750.002|-6614.752 7738.560|-6595.808 7724.071|-6583.309 7714.508|-6548.314 7714.497
