ADDRESS,POINTS
67 DISCOVERY DR SW,-8694.146 -4097.851|-8700.941 -4095.349|-8707.834 -4093.170|-8714.831 -4091.302|-8721.898 -4089.778|-8729.036 -4088.566|-8736.222 -4087.699|-8743.436 -4087.165|-8750.671 -4086.965|-8749.986 -4105.190|-8749.413 -4120.424|-8749.196 -4126.239|-8735.390 -4125.716|-8725.135 -4125.327|-8713.734 -4131.810|-8699.613 -4140.150|-8686.156 -4148.445|-8671.833 -4157.641|-8660.103 -4165.458|-8658.670 -4157.274|-8675.803 -4146.021|-8690.623 -4136.736|-8705.925 -4127.573
73 DISCOVERY RI SW,-8627.143 -4162.300|-8643.738 -4158.630|-8645.940 -4171.173|-8607.352 -4177.989|-8606.367 -4167.904|-8606.269 -4166.903|-8612.295 -4165.569
19 DISCOVERY RIDGE CR SW,-9296.292 -3817.851|-9306.778 -3835.653|-9297.718 -3841.024|-9296.942 -3841.491|-9294.356 -3842.992|-9277.033 -3812.636|-9270.707 -3816.161|-9264.290 -3819.486|-9257.509 -3822.766|-9250.637 -3825.835|-9243.675 -3828.693|-9236.635 -3831.350|-9229.519 -3833.796|-9222.333 -3836.020|-9215.084 -3838.033|-9207.779 -3839.834|-9200.418 -3841.413|-9193.022 -3842.781|-9185.584 -3843.915|-9178.118 -3844.838|-9177.286 -3844.927|-9168.303 -3852.333|-9162.340 -3855.424|-9163.438 -3880.999|-9160.453 -3881.121|-9154.770 -3881.243|-9123.585 -3881.655|-9117.930 -3881.488|-9112.303 -3880.888|-9106.745 -3879.865|-9101.279 -3878.419|-9098.420 -3877.440|-9095.602 -3876.351|-9090.283 -3873.904|-9085.180 -3871.047|-9080.321 -3867.778|-9075.742 -3864.130|-9071.471 -3860.139|-9067.529 -3855.802|-9063.949 -3851.165|-9060.755 -3846.261|-9057.966 -3841.124|-9055.596 -3835.765|-9053.659 -3830.238|-9052.171 -3824.578|-9051.150 -3818.807|-9050.584 -3812.981|-9050.493 -3807.132|-9050.870 -3801.283|-9060.720 -3809.189|-9073.044 -3819.085|-9086.319 -3829.749|-9097.693 -3838.878|-9119.027 -3816.205|-9121.334 -3818.118|-9123.620 -3819.497|-9126.081 -3820.520|-9128.660 -3821.176|-9131.317 -3821.443|-9131.708 -3821.443|-9134.735 -3821.187|-9143.263 -3854.067|-9162.795 -3843.937|-9174.832 -3834.008|-9181.222 -3829.882|-9187.730 -3825.946|-9194.336 -3822.188|-9201.054 -3818.618|-9207.883 -3815.238|-9214.811 -3812.047|-9221.871 -3809.044|-9229.009 -3806.231|-9246.743 -3800.238|-9263.723 -3780.278|-9267.974 -3759.896|-9269.190 -3754.059|-9256.355 -3731.364|-9255.705 -3730.207|-9256.747 -3729.618|-9263.500 -3725.782|-9286.722 -3732.164|-9288.169 -3731.330|-9291.364 -3729.518|-9292.671 -3728.773|-9296.159 -3726.794|-9298.340 -3725.548|-9313.999 -3716.630|-9327.148 -3709.147|-9337.752 -3703.120|-9348.357 -3697.082|-9358.962 -3691.044|-9377.333 -3680.581|-9380.835 -3678.591|-9365.707 -3730.007|-9333.216 -3724.425|-9302.548 -3738.302|-9298.767 -3740.015|-9281.934 -3767.157|-9283.940 -3800.060
60 DISCOVERY RIDGE RI SW,-9302.367 -3855.657|-9305.317 -3853.934|-9314.383 -3848.563|-9324.561 -3865.854|-9326.323 -3885.358|-9333.572 -3901.914|-9337.864 -3909.042|-9333.481 -3917.093|-9321.695 -3910.754|-9305.631 -3910.132|-9304.995 -3895.143|-9310.853 -3892.074|-9316.648 -3888.894|-9315.684 -3878.274
225 DISCOVERY DR SW,-8502.586 -4242.060|-8503.369 -4241.293|-8517.343 -4227.515|-8528.989 -4216.029|-8540.286 -4204.887|-8540.824 -4204.231|-8540.845 -4260.362|-8540.845 -4261.041|-8475.211 -4295.622|-8475.211 -4296.567|-8475.205 -4298.969|-8474.610 -4298.969|-8372.451 -4299.136|-8370.914 -4299.003|-8369.411 -4298.625|-8367.999 -4297.991|-8366.705 -4297.123|-8365.244 -4295.656|-8364.140 -4293.910|-8363.455 -4291.953|-8363.224 -4289.885|-8363.224 -4282.479|-8386.544 -4279.666|-8402.273 -4277.764|-8416.268 -4276.074|-8417.994 -4275.863|-8433.709 -4273.917|-8438.309 -4273.339|-8454.471 -4269.380|-8456.554 -4268.869|-8474.205 -4260.974|-8476.057 -4260.151|-8490.521 -4250.588|-8490.772 -4250.422
151 DISCOVERY RIDGE BV SW,-9764.381 -3659.031|-9764.395 -3648.179|-9779.047 -3636.948|-9809.638 -3620.269|-9834.929 -3608.727|-9843.276 -3603.200|-9845.513 -3632.556|-9835.013 -3634.635|-9824.597 -3637.070|-9814.265 -3639.861|-9804.038 -3643.008|-9793.923 -3646.500|-9783.934 -3650.336|-9774.084 -3654.517
70 DISCOVERY RIDGE HL SW,-10022.952 -3372.215|-10041.036 -3360.239|-10055.248 -3350.821|-10069.117 -3342.237|-10083.741 -3335.832|-10099.113 -3331.473|-10116.051 -3328.816|-10133.520 -3326.069|-10150.983 -3323.323|-10178.539 -3318.997|-10181.524 -3314.894|-10198.378 -3291.710|-10198.315 -3285.172|-10202.377 -3286.206|-10202.384 -3292.333|-10202.118 -3298.682|-10201.580 -3305.020|-10200.762 -3311.325|-10199.664 -3317.585|-10198.301 -3323.790|-10196.658 -3329.928|-10194.750 -3335.999|-10192.583 -3341.970|-10141.448 -3343.038|-10069.858 -3354.780|-10054.367 -3363.364|-10024.637 -3401.259|-10005.769 -3412.835|-9984.400 -3393.531|-9964.533 -3393.053|-9924.491 -3434.395|-9879.647 -3470.812|-9831.399 -3490.782|-9806.534 -3507.462|-9800.396 -3549.660|-9782.997 -3511.098|-9792.273 -3503.281|-9794.622 -3501.301|-9809.386 -3494.051|-9824.087 -3486.679|-9838.732 -3479.196|-9853.321 -3471.601|-9872.692 -3461.305|-9886.715 -3449.062|-9887.281 -3447.305|-9892.377 -3431.527|-9860.724 -3426.489|-9857.229 -3425.933|-9858.026 -3423.031|-9858.340 -3420.040|-9861.822 -3420.118|-9886.813 -3420.663|-9897.843 -3420.896|-9886.666 -3393.164|-9879.955 -3376.507|-9872.412 -3357.804|-9871.965 -3356.681|-9884.722 -3349.342|-9898.584 -3341.236|-9912.943 -3332.685|-9926.672 -3324.357|-9936.627 -3318.219|-9937.263 -3319.242|-9945.686 -3332.697|-9955.082 -3347.719|-9963.526 -3361.229|-9977.178 -3368.824|-9993.473 -3339.290|-9994.808 -3339.980|-9996.193 -3340.558|-9997.619 -3341.014|-9999.080 -3341.347|-9986.853 -3374.206|-10005.175 -3378.553
23 DISCOVERY RIDGE PA SW,-9726.465 -3494.174|-9718.559 -3532.436|-9720.383 -3614.287|-9681.502 -3592.548|-9656.378 -3624.683|-9654.533 -3653.183|-9610.982 -3696.938|-9527.509 -3704.699|-9542.755 -3647.111|-9552.675 -3627.196|-9544.838 -3672.708|-9542.629 -3685.551|-9557.135 -3691.411|-9594.953 -3687.775|-9617.679 -3677.601|-9631.464 -3667.871|-9646.899 -3643.620|-9650.409 -3622.415|-9653.240 -3605.291|-9653.743 -3585.198|-9653.547 -3583.185|-9676.441 -3585.309|-9689.157 -3577.359|-9705.829 -3566.929|-9705.088 -3534.026|-9665.270 -3540.620|-9665.704 -3539.163|-9665.969 -3537.673|-9666.074 -3536.161|-9666.004 -3534.638|-9700.775 -3522.517|-9701.984 -3522.106|-9702.620 -3520.994|-9719.978 -3491.127|-9722.536 -3492.673|-9724.459 -3493.529
34R DISCOVERY RIDGE WY SW,-9563.461 -3605.547|-9559.400 -3551.628|-9550.892 -3527.955|-9554.485 -3506.950|-9570.479 -3475.260|-9569.969 -3478.562|-9567.495 -3494.407|-9565.027 -3510.241|-9562.552 -3526.087|-9562.112 -3541.932|-9563.503 -3557.788|-9564.950 -3574.245|-9566.397 -3590.702|-9566.586 -3592.826
326R DISCOVERY RIDGE BV SW,-10552.921 -3527.944|-10556.633 -3521.550|-10559.324 -3514.011|-10561.624 -3516.457|-10554.291 -3536.995|-10548.049 -3549.527|-10524.540 -3596.751|-10466.428 -3657.853|-10378.628 -3728.350|-10322.536 -3747.342|-10288.010 -3754.626|-10280.488 -3756.305|-10273.015 -3758.173|-10265.592 -3760.219|-10258.217 -3762.454|-10250.898 -3764.867|-10243.641 -3767.458|-10236.455 -3770.226|-10229.339 -3773.173|-10222.293 -3776.286|-10215.323 -3779.578|-10208.444 -3783.047|-10201.650 -3786.672|-10194.939 -3790.475|-10188.333 -3794.433|-10181.825 -3798.559|-10175.414 -3802.840|-10176.708 -3767.257|-10172.527 -3755.248|-10173.478 -3755.537|-10192.338 -3761.331|-10195.806 -3760.219|-10223.991 -3751.223|-10239.070 -3746.419|-10243.250 -3745.085|-10254.386 -3740.037|-10269.492 -3733.198|-10284.592 -3726.360|-10299.167 -3719.766|-10313.574 -3713.239|-10329.387 -3708.191|-10349.051 -3701.919|-10369.260 -3680.581|-10368.366 -3652.282|-10367.883 -3637.048|-10367.506 -3625.161|-10375.426 -3625.495|-10383.360 -3625.528|-10391.833 -3625.206|-10400.284 -3624.539|-10409.274 -3623.427|-10418.201 -3621.915|-10426.722 -3620.080|-10435.153 -3617.878|-10443.807 -3615.209|-10452.335 -3612.152|-10460.402 -3608.849|-10468.322 -3605.213|-10476.375 -3601.065|-10484.240 -3596.551|-10491.608 -3591.892|-10498.773 -3586.910|-10505.980 -3581.417|-10512.936 -3575.602|-10519.591 -3569.519|-10525.966 -3563.148|-10531.265 -3557.377|-10536.340 -3551.417|-10540.688 -3545.913|-10544.847 -3540.264|-10548.992 -3534.171
