ADDRESS,POINTS
331 8 AV SW,166.521 -266.897|118.203 -264.717|118.105 -266.841|125.431 -267.175|133.016 -267.519|140.607 -267.864|148.199 -268.209|166.423 -269.032
510 8 AV SW,-19.481 -236.174|-19.474 -233.171|-22.466 -236.040
331 8 AV SW,209.030 -268.820|166.521 -266.897|166.423 -269.032|170.981 -269.232|177.049 -269.510|178.566 -269.577|186.157 -269.921|193.749 -270.266|201.341 -270.611|208.925 -270.955
510 8 AV SW,-19.454 -154.990|-22.445 -154.868|-19.454 -158.004
510 8 AV SW,-19.468 -198.634|-30.163 -198.145|-31.799 -235.618|-22.466 -236.040|-19.474 -233.171
609 3 ST SW,67.774 -90.942|60.210 -90.597|52.646 -90.252|45.090 -89.908|37.526 -89.574|29.962 -89.229|22.398 -88.885|14.835 -88.551|4.090 -88.062|2.664 -94.100|14.562 -94.634|22.126 -94.978|29.683 -95.312|37.246 -95.657|44.810 -96.001|52.374 -96.346|59.937 -96.680|67.494 -97.024
255 6 AV SW,291.672 -61.286|284.087 -60.941|276.495 -60.597|276.397 -62.732|283.989 -63.076|291.581 -63.421
510 8 AV SW,-19.468 -192.541|-83.018 -189.661|-83.284 -195.743|-75.692 -196.088|-68.107 -196.432|-60.516 -196.777|-52.931 -197.122|-45.339 -197.467|-37.755 -197.811|-30.163 -198.145|-19.468 -198.634
835 2 ST SW,230.030 -309.429|227.905 -309.329|227.632 -315.422|229.757 -315.522
906 8 AV SW,-742.367 -205.684|-734.768 -206.029|-727.169 -206.373|-719.571 -206.707|-711.972 -207.052|-704.373 -207.396|-696.775 -207.741|-695.013 -168.167|-702.619 -167.822|-710.218 -167.477|-717.816 -167.133|-725.415 -166.788|-733.013 -166.443|-740.612 -166.099|-748.211 -165.754|-755.809 -165.409|-763.408 -165.064|-771.007 -164.720|-778.605 -164.375|-786.204 -164.030|-793.803 -163.686|-801.401 -163.341|-803.051 -200.814|-803.149 -202.937|-795.550 -203.282|-787.952 -203.627|-787.861 -201.492|-780.262 -201.837|-772.663 -202.181|-765.065 -202.526|-757.466 -202.871|-749.868 -203.204|-742.269 -203.549
