ADDRESS,POINTS
8500 BLACKFOOT TR SE,1785.795 -7857.140|1744.726 -7865.091|1740.874 -7859.153|1711.878 -7873.764|1700.302 -7879.579|1695.849 -7881.826|1711.591 -7913.071|1727.648 -7944.161|1728.396 -7945.429|1729.263 -7946.619|1730.242 -7947.720|1731.325 -7948.720|1732.500 -7949.610|1733.758 -7950.377|1735.086 -7951.011|1736.470 -7951.511|1737.896 -7951.878|1739.351 -7952.101|1740.819 -7952.179|1742.287 -7952.112|1743.748 -7951.889|1745.174 -7951.534|1746.558 -7951.044|1747.893 -7950.411|1776.603 -7935.021|1778.378 -7933.965|1780.049 -7932.764|1781.615 -7931.407|1783.048 -7929.928|1784.348 -7928.327|1785.502 -7926.615|1786.501 -7924.813|1787.340 -7922.923|1788.487 -7920.577|1789.997 -7918.309|1791.821 -7916.285|1792.178 -7915.973|1794.100 -7914.428|1796.204 -7913.149|1797.742 -7912.526|1800.126 -7911.759|1801.685 -7911.459|1801.873 -7911.414|1804.236 -7911.237|1806.606 -7911.359|1808.941 -7911.781|1811.199 -7912.515|1813.855 -7913.816|1816.267 -7915.529|1822.334 -7906.533|1830.387 -7894.613|1823.369 -7887.975|1804.879 -7886.151|1793.436 -7882.937|1787.711 -7874.031|1790.381 -7863.045
8400 BLACKFOOT TR SE,1695.849 -7881.826|1700.302 -7879.579|1711.878 -7873.764|1740.874 -7859.153|1754.107 -7833.945|1746.019 -7825.105|1728.410 -7818.266|1718.169 -7788.733|1703.748 -7765.260|1684.755 -7753.117|1668.628 -7760.890|1664.867 -7762.702|1643.937 -7772.777|1644.762 -7774.578|1657.184 -7801.554|1669.844 -7828.419|1682.735 -7855.183
7979 11 ST SE,1618.688 -7190.682|1622.672 -7190.693|1641.274 -7190.727|1698.911 -7191.461|1703.699 -7191.361|1708.495 -7191.527|1713.269 -7191.961|1718.009 -7192.650|1722.713 -7193.607|1727.348 -7194.819|1731.920 -7196.275|1736.401 -7197.988|1740.777 -7199.934|1745.041 -7202.124|1749.186 -7204.548|1753.185 -7207.195|1757.036 -7210.052|1760.720 -7213.121|1764.237 -7216.379|1767.571 -7219.838|1771.066 -7223.896|1774.303 -7228.177|1779.063 -7253.841|1850.282 -7245.079|1898.950 -7276.580|1900.439 -7274.034|1905.039 -7266.417|1909.778 -7258.900|1916.196 -7249.215|1922.858 -7239.697|1928.569 -7231.925|1934.441 -7224.274|1976.600 -7170.556|1978.844 -7167.698|1967.513 -7158.725|1965.835 -7157.101|1964.493 -7155.189|1963.556 -7153.054|1963.046 -7150.763|1955.950 -7092.820|1954.112 -7077.797|1953.469 -7072.527|1952.315 -7063.131|1951.211 -7054.113|1949.240 -7052.389|1948.624 -7051.933|1945.786 -7049.153|1943.444 -7046.963|1942.801 -7046.173|1937.398 -7040.258|1932.358 -7034.020|1927.716 -7027.482|1923.480 -7020.665|1920.600 -7015.406|1918.293 -7010.669|1916.175 -7005.843|1914.252 -7000.939|1912.533 -6995.969|1910.778 -6990.165|1897.657 -6993.645|1826.144 -7002.485|1816.658 -7003.652|1701.273 -7017.919|1625.385 -7002.274|1623.623 -7011.725|1622.190 -7021.232|1620.785 -7033.342|1619.764 -7045.495|1619.149 -7057.671|1618.933 -7069.869
7300 RAILWAY ST SE,2085.204 -6564.155|2084.617 -6558.061|2084.226 -6554.069|2081.695 -6527.594|2077.445 -6483.516|2076.809 -6476.922|2075.054 -6458.286|2030.077 -6462.656|2030.679 -6469.027|2036.746 -6531.952|2039.836 -6564.043|2048.043 -6649.263|2051.356 -6683.734|2066.463 -6682.277|2066.547 -6683.200|2072.314 -6743.134|2102.212 -6741.121|2101.814 -6737.007|2100.604 -6724.220|2099.143 -6709.064|2092.433 -6639.300
8380 BLACKFOOT TR SE,1617.793 -7687.746|1617.765 -7713.810|1630.411 -7742.654|1643.308 -7771.398|1643.937 -7772.777|1655.681 -7767.128|1660.372 -7764.871|1664.867 -7762.702|1668.628 -7760.890|1684.755 -7753.117|1687.041 -7745.545|1707.096 -7745.901|1708.278 -7742.131|1703.622 -7738.095|1718.638 -7727.064|1708.376 -7709.740|1690.760 -7698.710|1692.326 -7695.040|1684.965 -7687.690|1675.982 -7687.701|1632.305 -7687.735|1627.244 -7687.735
8180 11 ST SE,2038.795 -7669.276|2034.817 -7662.783|2030.588 -7656.445|2026.107 -7650.273|2021.388 -7644.291|2016.432 -7638.509|2011.245 -7632.916|2005.848 -7627.545|2000.235 -7622.386|1994.426 -7617.460|1988.428 -7612.767|1982.242 -7608.319|1975.887 -7604.116|1969.372 -7600.169|1962.703 -7596.488|1955.895 -7593.086|1948.953 -7589.939|1944.158 -7588.004|1939.285 -7586.269|1934.350 -7584.735|1929.352 -7583.412|1924.305 -7582.289|1919.215 -7581.377|1914.091 -7580.687|1908.939 -7580.198|1872.743 -7577.541|1872.869 -7602.382|1873.589 -7729.589|1873.617 -7734.059|1873.735 -7739.296|1874.078 -7744.533|1874.644 -7749.748|1875.427 -7754.930|1876.434 -7760.067|1877.664 -7765.171|1879.104 -7770.208|1880.761 -7775.178|1882.627 -7780.082|1884.697 -7784.897|1886.975 -7789.623|1889.450 -7794.237|1892.120 -7798.752|1894.986 -7803.133|1898.034 -7807.403|1901.257 -7811.528|1904.654 -7815.520|1908.219 -7819.356|1911.945 -7823.048|1915.825 -7826.562|1919.852 -7829.920|1924.018 -7833.089|1928.310 -7836.091|1932.735 -7838.893|1937.272 -7841.517|1941.914 -7843.930|1946.660 -7846.154|1951.491 -7848.167|1956.405 -7849.979|1961.396 -7851.569|1966.443 -7852.948|1971.553 -7854.105|1976.698 -7855.050|1981.885 -7855.773|1987.100 -7856.273|1992.329 -7856.551|1997.565 -7856.595|2002.794 -7856.429|2008.016 -7856.028|2013.216 -7855.406|2018.382 -7854.572|2023.506 -7853.504|2028.581 -7852.225|2033.601 -7850.724|2038.550 -7849.023|2043.422 -7847.099|2048.211 -7844.976|2052.901 -7842.640|2057.487 -7840.116|2061.961 -7837.392|2066.316 -7834.490|2070.545 -7831.387|2074.635 -7828.118|2078.584 -7824.671|2082.380 -7821.069|2086.015 -7817.299|2089.490 -7813.374|2092.796 -7809.304|2095.928 -7805.101|2098.871 -7800.764|2101.632 -7796.317|2104.197 -7791.747|2106.567 -7787.065|2108.734 -7782.295|2120.597 -7752.272|2124.645 -7736.294|2125.428 -7733.213|2131.167 -7711.708|2134.096 -7701.334|2137.151 -7691.004|2140.345 -7680.707|2143.659 -7670.444|2149.146 -7654.588|2154.753 -7638.787|2159.066 -7627.200|2161.470 -7620.984|2165.798 -7610.199|2162.631 -7608.742|2149.517 -7602.760|2144.113 -7610.376|2138.367 -7617.738|2133.173 -7623.820|2127.741 -7629.691|2122.072 -7635.340|2116.193 -7640.755|2107.057 -7648.828|2102.044 -7652.953|2096.760 -7656.711|2049.644 -7687.824
8000 11 ST SE,1977.299 -7306.447|1937.978 -7281.128|1930.883 -7292.737|1924.165 -7304.568|1920.725 -7310.995|1914.916 -7322.515|1909.457 -7334.202|1904.354 -7346.055|1899.614 -7358.053|1895.245 -7370.195|1891.247 -7382.460|1887.626 -7394.847|1884.382 -7407.346|1881.523 -7419.922|1879.048 -7432.587|1876.965 -7445.330|1875.266 -7458.117|1873.952 -7470.960|1873.043 -7483.837|1872.519 -7496.724|1872.386 -7509.634|1872.645 -7559.438|1872.743 -7577.541|1908.939 -7580.198|1914.091 -7580.687|1919.215 -7581.377|1924.305 -7582.289|1929.352 -7583.412|1934.350 -7584.735|1939.285 -7586.269|1944.158 -7588.004|1948.953 -7589.939|1955.895 -7593.086|1962.703 -7596.488|1969.372 -7600.169|1975.887 -7604.116|1982.242 -7608.319|1988.428 -7612.767|1994.426 -7617.460|2000.235 -7622.386|2005.848 -7627.545|2011.245 -7632.916|2016.432 -7638.509|2021.388 -7644.291|2026.107 -7650.273|2030.588 -7656.445|2034.817 -7662.783|2038.795 -7669.276|2049.644 -7687.824|2096.760 -7656.711|2102.044 -7652.953|2107.057 -7648.828|2116.193 -7640.755|2122.072 -7635.340|2127.741 -7629.691|2133.173 -7623.820|2138.367 -7617.738|2144.113 -7610.376|2149.517 -7602.760|2162.631 -7608.742|2165.798 -7610.199|2172.320 -7594.765|2179.184 -7579.487|2182.253 -7572.870|2197.653 -7540.379|2213.480 -7508.088|2188.817 -7496.780|2190.131 -7490.575|2191.243 -7484.326|2192.159 -7478.043|2192.872 -7471.739|2193.389 -7465.412|2193.704 -7459.074|2193.822 -7452.724|2193.739 -7446.375|2193.193 -7436.368|2192.152 -7426.393|2189.775 -7408.124|2188.377 -7398.194|2186.748 -7388.309|2184.910 -7378.446|2182.847 -7368.639|2182.008 -7364.914|2180.387 -7357.875|2172.257 -7358.231|2164.127 -7358.409|2155.997 -7358.409|2147.867 -7358.209|2139.744 -7357.831|2131.628 -7357.275|2123.533 -7356.530|2115.452 -7355.596|2107.399 -7354.484|2099.367 -7353.194|2091.370 -7351.715|2083.408 -7350.047|2075.488 -7348.212|2067.609 -7346.188|2059.780 -7343.998|2052.000 -7341.618|2042.185 -7338.327|2032.489 -7334.702|2022.919 -7330.766|2013.482 -7326.507|2004.192 -7321.948|1995.062 -7317.078|1986.093 -7311.918
20 HERITAGE MEADOWS WY SE,1976.202 -7034.720|1979.725 -7037.267|1983.353 -7039.680|1987.079 -7041.926|1990.896 -7044.027|2042.465 -7065.577|2044.051 -7066.111|2045.701 -7066.422|2047.379 -7066.489|2049.050 -7066.333|2050.678 -7065.933|2052.230 -7065.310|2053.691 -7064.476|2055.012 -7063.453|2073.188 -7047.141|2076.271 -7043.216|2113.837 -6995.324|2121.995 -6984.538|2129.769 -6973.463|2137.144 -6962.110|2144.120 -6950.512|2150.670 -6938.681|2156.808 -6926.617|2162.512 -6914.341|2167.776 -6901.876|2172.599 -6889.233|2176.968 -6876.423|2180.883 -6863.458|2184.343 -6850.381|2187.335 -6837.171|2189.852 -6823.873|2191.907 -6810.496|2193.480 -6797.052|2193.508 -6794.973|2193.179 -6792.927|2192.501 -6790.959|2191.488 -6789.146|2190.187 -6787.523|2188.621 -6786.166|2186.839 -6785.088|2184.910 -6784.343|2165.085 -6778.683|2154.389 -6777.538|2141.310 -6776.148|2134.326 -6775.392|2128.608 -6774.791|2117.018 -6773.790|2105.400 -6773.290|2099.185 -6773.223|2092.971 -6773.290|2086.756 -6773.501|2080.556 -6773.846|2075.390 -6774.202|2060.234 -6775.225|2049.546 -6775.947|2027.701 -6777.426|1937.684 -6783.520|1936.237 -6783.676|1934.804 -6783.965|1933.413 -6784.398|1932.064 -6784.965|1930.785 -6785.655|1929.575 -6786.478|1928.457 -6787.412|1927.429 -6788.457|1926.514 -6789.591|1925.710 -6790.803|1925.032 -6792.093|1924.479 -6793.450|1924.067 -6794.851|1923.787 -6796.285|1923.654 -6797.742|1923.661 -6799.198|1931.463 -6928.140|1931.707 -6932.132|1933.022 -6953.948|1933.462 -6959.163|1934.154 -6964.367|1935.091 -6969.527|1936.272 -6974.642|1937.698 -6979.701|1939.369 -6984.683|1941.270 -6989.575|1943.410 -6994.368|1945.772 -6999.060|1948.352 -7003.630|1951.155 -7008.067|1954.168 -7012.370|1957.376 -7016.518|1960.788 -7020.510|1964.381 -7024.335|1968.156 -7027.982|1972.098 -7031.451
40 HERITAGE MEADOWS WY SE,2243.217 -7172.591|2327.068 -7216.379|2340.573 -7223.407|2343.461 -7216.513|2344.600 -7213.778|2348.459 -7204.571|2368.354 -7157.101|2457.028 -6945.453|2486.066 -6809.495|2477.007 -6809.439|2424.935 -6799.954|2398.895 -6795.206|2322.035 -6794.706|2286.684 -6789.613|2276.562 -6789.280|2266.446 -6788.779|2256.345 -6788.112|2246.251 -6787.278|2245.860 -6787.245|2243.888 -6787.278|2241.952 -6787.645|2240.099 -6788.312|2238.387 -6789.280|2236.856 -6790.525|2235.549 -6792.004|2234.500 -6793.672|2233.745 -6795.496|2227.405 -6815.377|2225.776 -6826.352|2223.846 -6837.271|2221.638 -6848.146|2219.142 -6858.943|2216.353 -6869.685|2213.291 -6880.348|2209.942 -6890.923|2206.314 -6901.398|2202.414 -6911.783|2198.233 -6922.058|2193.787 -6932.210|2189.076 -6942.251|2184.099 -6952.158|2178.856 -6961.932|2173.361 -6971.562|2167.615 -6981.047|2161.575 -6990.431|2155.291 -6999.661|2148.755 -7008.712|2141.988 -7017.585|2095.851 -7076.407|2094.579 -7078.409|2093.726 -7080.610|2093.320 -7082.946|2093.376 -7085.314|2093.901 -7087.627|2094.872 -7089.784|2096.242 -7091.719|2097.962 -7093.342|2111.642 -7103.872|2192.194 -7145.937
33 HERITAGE MEADOWS WY SE,2163.952 -7171.746|2074.824 -7125.200|2073.167 -7124.488|2071.419 -7124.032|2069.623 -7123.854|2067.826 -7123.943|2066.057 -7124.299|2064.366 -7124.922|2062.786 -7125.789|2061.353 -7126.890|2044.114 -7142.357|1962.424 -7246.502|1956.601 -7254.108|1950.945 -7261.847|1948.485 -7265.327|1943.144 -7273.167|1937.978 -7281.128|1977.299 -7306.447|1986.093 -7311.918|1995.062 -7317.078|2004.192 -7321.948|2013.482 -7326.507|2022.919 -7330.766|2032.489 -7334.702|2042.185 -7338.327|2052.000 -7341.618|2059.780 -7343.998|2067.609 -7346.188|2075.488 -7348.212|2083.408 -7350.047|2091.370 -7351.715|2099.367 -7353.194|2107.399 -7354.484|2115.452 -7355.596|2123.533 -7356.530|2131.628 -7357.275|2139.744 -7357.831|2147.867 -7358.209|2155.997 -7358.409|2164.127 -7358.409|2172.257 -7358.231|2180.387 -7357.875|2182.008 -7364.914|2182.847 -7368.639|2184.910 -7378.446|2186.748 -7388.309|2188.377 -7398.194|2189.775 -7408.124|2192.152 -7426.393|2193.193 -7436.368|2193.739 -7446.375|2193.822 -7452.724|2193.704 -7459.074|2193.389 -7465.412|2192.872 -7471.739|2192.159 -7478.043|2191.243 -7484.326|2190.131 -7490.575|2188.817 -7496.780|2213.480 -7508.088|2223.434 -7488.307|2233.549 -7468.603|2235.136 -7465.389|2256.953 -7421.189|2261.917 -7411.160|2283.720 -7359.109|2295.995 -7329.809|2300.238 -7319.680|2319.148 -7274.546|2326.634 -7256.677|2245.552 -7214.356|2227.782 -7205.082|2210.271 -7195.942|2195.689 -7188.314|2172.977 -7176.461
