ADDRESS,POINTS
7417 FOUNTAIN RD SE,1064.860 -6685.146|1058.695 -6683.834|1013.117 -6786.756|1015.822 -6790.937|1064.888 -6790.914
36 FOSTER RD SE,921.940 -6514.406|944.638 -6463.145|941.024 -6457.574|867.435 -6457.596|865.275 -6462.267|874.125 -6472.852|915.257 -6515.585
7510 FLINT RD SE,375.159 -6846.212|354.167 -6829.744|308.022 -6888.733|253.671 -6998.393|303.507 -7010.547|319.990 -6940.694|374.705 -6846.634
450 71 AV SE,1222.433 -6375.368|1207.249 -6371.587|1207.955 -6606.019|1222.216 -6606.019|1223.118 -6606.019
7330 FLINT RD SE,447.419 -6779.239|414.131 -6753.075|354.167 -6829.744|375.159 -6846.212
7800 FLINT RD SE,303.507 -7010.547|253.671 -6998.393|175.238 -7224.975|205.472 -7155.133|256.719 -7142.768|273.643 -7071.025|296.104 -7041.926
128 FYFFE RD SE,1271.198 -7034.242|1421.256 -7398.005|1421.514 -7389.410|1421.291 -7380.826|1420.585 -7372.264|1419.396 -7363.757|1417.733 -7355.329|1415.601 -7347.000|1413.000 -7338.816|1409.945 -7330.788|1285.214 -7028.416
449 71 AV SE,1285.214 -7028.416|1283.732 -7024.824|1276.567 -7006.855|1269.849 -6988.708|1263.565 -6970.405|1257.728 -6951.958|1252.345 -6933.377|1247.410 -6914.663|1242.936 -6895.838|1238.916 -6876.912|1235.358 -6857.887|1232.254 -6838.795|1229.626 -6819.625|1227.459 -6800.388|1225.760 -6781.118|1224.530 -6761.803|1223.768 -6742.467|1223.474 -6723.119|1223.181 -6624.711|1222.272 -6624.711|1208.011 -6624.734|1208.305 -6723.174|1208.487 -6738.264|1208.955 -6753.342|1209.696 -6768.408|1210.724 -6783.453|1212.031 -6798.487|1213.611 -6813.487|1215.470 -6828.454|1217.609 -6843.387|1220.028 -6858.287|1222.719 -6873.132|1225.683 -6887.921|1228.920 -6902.654|1232.436 -6917.321|1236.218 -6931.921|1240.272 -6946.454|1244.599 -6960.909|1245.508 -6963.822|1251.010 -6980.724|1256.882 -6997.503|1263.117 -7014.138|1269.716 -7030.651|1271.198 -7034.242
7840 FAIRMOUNT DR SE,1010.719 -7191.750|1010.684 -7069.380|928.546 -7069.402|788.869 -7023.301|785.738 -7033.531|782.997 -7043.872|780.662 -7054.313|778.726 -7064.843|777.188 -7075.429|776.063 -7086.070|775.350 -7096.745|775.042 -7107.442|775.147 -7118.139|775.657 -7128.825|776.580 -7139.488|777.908 -7150.107|779.642 -7160.671|781.781 -7171.157|784.319 -7181.542|787.255 -7191.839
7240 FLINT RD SE,447.419 -6779.239|559.029 -6675.839|555.863 -6672.547|551.864 -6668.188|548.068 -6663.652|544.496 -6658.926|541.148 -6654.044|464.022 -6689.304|414.131 -6753.075
8038 FAIRMOUNT DR SE,1010.719 -7191.750|787.255 -7191.839|789.114 -7197.699|791.113 -7203.514|793.231 -7209.274|795.475 -7215.001|797.642 -7220.527|799.670 -7226.098|801.564 -7231.724|803.326 -7237.384|804.947 -7243.089|806.429 -7248.837|807.779 -7254.619|808.981 -7260.424|810.050 -7266.262|810.980 -7272.121|811.763 -7278.004|812.406 -7283.897|812.903 -7289.813|813.266 -7295.728|813.483 -7301.666|813.553 -7307.593|813.553 -7313.664|1010.754 -7313.631|1010.740 -7275.535
45 FLAVELLE RD SE,615.820 -7403.487|615.806 -7309.027|615.694 -7307.170|615.352 -7305.335|614.792 -7303.556|614.024 -7301.866|613.052 -7300.276|611.891 -7298.819|610.563 -7297.518|609.081 -7296.384|607.473 -7295.450|605.768 -7294.705|603.985 -7294.183|602.147 -7293.882|600.287 -7293.816|598.435 -7293.971|596.610 -7294.349|594.856 -7294.950|535.485 -7319.546|569.983 -7403.509
