ADDRESS,POINTS
4804 41 AV SW,-5873.650 -3540.120|-5842.074 -3539.942|-5842.269 -3506.450|-5873.838 -3506.628
50 GRAFTON DR SW,-5276.159 -3574.735|-5333.817 -3574.579|-5290.532 -3669.250|-5289.127 -3671.841|-5287.365 -3674.198|-5285.282 -3676.289|-5282.926 -3678.057|-5280.347 -3679.469|-5277.593 -3680.503|-5274.719 -3681.137|-5271.783 -3681.359|-5122.355 -3681.760|-5121.593 -3575.146
56 GLAMIS DR SW,-6185.327 -3653.928|-6253.323 -3653.961|-6325.109 -3696.715|-6340.236 -3696.726|-6338.181 -3709.492|-6336.608 -3722.346|-6335.517 -3735.233|-6334.916 -3748.165|-6302.613 -3748.143|-6302.627 -3722.557|-6287.451 -3713.417|-6236.609 -3713.395|-6236.609 -3702.053|-6185.313 -3702.019
404 GLAMORGAN PL SW,-5794.412 -3764.289|-5794.447 -3750.756|-5796.614 -3749.722|-5798.586 -3748.343|-5799.837 -3747.409|-5801.165 -3746.575|-5802.563 -3745.864|-5804.010 -3745.274|-5805.506 -3744.818|-5807.037 -3744.485|-5808.596 -3744.285|-5810.155 -3744.218|-5844.143 -3744.307|-5848.924 -3748.810|-5849.980 -3764.433|-5839.962 -3764.411|-5832.371 -3764.389|-5824.779 -3764.366|-5817.187 -3764.344|-5809.596 -3764.333|-5802.004 -3764.311
30 GALBRAITH DR SW,-4921.987 -3967.842|-4976.611 -3967.731|-4981.175 -3972.290|-4981.287 -4017.846|-5040.790 -4135.124|-5006.788 -4135.213
30R GALBRAITH DR SW,-4911.781 -3967.864|-4908.083 -3960.559|-4918.282 -3960.536|-4921.987 -3967.842|-5006.788 -4135.213|-4996.589 -4135.235|-4932.843 -4009.429|-4928.747 -4001.345|-4927.209 -3998.298
347 GLAMORGAN CR SW,-5994.088 -4172.452|-5962.988 -4196.225|-5958.101 -4194.613|-5947.937 -4159.442|-5951.405 -4158.219|-5954.816 -4156.851|-5958.171 -4155.350|-5961.457 -4153.704|-5964.673 -4151.925|-5967.811 -4150.013|-5970.866 -4147.967|-5973.830 -4145.798
5016 46 AV SW,-6163.503 -3574.190|-6163.475 -3678.424|-6163.447 -3760.263|-6163.384 -3943.646|-6158.833 -3948.227|-6108.257 -3948.361|-6029.286 -3948.550|-5869.560 -3948.961|-5865.009 -3944.402|-5865.156 -3769.059|-5869.756 -3764.455|-6013.899 -3764.455|-6015.927 -3764.389|-6017.947 -3764.188|-6019.953 -3763.844|-6021.932 -3763.377|-6023.868 -3762.765|-6025.762 -3762.042|-6027.608 -3761.175|-6029.390 -3760.197|-6031.047 -3759.140|-6032.634 -3757.973|-6034.137 -3756.705|-6035.556 -3755.348|-6036.891 -3753.892|-6038.128 -3752.368|-6039.261 -3750.756|-6040.289 -3749.077|-6041.204 -3747.331|-6042.008 -3745.541|-6042.693 -3743.695|-6043.252 -3741.805|-6043.693 -3739.881|-6044.014 -3737.946|-6044.203 -3735.978|-6044.266 -3734.021|-6044.343 -3562.258|-6044.406 -3559.045|-6044.595 -3555.831|-6044.916 -3552.629|-6045.357 -3549.438|-6045.930 -3546.280|-6046.622 -3543.133|-6047.440 -3540.019|-6048.383 -3536.950|-6064.168 -3543.889|-6078.624 -3550.249|-6093.074 -3556.610|-6107.530 -3562.959|-6109.236 -3563.715|-6113.122 -3565.339|-6117.065 -3566.840|-6121.050 -3568.207|-6125.083 -3569.431|-6129.634 -3570.631|-6134.220 -3571.666|-6138.847 -3572.522|-6143.503 -3573.200|-6151.206 -3573.934|-6158.938 -3574.179
4331 41 AV SW,-5276.159 -3574.735|-5275.929 -3499.633|-5295.663 -3456.456|-5367.651 -3489.615|-5369.888 -3495.675|-5333.817 -3574.579
4207 41 AV SW,-5276.159 -3574.735|-5121.593 -3575.146|-5121.551 -3568.686|-5120.174 -3375.718|-5120.342 -3375.718|-5232.259 -3427.257|-5295.663 -3456.456|-5275.929 -3499.633
4015 37 ST SW,-4890.467 -3277.611|-4890.390 -3105.536|-5004.531 -3105.548|-4923.770 -3282.381
30 GALBRAITH DR SW,-4898.247 -4135.491|-4889.782 -4135.869|-4889.775 -4124.649|-4889.712 -4109.360|-4889.313 -4024.974|-4889.272 -4015.411|-4889.202 -4001.423|-4889.188 -3998.376|-4889.069 -3972.612|-4894.465 -3967.898|-4911.781 -3967.864|-4927.209 -3998.298|-4928.747 -4001.345|-4932.843 -4009.429|-4996.589 -4135.235|-4905.175 -4135.468
