ADDRESS,POINTS
8415 24 ST SW,-4281.519 -7621.574|-4653.965 -7621.796|-4672.287 -7621.796|-4355.542 -7803.722|-4063.745 -7971.337|-3851.759 -8093.140|-3843.860 -8097.666|-3444.654 -8327.072|-3428.583 -8327.072|-3427.409 -8327.072|-3426.339 -8327.072|-3401.565 -8327.072|-3262.217 -8327.061|-3262.336 -8099.067|-3262.685 -7764.315|-3262.406 -7621.085
8415 24 ST SW,-4281.519 -7621.574|-4653.965 -7621.796|-4672.287 -7621.796|-4355.542 -7803.722|-4063.745 -7971.337|-3851.759 -8093.140|-3843.860 -8097.666|-3444.654 -8327.072|-3428.583 -8327.072|-3427.409 -8327.072|-3426.339 -8327.072|-3401.565 -8327.072|-3262.217 -8327.061|-3262.336 -8099.067|-3262.685 -7764.315|-3262.406 -7621.085
9035 24 ST SW,-3262.217 -8327.061|-3401.565 -8327.072|-3426.339 -8327.072|-3427.409 -8327.072|-3428.583 -8327.072|-3444.654 -8327.072|-3843.860 -8097.666|-3851.759 -8093.140|-4063.745 -7971.337|-4063.724 -8043.069|-4055.070 -8045.827|-4046.451 -8048.707|-4037.880 -8051.720|-4029.352 -8054.867|-4020.880 -8058.136|-4012.449 -8061.539|-4004.074 -8065.064|-3995.756 -8068.711|-3987.493 -8072.491|-3979.286 -8076.394|-3971.142 -8080.420|-3963.054 -8084.578|-3955.036 -8088.848|-3947.081 -8093.240|-3939.196 -8097.755|-3931.373 -8102.381|-3923.628 -8107.140|-3915.952 -8111.999|-3908.354 -8116.992|-3900.825 -8122.084|-3893.380 -8127.299|-3886.012 -8132.615|-3878.728 -8138.052|-3871.528 -8143.601|-3864.405 -8149.249|-3857.372 -8155.009|-3850.431 -8160.880|-3843.573 -8166.851|-3836.813 -8172.923|-3830.137 -8179.094|-3823.566 -8185.377|-3817.079 -8191.748|-3763.784 -8244.966|-3753.976 -8254.518|-3743.938 -8263.825|-3733.676 -8272.887|-3723.190 -8281.694|-3712.495 -8290.244|-3701.596 -8298.529|-3690.496 -8306.535|-3679.199 -8314.274|-3667.721 -8321.724|-3656.060 -8328.896|-3644.226 -8335.768|-3632.230 -8342.350|-3620.074 -8348.644|-3607.770 -8354.637|-3595.320 -8360.320|-3582.730 -8365.690|-3570.022 -8370.750|-3557.187 -8375.498|-3544.241 -8379.934|-3531.190 -8384.049|-3518.041 -8387.829|-3504.801 -8391.298|-3491.484 -8394.434|-3478.097 -8397.247|-3464.640 -8399.727|-3451.128 -8401.873|-3437.566 -8403.686|-3423.963 -8405.164|-3410.331 -8406.299|-3396.672 -8407.110|-3382.998 -8407.577|-3369.318 -8407.711|-3313.136 -8407.555|-3291.220 -8407.488|-3274.115 -8407.444|-3271.291 -8407.433|-3262.189 -8387.618
3120 90 AV SW,-4063.724 -8043.069|-4063.745 -7971.337|-4355.542 -7803.722|-4355.472 -7986.182|-4341.707 -7990.663|-4327.824 -7994.777|-4313.850 -7998.536|-4299.779 -8001.916|-4285.623 -8004.941|-4271.390 -8007.598|-4257.095 -8009.878|-4242.750 -8011.790|-4169.078 -8020.641|-4155.712 -8022.398|-4142.388 -8024.455|-4129.113 -8026.824|-4115.901 -8029.481|-4102.745 -8032.439|-4089.659 -8035.686|-4076.650 -8039.233
1125 50 AV SW,-1163.494 -4380.887|-1226.646 -4380.898|-1226.639 -4467.007|-1201.998 -4498.153|-1166.395 -4469.631|-1160.278 -4477.359|-1131.967 -4513.142|-1125.794 -4508.449|-1119.866 -4503.701|-1113.932 -4498.942|-1108.192 -4494.183|-1163.494 -4424.297
1215 50 AV SW,-1226.646 -4380.898|-1236.642 -4380.898|-1351.908 -4380.942|-1409.118 -4425.498|-1409.167 -4480.339|-1409.237 -4554.195|-1409.300 -4616.965|-1345.945 -4616.920|-1346.008 -4679.678|-1291.147 -4639.537|-1286.282 -4636.235|-1279.969 -4631.965|-1274.041 -4627.217|-1268.114 -4622.458|-1261.990 -4619.122|-1254.363 -4615.341|-1248.435 -4610.582|-1242.500 -4605.834|-1236.572 -4601.086|-1230.987 -4596.438|-1224.766 -4591.512|-1218.782 -4586.831|-1212.854 -4582.083|-1206.933 -4577.312|-1200.991 -4572.576|-1195.441 -4567.349|-1189.890 -4562.123|-1184.340 -4556.897|-1179.167 -4551.204|-1173.232 -4546.456|-1167.304 -4541.697|-1161.376 -4536.949|-1155.441 -4532.201|-1149.513 -4527.453|-1143.208 -4523.172|-1137.280 -4518.412|-1131.967 -4513.142|-1160.278 -4477.359|-1166.395 -4469.631|-1201.998 -4498.153|-1226.639 -4467.007
1235 50 AV SW,-1346.008 -4679.678|-1345.945 -4616.920|-1409.300 -4616.965|-1409.356 -4678.600|-1406.224 -4679.545|-1402.680 -4680.857|-1399.031 -4681.958|-1395.438 -4682.659|-1391.950 -4683.048|-1388.608 -4683.392|-1384.764 -4684.048|-1381.520 -4684.393|-1378.283 -4684.838|-1374.739 -4685.283|-1370.894 -4685.928|-1367.252 -4685.861|-1363.862 -4685.550|-1360.171 -4684.671|-1356.683 -4683.848|-1353.348 -4682.925|-1352.384 -4682.558|-1348.798 -4681.335|-1346.008 -4680.168
8327 14 ST SW,-1711.673 -7721.060|-1663.677 -7721.082|-1663.229 -7670.811|-1663.362 -7666.986|-1663.837 -7663.194|-1664.648 -7659.447|-1665.788 -7655.800|-1667.249 -7652.264|-1669.017 -7648.872|-1671.087 -7645.647|-1673.428 -7642.623|-1676.029 -7639.821|-1678.874 -7637.263|-1681.936 -7634.973|-1685.186 -7632.960|-1688.605 -7631.248|-1692.163 -7629.847|-1695.833 -7628.768|-1699.580 -7628.023|-1704.851 -7627.222|-1709.779 -7627.612|-1714.693 -7628.179|-1719.579 -7628.924|-1724.438 -7629.858|-1729.261 -7630.970|-1734.036 -7632.260|-1738.761 -7633.716|-1743.424 -7635.362|-1748.031 -7637.163|-1752.561 -7639.143|-1757.020 -7641.289|-1761.397 -7643.602|-1765.682 -7646.070|-1769.876 -7648.694|-1773.972 -7651.474|-1777.957 -7654.399|-1797.670 -7721.015
1301R 50 AV SW,-1409.300 -4616.965|-1409.237 -4554.195|-1409.167 -4480.339|-1409.118 -4425.498|-1419.143 -4433.315|-1419.373 -4674.953|-1416.962 -4676.487|-1413.012 -4677.888|-1409.573 -4678.544|-1409.356 -4678.600
1411 50 AV SW,-1419.373 -4674.953|-1419.143 -4433.315|-1535.066 -4523.605|-1619.301 -4440.976|-1619.294 -4606.601|-1618.616 -4606.812|-1615.932 -4607.613|-1612.590 -4608.870|-1609.347 -4610.026|-1606.103 -4611.138|-1602.559 -4612.039|-1598.959 -4613.395|-1595.366 -4614.852|-1592.073 -4616.064|-1589.032 -4617.276|-1585.894 -4618.788|-1582.650 -4620.200|-1579.406 -4621.613|-1576.366 -4622.769|-1572.919 -4624.337|-1569.529 -4625.237|-1565.677 -4626.494|-1562.336 -4627.695|-1558.938 -4629.063|-1556.911 -4630.175|-1553.870 -4631.831|-1550.473 -4633.399|-1546.523 -4634.144|-1543.028 -4635.556|-1539.078 -4637.124|-1535.730 -4639.348|-1532.745 -4640.649|-1528.788 -4642.117|-1525.244 -4644.485|-1521.344 -4644.274|-1518.114 -4642.895|-1514.668 -4643.284|-1511.627 -4645.052|-1508.083 -4646.309|-1504.790 -4648.077|-1501.246 -4648.933|-1497.849 -4649.778|-1494.304 -4650.323|-1491.166 -4651.024|-1487.377 -4650.757|-1483.476 -4651.513|-1480.135 -4652.814|-1476.842 -4653.870|-1473.452 -4654.471|-1470.411 -4655.371|-1466.762 -4656.483|-1463.267 -4657.540|-1460.030 -4658.740|-1456.689 -4659.697|-1454.410 -4660.253|-1450.509 -4660.642|-1446.916 -4661.142|-1443.875 -4661.943|-1440.331 -4663.455|-1437.290 -4665.579|-1434.046 -4667.547|-1430.901 -4669.059|-1427.559 -4670.472|-1424.015 -4671.528|-1420.156 -4674.463
