ADDRESS,POINTS
911 32 AV NE,2099.619 3620.500|2080.772 3650.389|2080.779 3655.760|2080.793 3666.490|2080.800 3671.060|2080.835 3697.547|2080.849 3706.698|2007.876 3706.799|1980.445 3706.843|1975.887 3706.843|1894.001 3706.954|2110.251 3364.062|2115.340 3367.287|2218.226 3432.358
4127 6 ST NE,1565.959 4527.362|1567.748 4526.138|1569.671 4525.138|1571.705 4524.381|1573.809 4523.859|1575.962 4523.603|1578.129 4523.592|1580.282 4523.848|1582.393 4524.348|1584.428 4525.104|1586.357 4526.094|1588.153 4527.295|1589.796 4528.718|1591.264 4530.319|1592.523 4532.076|1593.564 4533.978|1594.375 4535.990|1594.843 4537.358|1607.182 4573.952|1607.552 4656.070|1607.573 4661.118|1607.671 4683.324|1598.786 4679.176|1593.222 4676.585|1549.489 4656.192|1469.574 4618.919|1474.362 4615.773|1479.032 4612.459|1483.590 4608.979|1488.022 4605.354|1491.279 4602.507|1491.776 4602.062|1495.264 4598.815|1498.661 4595.468|1498.850 4595.279|1506.414 4587.596|1513.978 4579.912|1516.228 4577.622|1529.098 4564.556|1536.662 4556.873|1555.830 4537.414|1564.106 4529.007
647 46 AV NE,1554.389 5158.971|1512.482 5159.004|1512.160 5086.249|1554.061 5086.060
927 45 AV NE,2167.699 4863.626|2144.512 5008.713|2117.990 4999.695|2127.790 4970.818|2093.222 4959.054|2129.985 4850.828|2139.982 4854.208
647 46 AV NE,1609.467 5085.816|1609.775 5154.345|1605.231 5158.915|1554.389 5158.971|1554.061 5086.060
4612 6 ST NE,1666.363 5158.882|1644.804 5158.904|1643.343 5158.826|1641.889 5158.615|1640.470 5158.259|1639.086 5157.759|1637.758 5157.136|1636.500 5156.380|1635.318 5155.513|1634.235 5154.523|1633.249 5153.445|1632.375 5152.266|1631.613 5151.009|1630.984 5149.686|1630.488 5148.307|1630.131 5146.884|1629.915 5145.439|1629.838 5143.971|1629.838 5143.682|1629.768 5128.448|1629.705 5113.214|1629.635 5097.981|1629.565 5082.736|1629.502 5067.502|1629.432 5052.268|1629.362 5037.035|1629.299 5021.801|1629.299 5021.590|1629.362 5020.111|1629.572 5018.665|1629.922 5017.231|1630.411 5015.841|1631.033 5014.518|1631.788 5013.250|1632.655 5012.060|1633.641 5010.970|1634.724 5009.981|1635.905 5009.102|1637.164 5008.335|1638.492 5007.701|1639.876 5007.201|1641.302 5006.834|1642.756 5006.612|1644.224 5006.534|1665.720 5006.478|1665.783 5021.712|1665.853 5036.957|1665.916 5052.190|1665.978 5067.435|1666.041 5082.680|1666.104 5097.914|1666.174 5113.159|1666.237 5128.392|1666.300 5143.637
640 42 AV NE,1555.235 4857.610|1511.146 4857.799|1510.755 4769.466|1554.844 4769.266
4144 6A ST NE,1956.454 4765.141|1929.016 4845.890|1911.330 4828.733|1900.474 4818.203|1879.600 4797.954|1878.622 4797.009|1845.885 4765.252|1857.392 4731.260
824 41 AV NE,1918.817 4969.795|2063.513 5110.323|2068.637 5120.175|2083.513 5134.619|2051.538 5163.619|1986.366 5209.609|1898.747 5261.437|1813.401 5288.113|1823.131 5255.922|1833.170 5223.820|1843.523 5191.818|1854.183 5159.927
640 42 AV NE,1608.447 4857.366|1555.235 4857.610|1554.844 4769.266|1594.375 4769.088|1596.752 4769.299|1599.066 4769.911|1601.233 4770.912|1603.197 4772.279|1604.889 4773.958|1606.266 4775.916|1607.279 4778.073|1607.902 4780.386|1608.118 4782.732
654 46 AV NE,1549.601 5179.075|1594.976 5179.030|1597.143 5179.186|1599.261 5179.653|1601.289 5180.420|1603.183 5181.466|1604.903 5182.789|1606.420 5184.334|1607.692 5186.091|1608.698 5188.004|1609.244 5189.438|1609.635 5190.917|1609.873 5192.418|1609.957 5193.942|1610.118 5229.813|1610.292 5268.376|1604.315 5291.260|1604.392 5305.170|1576.228 5306.137|1550.272 5309.618|1549.643 5188.071
4080 6A ST NE,1995.642 4649.798|1976.048 4707.475|1876.909 4673.594|1896.427 4615.928
4100 6A ST NE,1976.048 4707.475|1956.454 4765.141|1857.392 4731.260|1876.909 4673.594
731 41 AV NE,1829.052 4751.820|1827.710 4755.767|1778.546 4805.849|1738.015 4766.375|1751.898 4725.522
621 41 AV NE,1516.228 4577.622|1513.978 4579.912|1506.414 4587.596|1498.850 4595.279|1498.661 4595.468|1495.026 4599.049|1491.279 4602.507|1488.022 4605.354|1483.667 4603.319|1483.597 4588.085|1485.757 4587.084|1487.763 4585.806|1489.588 4584.271|1491.196 4582.503|1492.838 4581.080|1494.677 4579.912|1496.669 4579.023|1498.773 4578.444|1500.682 4578.189|1502.604 4578.189|1504.512 4578.444|1506.372 4578.945|1513.964 4577.933
743 41 AV NE,1929.016 4845.890|1901.984 4925.573|1858.566 4883.441|1911.330 4828.733
4535 8A ST NE,2075.236 4817.380|2073.950 4821.161|2070.692 4830.735|2024.080 4967.693|1949.400 4942.241|1930.407 4935.769|2029.959 4642.559|2123.820 4674.561|2077.165 4811.709
4523 6A ST NE,1707.872 4940.629|1671.375 4940.695|1671.263 4925.462|1671.151 4910.228|1671.040 4895.005|1707.579 4894.961|1707.677 4910.183|1707.775 4925.406
4612 PACIFIC RD NE,1870.555 5018.209|1865.647 5032.631|1831.038 5021.401|1835.735 5006.901
1020 40 AV NE,2220.729 4536.012|2205.329 4589.675|2190.782 4684.847|2123.820 4674.561|2029.959 4642.559|2066.085 4536.268
4608 PACIFIC RD NE,1875.455 5003.787|1870.555 5018.209|1835.735 5006.901|1840.433 4992.412
4610 5 ST NE,1502.835 5040.871|1417.390 5040.982|1420.123 4995.281|1502.632 4994.914
4550 PACIFIC RD NE,1880.355 4989.365|1875.455 5003.787|1840.433 4992.412|1845.130 4977.923
3898 6 ST NE,1634.465 4327.533|1625.895 4327.544|1625.874 4307.540|1653.689 4307.474|1650.732 4310.898|1647.621 4314.190
4141 6A ST NE,1846.193 4701.359|1829.052 4751.820|1751.898 4725.522|1769.039 4675.051
