ADDRESS,POINTS
4620 BLACKFOOT TR SE,1713.940 -3891.095|1622.861 -3890.895|1622.763 -3971.978|1632.445 -4039.129|1633.277 -4043.288|1634.549 -4047.335|1636.241 -4051.227|1638.338 -4054.919|1639.736 -4056.954|1641.253 -4058.888|1642.889 -4060.734|1644.637 -4062.469|1646.489 -4064.081|1648.439 -4065.593|1650.481 -4066.972|1652.606 -4068.218|1654.801 -4069.330|1657.059 -4070.308|1659.379 -4071.142|1661.742 -4071.820|1664.147 -4072.354|1666.580 -4072.743|1669.026 -4072.977|1671.487 -4073.055|1711.284 -4073.066|1713.716 -4072.487|1713.821 -4021.671|1713.856 -3986.701|1713.891 -3951.719|1713.912 -3916.748
4620 BLACKFOOT TR SE,1713.940 -3891.095|1622.861 -3890.895|1622.763 -3971.978|1632.445 -4039.129|1633.277 -4043.288|1634.549 -4047.335|1636.241 -4051.227|1638.338 -4054.919|1639.736 -4056.954|1641.253 -4058.888|1642.889 -4060.734|1644.637 -4062.469|1646.489 -4064.081|1648.439 -4065.593|1650.481 -4066.972|1652.606 -4068.218|1654.801 -4069.330|1657.059 -4070.308|1659.379 -4071.142|1661.742 -4071.820|1664.147 -4072.354|1666.580 -4072.743|1669.026 -4072.977|1671.487 -4073.055|1711.284 -4073.066|1713.716 -4072.487|1713.821 -4021.671|1713.856 -3986.701|1713.891 -3951.719|1713.912 -3916.748
4301 9 ST SE,2140.073 -3644.487|2140.122 -3568.396|2091.566 -3568.441|2091.496 -3644.543
4303 9 ST SE,2140.017 -3726.749|2140.073 -3644.487|2091.496 -3644.543|2064.170 -3644.565|2064.156 -3661.600|2064.121 -3712.071|2064.107 -3726.838
4405 9 ST SE,2139.968 -3800.249|2140.017 -3726.749|2064.107 -3726.838|2064.051 -3800.193|2123.449 -3800.260
929R 42 AV SE,2091.496 -3644.543|2091.566 -3568.441|2064.240 -3568.474|2064.226 -3573.645|2064.198 -3612.630|2064.170 -3644.565
910 46 AV SE,2064.051 -3800.193|2002.018 -3800.093|2002.032 -3903.816|2002.053 -3939.799|2002.074 -3974.769|2002.102 -4004.825|2123.505 -3976.348|2123.435 -3882.255|2123.449 -3800.260
1259 HIGHFIELD CR SE,2522.571 -4144.742|2509.652 -4117.177|2504.626 -4106.391|2497.076 -4090.268|2493.350 -4082.395|2491.113 -4076.579|2488.604 -4070.875|2487.730 -4069.274|2486.667 -4067.795|2485.430 -4066.461|2484.039 -4065.282|2482.522 -4064.281|2480.886 -4063.481|2479.167 -4062.869|2477.391 -4062.491|2475.581 -4062.313|2473.756 -4062.369|2471.959 -4062.647|2470.205 -4063.136|2468.527 -4063.848|2466.947 -4064.748|2465.486 -4065.827|2464.172 -4067.095|2447.605 -4084.941|2445.962 -4086.709|2440.684 -4092.714|2435.742 -4098.985|2434.029 -4101.331|2430.911 -4105.846|2427.968 -4110.483|2425.200 -4115.220|2422.600 -4120.046|2421.873 -4121.491|2421.859 -4182.070|2443.543 -4192.389
4040 BLACKFOOT TR SE,1715.415 -3136.571|1712.381 -3135.815|1626.629 -3114.599|1623.064 -3129.832|1623.134 -3335.532|1712.598 -3335.465|1715.639 -3335.454|1715.527 -3237.947
4027 7 ST SE,1777.763 -3237.925|1718.568 -3237.947|1715.527 -3237.947|1715.639 -3335.454|1718.673 -3335.454|1777.868 -3335.410
