ADDRESS,POINTS
458 35 AV NW,25.859 4065.869|18.260 4065.880|10.654 4065.880|-1.579 4065.891|-1.327 4033.923|3.273 4029.353|10.599 4029.342|18.197 4029.342|25.803 4029.331
130 32 AV NW,517.513 3764.253|481.065 3764.286|481.051 3756.669|481.037 3749.064|481.030 3741.447|481.016 3733.830|517.464 3733.797|517.478 3741.414|517.485 3749.030|517.499 3756.647
3810 CENTRE B ST NW,579.945 4340.276|574.779 4340.276|574.779 4332.659|574.779 4325.042|574.779 4317.425|574.779 4309.809|574.779 4302.192|574.779 4294.575|574.779 4286.947|574.779 4279.330|574.779 4271.713|574.779 4264.096|574.779 4256.480|574.779 4248.863|574.779 4241.246|574.779 4233.629|574.779 4226.012|574.779 4218.384|574.779 4210.767|574.779 4203.150|574.779 4195.534|574.779 4187.917|574.779 4180.300|574.786 4172.683|574.779 4165.066|574.786 4157.449|574.786 4149.832|574.786 4142.205|574.786 4134.588|574.786 4126.971|574.786 4119.354|579.945 4119.354|579.945 4126.971|579.945 4134.588|579.945 4142.205|579.945 4149.821|579.945 4157.449|579.945 4165.066|579.945 4172.683|579.945 4180.300|579.945 4187.917|579.945 4195.534|579.945 4203.150|579.945 4210.767|579.945 4218.384|579.945 4226.001|579.945 4233.618|579.945 4241.246|579.945 4248.863|579.945 4256.480|579.945 4264.096|579.945 4271.713|579.945 4279.330|579.945 4286.947|579.945 4294.564|579.945 4302.181|579.945 4309.798|579.945 4317.414|579.945 4325.042|579.945 4332.659
3716 2 ST NW,378.479 4195.656|342.017 4195.678|342.017 4188.050|378.479 4188.028
3716 2 ST NW,420.108 4195.634|383.645 4195.656|383.645 4188.028|420.108 4188.006
455 36 AV NW,24.041 4107.601|5.691 4107.634|1.168 4103.064|1.420 4071.084|24.013 4071.062
3810 CENTRE B ST NW,574.779 4340.276|538.303 4340.321|538.310 4332.704|538.310 4325.076|538.310 4317.459|538.310 4309.842|538.310 4302.225|538.310 4294.608|538.310 4286.980|538.310 4279.363|538.310 4271.747|538.310 4264.130|538.310 4256.513|538.310 4248.896|538.310 4241.268|538.317 4233.651|538.317 4226.034|538.317 4218.418|538.317 4210.801|538.317 4203.173|538.317 4195.556|538.317 4187.939|538.317 4180.322|538.317 4172.705|538.317 4165.088|538.317 4157.460|538.317 4149.844|538.324 4142.227|538.324 4134.610|538.324 4126.993|538.324 4119.365|574.786 4119.354|574.786 4126.971|574.786 4134.588|574.786 4142.205|574.786 4149.832|574.786 4157.449|574.779 4165.066|574.786 4172.683|574.779 4180.300|574.779 4187.917|574.779 4195.534|574.779 4203.150|574.779 4210.767|574.779 4218.384|574.779 4226.012|574.779 4233.629|574.779 4241.246|574.779 4248.863|574.779 4256.480|574.779 4264.096|574.779 4271.713|574.779 4279.330|574.779 4286.947|574.779 4294.575|574.779 4302.192|574.779 4309.809|574.779 4317.425|574.779 4325.042|574.779 4332.659
3810 CENTRE B ST NW,616.414 4317.381|616.414 4324.998|616.414 4332.615|616.414 4340.232|579.945 4340.276|579.945 4332.659|579.945 4325.042|579.945 4317.414
3810 CENTRE B ST NW,616.414 4302.147|579.945 4302.181|579.945 4294.564|579.945 4286.947|579.945 4279.330|579.945 4271.713|579.945 4264.096|579.945 4256.480|579.945 4248.863|579.945 4241.246|579.945 4233.618|579.945 4226.001|579.945 4218.384|579.945 4210.767|579.945 4203.150|579.945 4195.534|579.945 4187.917|579.945 4180.300|579.945 4172.683|579.945 4165.066|579.945 4157.449|579.945 4149.821|579.945 4142.205|579.945 4134.588|579.945 4126.971|579.945 4119.354|616.407 4119.343|616.407 4126.960|616.407 4134.577|616.407 4142.193|616.407 4149.810|616.414 4157.427|616.414 4165.044|616.414 4172.661|616.414 4180.278|616.414 4187.895|616.414 4195.511|616.414 4203.128|616.414 4210.745|616.414 4218.362|616.414 4225.979|616.414 4233.596|616.414 4241.212|616.414 4248.829|616.414 4256.446|616.414 4264.063|616.414 4271.680|616.414 4279.297|616.414 4286.914|616.414 4294.530
232R 32 AV NE,932.670 3768.489|925.079 3768.501|925.065 3760.895|932.656 3760.873
4055 1 ST NE,794.273 4537.391|731.191 4537.402|730.590 4535.201|731.673 4532.554|732.980 4528.863|733.924 4525.071|734.497 4521.212|734.693 4517.309|764.039 4517.298|794.210 4517.287
343 MCKNIGHT BV NE,1192.423 5310.774|1190.780 5312.520|1189.046 5314.166|1187.236 5315.734|1185.334 5317.201|1183.363 5318.558|1181.329 5319.826|1179.225 5320.971|1177.064 5322.005|1174.849 5322.928|1172.591 5323.740|1170.298 5324.418|1167.970 5324.985|1165.607 5325.419|1163.237 5325.741|1160.847 5325.930|1158.449 5325.997|937.773 5325.963|933.209 5321.382|933.202 5315.267|937.759 5310.685|1118.904 5310.752|1167.543 5310.763
3823 CENTRE ST NW,616.414 4317.381|579.945 4317.414|579.945 4309.798|579.945 4302.181|616.414 4302.147|616.414 4309.764
205 43 AV NW,320.871 4929.209|339.836 4950.669|334.929 4951.281|329.993 4951.592|325.044 4951.581|320.109 4951.270|315.202 4950.647|310.343 4949.713|305.555 4948.490|300.850 4946.956
