ADDRESS,POINTS
3009 23 AV SW,-4105.954 -1663.171|-4121.088 -1663.183|-4121.088 -1670.799|-4121.088 -1678.405|-4121.088 -1686.022|-4121.088 -1693.639|-4121.088 -1701.256|-4121.088 -1708.884|-4105.933 -1708.850|-4105.940 -1701.245|-4105.940 -1693.628|-4105.940 -1686.011|-4105.947 -1678.405|-4105.947 -1670.788
2801 29 ST SW,-4075.119 -2023.054|-4075.133 -2015.437|-4075.147 -2007.831|-4121.319 -2007.865|-4121.305 -2015.481|-4121.298 -2023.098
3403 26 AV SW,-4502.663 -2054.144|-4489.773 -2054.133|-4489.780 -2026.723|-4502.670 -2026.723
3407 26 AV SW,-4502.670 -2026.723|-4510.248 -2026.734|-4514.037 -2026.734|-4514.037 -2054.144|-4510.241 -2054.144|-4502.663 -2054.144
3409 26 AV SW,-4514.037 -2026.734|-4517.833 -2026.734|-4525.410 -2026.745|-4525.403 -2054.155|-4517.826 -2054.144|-4514.037 -2054.144
3413 26 AV SW,-4525.410 -2026.745|-4532.988 -2026.745|-4532.988 -2054.155|-4525.403 -2054.155
3415 26 AV SW,-4532.988 -2026.745|-4540.566 -2026.745|-4548.150 -2026.757|-4548.150 -2054.166|-4540.573 -2054.155|-4532.988 -2054.155
2640 30 ST SW,-4127.037 -1975.896|-4172.587 -1975.940|-4172.587 -1980.199|-4172.629 -1987.849|-4127.030 -1987.772|-4127.030 -1980.155
3419 26 AV SW,-4548.150 -2026.757|-4555.728 -2026.757|-4568.611 -2026.768|-4568.618 -2054.177|-4555.735 -2054.166|-4548.150 -2054.166
2920 23 AV SW,-4017.825 -1628.067|-4055.769 -1627.778|-4055.755 -1635.406|-4055.741 -1643.023|-4017.797 -1642.990|-4017.811 -1635.729
