ADDRESS,POINTS
204 MACEWAN PARK RI NW,-3212.731 9742.092|-3222.903 9739.490|-3229.739 9745.784|-3233.591 9770.458|-3240.686 9768.879|-3247.831 9767.522|-3255.010 9766.399|-3262.231 9765.510|-3270.515 9764.787|-3271.815 9764.576|-3273.052 9764.142|-3274.199 9763.497|-3275.212 9762.674|-3276.072 9761.674|-3276.736 9760.539|-3277.198 9759.316|-3277.435 9758.026|-3277.694 9755.436|-3249.893 9752.656|-3243.636 9745.006|-3243.671 9739.735|-3243.755 9726.836|-3243.846 9713.337|-3243.937 9700.439|-3244.063 9681.513|-3244.119 9674.041|-3250.012 9662.110|-3255.793 9650.412|-3253.108 9649.078|-3251.543 9652.258|-3243.399 9668.726|-3241.434 9672.718|-3239.044 9677.555|-3231.808 9682.647|-3219.561 9691.276|-3218.806 9695.957|-3214.829 9720.565|-3211.291 9742.459
36 MACEWAN PARK RI NW,-3261.217 9780.710|-3267.418 9815.103|-3284.936 9810.955|-3279.232 9779.354|-3270.724 9779.798|-3262.238 9780.599
7 MACEWAN RIDGE CL NW,-3029.658 10502.299|-3034.719 10502.588|-3039.787 10502.743|-3044.380 10481.527|-3047.232 10468.373|-3050.888 10451.538|-3051.426 10449.025|-3065.554 10431.946|-3067.826 10429.199|-3088.448 10417.090|-3090.762 10415.733|-3113.627 10421.982|-3122.960 10424.529|-3131.285 10438.662|-3132.383 10440.530|-3142.428 10431.067|-3152.928 10421.182|-3162.190 10412.464|-3156.227 10406.126|-3180.596 10383.187|-3170.145 10372.067|-3145.777 10395.007|-3136.983 10385.655|-3128.189 10376.304|-3119.842 10367.419|-3113.194 10360.358|-3095.515 10368.420|-3082.324 10374.436|-3070.496 10378.427|-3056.774 10383.053|-3055.411 10383.520|-3051.195 10402.946|-3048.022 10417.601|-3045.058 10431.267|-3042.604 10442.598|-3040.018 10454.518|-3037.438 10466.427|-3034.978 10477.758|-3032.398 10489.667
121 MACEWAN RIDGE CI NW,-3284.733 10035.891|-3297.952 10033.501|-3303.908 10066.448|-3313.737 10064.669|-3307.774 10031.722|-3320.979 10029.331|-3333.590 10027.051|-3345.613 10024.872|-3363.153 10021.692|-3389.989 10016.833|-3414.099 10012.463|-3413.840 9997.273|-3385.389 10002.433|-3367.158 10005.735|-3352.527 10008.382|-3339.902 10010.672|-3327.865 10012.852|-3315.233 10015.142|-3302.021 10017.533|-3289.396 10019.813|-3277.358 10021.992|-3264.727 10024.283|-3254.912 10026.062|-3241.693 10028.453|-3229.061 10030.743|-3217.024 10032.923|-3219.694 10047.678|-3232.116 10045.421|-3255.261 10041.229|-3270.655 10038.449
740 MACEWAN VALLEY RD NW,-2830.303 10506.146|-2844.103 10525.883|-2847.444 10524.871|-2849.059 10517.454|-2851.897 10504.356|-2854.735 10491.257|-2887.926 10498.462|-2892.365 10477.980|-2878.391 10474.956|-2877.727 10474.811|-2864.088 10477.713|-2857.371 10479.148|-2846.633 10476.813|-2832.967 10473.844|-2825.697 10466.105|-2807.193 10446.423|-2812.701 10421.026|-2814.819 10411.263|-2824.103 10397.497|-2836.399 10379.273|-2826.179 10377.794|-2815.910 10376.737|-2805.606 10376.115|-2795.281 10375.926|-2784.963 10376.170|-2774.659 10376.837|-2764.397 10377.938|-2754.184 10379.473|-2759.224 10385.677|-2775.917 10406.204|-2780.384 10429.054|-2780.769 10431.012|-2775.764 10444.399|-2770.451 10458.610|-2765.369 10472.198|-2724.705 10473.555|-2721.846 10486.742|-2753.590 10498.240|-2758.322 10497.128|-2780.979 10491.857|-2808.668 10491.479
87 MACEWAN RIDGE GA NW,-3343.013 10424.540|-3352.639 10443.243|-3370.220 10428.432|-3372.897 10409.406|-3369.842 10410.952
70 MACEWAN PARK VW NW,-3246.544 9622.157|-3309.948 9623.792|-3321.266 9603.799|-3313.569 9599.162|-3300.937 9591.557|-3297.379 9585.285|-3286.963 9566.938|-3287.376 9559.566|-3288.361 9541.864|-3289.137 9527.842|-3289.920 9513.809|-3290.668 9500.377|-3291.409 9486.944|-3291.731 9481.140|-3292.129 9472.923|-3292.521 9458.890|-3292.556 9445.635|-3292.297 9432.970|-3291.745 9420.316|-3290.857 9407.084|-3289.648 9393.885|-3288.487 9383.644|-3288.194 9381.298|-3286.537 9369.322|-3286.089 9366.376|-3284.538 9357.636|-3283.223 9351.587|-3281.727 9345.582|-3279.959 9339.355|-3277.995 9333.184|-3275.827 9327.091|-3273.465 9321.064|-3271.032 9315.371|-3268.418 9309.766|-3265.768 9304.507|-3262.965 9299.314|-3261.777 9297.224|-3260.134 9294.421|-3261.280 9286.871|-3261.770 9286.438|-3282.252 9268.513|-3282.629 9268.179|-3279.169 9265.166|-3275.541 9262.342|-3271.759 9259.718|-3267.844 9257.316|-3263.804 9255.125|-3259.645 9253.168|-3255.387 9251.433|-3251.039 9249.943|-3245.251 9280.055|-3244.405 9287.794|-3244.056 9291.364|-3242.881 9305.674|-3242.084 9319.996|-3241.686 9332.962|-3241.595 9346.494|-3241.854 9360.594|-3242.441 9374.048|-3243.308 9386.880|-3244.468 9399.667|-3245.873 9411.943|-3247.621 9424.664|-3249.774 9437.952|-3251.731 9448.571|-3252.123 9450.617|-3253.178 9456.955|-3254.038 9463.327|-3254.660 9469.420|-3255.101 9475.525|-3255.359 9481.963|-3255.415 9488.412|-3255.248 9495.206|-3254.842 9502.000|-3254.339 9507.593|-3252.738 9522.905|-3250.305 9546.178|-3240.162 9560.433|-3226.635 9566.593|-3223.902 9567.839|-3201.554 9578.013|-3211.494 9585.174|-3222.972 9593.447|-3240.463 9606.056|-3243.084 9607.947
75 MACEWAN PARK VW NW,-3369.493 9313.091|-3372.352 9321.464|-3383.711 9312.246|-3395.581 9302.617|-3407.451 9292.987|-3421.866 9281.289|-3425.130 9278.621|-3284.132 9234.643|-3261.721 9227.649|-3267.152 9229.750|-3272.458 9232.163|-3277.610 9234.877|-3282.594 9237.890|-3287.390 9241.192|-3291.989 9244.762|-3296.372 9248.598|-3300.525 9252.679|-3303.552 9255.970|-3306.432 9259.406|-3309.158 9262.953|-3311.717 9266.623|-3312.157 9266.389|-3334.009 9254.391|-3346.396 9258.261|-3349.123 9263.787|-3354.820 9275.318|-3360.594 9287.005|-3365.138 9300.315
88 MACEWAN RIDGE GA NW,-3300.105 10462.302|-3309.158 10479.882|-3335.400 10457.754|-3328.305 10443.977
132 MACEWAN PARK CL NW,-3287.977 9861.282|-3291.360 9879.985|-3304.188 9877.661|-3299.532 9851.886|-3290.431 9826.367|-3284.936 9810.955|-3267.418 9815.114|-3278.994 9833.806|-3284.663 9842.957
