ADDRESS,POINTS
5010 1 ST SE,726.353 -4277.453|658.546 -4277.420|658.504 -4330.749|695.980 -4330.782
4039 BRANDON ST SE,1171.276 -3282.981|1164.426 -3272.484|1149.473 -3249.545|1097.792 -3283.471|1112.696 -3306.443|1086.258 -3323.790|1115.422 -3369.102|1180.714 -3326.247|1170.745 -3310.958|1159.896 -3318.086|1155.604 -3311.492|1179.595 -3295.746
115 62 AV SE,599.763 -5769.322|599.812 -5737.887|543.678 -5737.998|539.114 -5744.103|539.079 -5769.378
4420 1 ST SE,704.935 -3850.865|698.336 -3818.485|658.881 -3818.463|658.853 -3850.820
4504 1 ST SE,704.935 -3850.865|658.853 -3850.820|658.832 -3881.299|711.156 -3881.355
4524 1 ST SE,711.156 -3881.355|658.832 -3881.299|658.811 -3911.766|658.791 -3942.234|723.585 -3942.323|717.371 -3911.844
629 34 AV SE,1602.847 -2792.389|1602.840 -2777.156|1602.840 -2763.445|1602.833 -2753.404|1595.473 -2753.415|1579.234 -2781.870|1413.357 -3072.600|1318.020 -3239.704|1299.146 -3272.429|1211.087 -3426.845|1138.945 -3553.341|1135.995 -3558.522|1170.955 -3558.489|1197.526 -3511.932|1205.690 -3497.621|1246.564 -3426.000|1261.419 -3399.969|1276.245 -3374.005|1284.928 -3358.783|1293.617 -3343.560|1302.306 -3328.349|1328.185 -3282.992|1340.474 -3261.465|1553.488 -2888.228|1601.456 -2804.187|1602.847 -2801.752
4039 BRANDON ST SE,1283.690 -3253.581|1240.314 -3186.931|1227.067 -3196.928|1213.632 -3206.679|1200.021 -3216.175|1186.236 -3225.416|1149.473 -3249.545|1164.426 -3272.484|1171.276 -3282.981|1232.814 -3242.584|1255.414 -3277.221|1270.660 -3267.214|1272.610 -3265.857|1274.477 -3264.378|1276.259 -3262.811|1277.951 -3261.143|1279.545 -3259.375|1281.034 -3257.529|1282.418 -3255.594
521 36 AV SE,1228.605 -3149.692|1240.195 -3140.140|1251.618 -3130.377|1262.873 -3120.414|1273.939 -3110.262|1284.830 -3099.910|1295.539 -3089.369|1306.060 -3078.638|1316.385 -3067.730|1326.521 -3056.633|1336.454 -3045.358|1346.192 -3033.916|1355.720 -3022.307|1365.045 -3010.520|1374.161 -2998.578|1383.067 -2986.480|1391.756 -2974.215|1397.272 -2966.376|1228.780 -2966.142|1222.104 -2966.131|1176.275 -3067.141|1138.862 -3149.603|1145.537 -3149.603
4501 1 ST SE,641.650 -3800.260|584.887 -3800.104|583.769 -3809.278|582.860 -3818.474|580.029 -3850.865|638.826 -3850.887|638.847 -3818.474|638.854 -3810.879
4039 BRANDON ST SE,1193.856 -3317.618|1179.595 -3295.746|1155.604 -3311.492|1159.896 -3318.086|1170.745 -3310.958|1180.714 -3326.247
