ADDRESS,POINTS
911 MAITLAND WY NE,9342.788 1369.148|9340.047 1370.115|9337.496 1371.516|9335.196 1373.306|9333.211 1375.441|9331.596 1377.854|9330.379 1380.501|9329.597 1383.303|9329.268 1386.194|9301.900 1385.282|9301.886 1341.126|9335.315 1341.104
315 MADDOCK CR NE,8399.695 892.455|8401.303 901.451|8389.335 903.608|8374.767 899.238|8360.199 894.857|8351.866 886.506|8340.046 874.675|8334.460 869.082|8301.787 877.833|8300.221 871.939|8332.894 863.188|8334.957 855.549|8339.326 839.382|8343.688 823.203|8345.757 815.541|8355.921 813.707|8366.994 811.705|8384.638 808.525|8389.853 837.547|8388.979 840.071|8388.483 842.695|8388.378 845.364|8388.657 848.021|8389.321 850.612|8390.356 853.070|8391.733 855.360|8393.432 857.429
412 MADDOCK CR NE,8697.553 706.292|8697.399 708.672|8696.930 711.007|8696.168 713.264|8695.113 715.410|8693.792 717.390|8692.219 719.180|8690.422 720.759|8688.437 722.082|8688.437 686.944|8697.546 681.696
119 MANORA CR NE,8532.500 1944.748|8529.732 1944.959|8527.034 1945.582|8524.461 1946.605|8522.071 1948.006|8503.637 1921.520|8486.915 1921.497|8486.936 1891.319|8491.389 1887.727|8532.521 1896.768
435 MANORA WY NE,8347.183 1852.067|8347.162 1878.598|8316.774 1878.576|8316.802 1852.045
183 MANORA PL NE,8231.686 1868.502|8231.672 1883.724|8196.210 1883.702|8197.090 1881.912|8197.726 1880.033|8198.118 1878.076|8198.251 1876.085|8198.118 1874.106|8197.733 1872.149|8197.097 1870.259|8196.217 1868.468
5527 MADDOCK DR NE,8239.103 712.586|8234.336 730.244|8236.139 743.398|8233.783 743.865|8231.504 744.632|8229.344 745.667|8227.317 746.968|8201.124 711.007|8225.024 708.772
8 MAIDSTONE PL NE,8237.258 1083.866|8215.783 1105.427|8222.780 1119.949|8229.778 1134.482|8231.504 1138.062|8176.615 1123.184|8186.129 1113.633|8201.697 1098.010|8214.699 1084.956|8226.506 1073.113
6048 MEMORIAL DR NE,8898.207 565.620|8876.921 565.631|8876.893 597.533|8874.768 596.376|8872.524 595.498|8870.175 594.897|8867.778 594.597|8867.799 564.808|8867.827 521.464|8867.841 506.230|8898.214 506.253|8898.214 554.645
5500 MEMORIAL DR NE,8241.871 702.301|8230.141 699.120|8226.905 699.421|8234.755 670.421|8249.421 674.413
5923 MADDOCK DR NE,8703.606 581.432|8703.599 614.379|8695.931 618.193|8688.409 622.318|8687.976 622.563|8688.423 585.457|8699.601 579.019
35 MAITLAND GR NE,9286.318 1798.960|9292.260 1801.006|9298.321 1802.674|9304.473 1803.953|9310.694 1804.843|9314.917 1809.791|9312.582 1843.461|9307.800 1848.920|9278.440 1854.892|9273.162 1851.311|9268.402 1825.013|9270.003 1816.652|9279.678 1801.129
279 MADDOCK WY NE,8712.722 859.152|8706.542 862.710|8693.687 840.249|8695.372 834.011|8712.680 824.048
284 MADDOCK WY NE,8712.652 806.490|8688.444 820.434|8688.451 785.308|8697.560 780.059|8712.750 771.308
