ADDRESS,POINTS
844R MCKENZIE LAKE BA SE,6506.744 -14997.800|6507.038 -14994.820|6503.081 -14994.420|6492.414 -15001.325|6484.927 -15005.206|6466.367 -15014.847|6467.458 -15015.681|6468.443 -15016.637|6469.310 -15017.704|6470.058 -15018.861|6470.659 -15020.095|6471.121 -15021.396|6471.435 -15022.741|6471.589 -15024.109|6479.243 -15014.913|6506.443 -15000.792
3 MOUNTAIN PARK CI SE,5908.443 -15235.380|5917.810 -15234.179|5917.629 -15232.989|5913.308 -15205.235|5913.015 -15204.023|5912.526 -15202.888|5911.861 -15201.843|5911.009 -15200.898|5910.016 -15200.120|5908.897 -15199.519|5907.702 -15199.119|5906.451 -15198.919|5905.186 -15198.941|5902.802 -15199.163
119 MOUNTAIN PARK CI SE,5917.650 -14898.726|5906.129 -14898.726|5902.872 -14898.737|5899.922 -14898.715|5901.012 -14937.144|5901.453 -14937.166|5903.452 -14937.110|5905.423 -14936.788|5907.339 -14936.198|5909.149 -14935.353|5910.834 -14934.286|5912.365 -14932.996|5913.707 -14931.506|5914.839 -14929.860|5928.093 -14907.588|5931.540 -14898.759
12 MOUNTAIN PARK CI SE,5886.353 -15171.976|5886.472 -15171.976|5887.947 -15171.987|5889.415 -15171.843|5890.862 -15171.554|5892.274 -15171.120|5893.630 -15170.553|5894.930 -15169.852|5896.154 -15169.030|5897.293 -15168.084|5898.335 -15167.039|5899.265 -15165.894|5900.075 -15164.660|5900.761 -15163.347|5901.320 -15161.980|5901.739 -15160.568|5902.012 -15159.111|5902.145 -15157.643|5902.641 -15147.713|5902.970 -15137.784|5902.571 -15134.715|5899.628 -15135.115|5897.971 -15135.293|5893.162 -15135.549|5888.338 -15135.460
118 MOUNTAIN PARK CI SE,5903.396 -15001.826|5904.528 -14994.787|5905.766 -14987.782|5907.115 -14980.788|5908.569 -14973.816|5908.744 -14972.237|5908.576 -14970.658|5908.087 -14969.157|5907.297 -14967.789|5906.234 -14966.621|5904.948 -14965.698|5903.501 -14965.065|5901.956 -14964.753|5897.629 -15001.081|5900.523 -15001.392
408 MCKENZIE LAKE BA SE,6303.915 -14837.735|6303.076 -14831.709|6285.663 -14837.424|6268.641 -14843.017|6251.620 -14848.610|6234.598 -14854.192|6227.999 -14856.360|6228.845 -14862.387|6236.443 -14859.896|6263.217 -14873.340|6265.552 -14879.989|6277.135 -14912.925|6277.379 -14915.694|6279.847 -14943.282|6280.910 -14940.479|6281.846 -14937.633|6282.490 -14935.920|6283.349 -14934.308|6284.419 -14932.829|6285.670 -14931.495|6287.075 -14930.338|6288.627 -14929.371|6290.291 -14928.626|6292.039 -14928.103|6282.762 -14910.924|6276.520 -14893.166|6268.935 -14871.594|6268.851 -14871.338|6268.033 -14849.522
17107 MCKENZIE LAKE BV SE,5491.314 -16626.917|5500.052 -16624.482|5497.676 -16615.664
59 MOUNTAIN PARK CI SE,5764.642 -15038.742|5729.200 -15030.536|5727.858 -15036.963|5726.775 -15043.446|5725.936 -15049.962|5725.355 -15056.511|5754.750 -15056.534|5756.163 -15056.400|5757.533 -15056.022|5758.812 -15055.411|5759.965 -15054.577|5760.951 -15053.542|5761.734 -15052.364|5762.300 -15051.052|5762.622 -15049.662|5763.517 -15044.180
16194 MCKENZIE LAKE WY SE,6286.167 -15698.362|6285.978 -15666.605|6283.748 -15668.439|6275.981 -15674.522|6267.928 -15680.215|6259.603 -15685.497|6251.025 -15690.356|6250.110 -15690.934|6249.285 -15691.623|6248.551 -15692.424|6247.943 -15693.314|6247.453 -15694.281|6247.097 -15695.304|6246.887 -15696.360|6246.817 -15697.450|6246.817 -15698.484
442 MOUNTAIN PARK DR SE,5581.394 -16263.910|5591.236 -16237.190|5591.614 -16235.767|5591.705 -16234.310|5591.509 -16232.854|5591.040 -16231.475|5590.313 -16230.207|5589.356 -16229.095|5588.195 -16228.206|5586.888 -16227.550|5584.022 -16226.482|5571.565 -16260.219
443 MOUNTAIN PARK DR SE,5615.724 -16170.618|5604.294 -16166.359|5592.299 -16198.895|5594.130 -16198.672|5595.920 -16198.228|5597.632 -16197.549|5599.254 -16196.682|5600.757 -16195.614|5602.120 -16194.358|5603.316 -16192.957|5604.329 -16191.411|5614.885 -16172.964
17017 MCKENZIE LAKE BV SE,5496.229 -16401.870|5485.834 -16401.648|5475.439 -16401.859|5474.111 -16406.140|5465.030 -16435.406|5464.058 -16438.542|5462.416 -16444.213|5460.990 -16449.939|5459.780 -16455.722|5458.788 -16461.548|5457.984 -16467.720|5457.438 -16473.924|5457.145 -16479.684|5457.061 -16485.444|5457.180 -16490.982|5457.494 -16496.508|5458.005 -16502.023|5458.711 -16507.516|5459.368 -16511.608|5459.892 -16514.488|5461.493 -16522.761|5463.814 -16534.781|5466.253 -16547.380|5468.574 -16559.400|5470.692 -16570.364|5471.412 -16574.211|5472.838 -16582.473|5474.090 -16590.757|5475.628 -16603.155|5476.788 -16615.598|5477.291 -16623.137|5477.662 -16630.687|5491.314 -16626.917|5497.676 -16615.664|5494.131 -16602.766|5492.691 -16597.195|5491.426 -16591.568|5490.329 -16585.920|5489.406 -16580.238|5488.658 -16574.522|5488.078 -16568.796|5487.679 -16563.047|5487.456 -16557.298|5487.400 -16551.538|5487.525 -16545.778|5487.826 -16540.030|5488.301 -16534.292|5488.952 -16528.565|5489.776 -16522.872|5490.776 -16517.201|5491.943 -16511.564|5493.411 -16505.470|5495.082 -16499.432|5496.956 -16493.461|5499.018 -16487.546|5529.252 -16405.539|5522.030 -16404.361|5514.774 -16403.382|5507.497 -16402.626|5500.192 -16402.092
