ADDRESS,POINTS
529 MIDRIDGE DR SE,735.280 -14188.212|667.661 -14188.157|681.405 -14227.809|701.810 -14286.653|707.612 -14289.511|715.218 -14287.198|722.914 -14285.186|730.674 -14283.484|738.503 -14282.083|746.374 -14280.993|754.280 -14280.215|762.222 -14279.759|770.163 -14279.604|856.383 -14279.637|856.558 -14188.257
159 MIDGLEN WY SE,1433.783 -14840.237|1434.573 -14841.405|1435.565 -14842.394|1436.719 -14843.184|1437.998 -14843.751|1439.361 -14844.073|1440.759 -14844.129|1442.143 -14843.929|1443.472 -14843.484|1449.595 -14840.882|1455.824 -14838.536|1462.136 -14836.434|1468.532 -14834.589|1471.482 -14829.140|1470.042 -14825.515|1468.414 -14821.979|1466.610 -14818.521|1464.632 -14815.163|1462.479 -14811.916|1460.172 -14808.780|1457.697 -14805.767|1455.083 -14802.876|1452.315 -14800.140|1449.413 -14797.538|1446.387 -14795.092|1443.234 -14792.801|1439.969 -14790.678|1436.607 -14788.732|1433.140 -14786.953|1429.595 -14785.363|1312.148 -14736.192|1321.984 -14740.518|1331.659 -14745.177|1341.159 -14750.169|1350.491 -14755.507|1359.551 -14761.178|1368.345 -14767.249|1376.852 -14773.720|1385.059 -14780.570|1392.951 -14787.798|1400.508 -14795.359|1407.715 -14803.265|1414.552 -14811.493|1419.795 -14818.376|1424.751 -14825.471|1429.421 -14832.765
202 MIDVALLEY DR SE,2053.775 -14936.721|1972.154 -14936.610|1971.057 -14935.487|1940.439 -14904.597|1828.437 -14791.589|1817.714 -14802.353|1961.431 -14947.351|1965.381 -14951.176|1969.484 -14954.835|1973.727 -14958.326|1978.110 -14961.651|1982.626 -14964.787|1987.261 -14967.733|1992.007 -14970.502|1996.866 -14973.060|2025.268 -14954.946
44 MIDPARK CL SE,1423.122 -15515.991|1413.517 -15517.203|1403.864 -15518.015|1394.189 -15518.404|1384.500 -15518.382|1374.825 -15517.937|1365.178 -15517.092|1355.573 -15515.824|1346.031 -15514.145|1336.573 -15512.066|1327.213 -15509.586|1317.958 -15506.695|1308.842 -15503.415|1299.873 -15499.757|1291.065 -15495.709|1282.446 -15491.284|1274.015 -15486.502|1267.997 -15496.421|1261.733 -15506.184|1255.218 -15515.780|1248.465 -15525.209|1243.907 -15531.303|1239.252 -15537.307|1233.645 -15544.279|1227.906 -15551.140|1222.027 -15557.889|1216.022 -15564.517|1218.399 -15567.252|1220.664 -15570.087|1222.810 -15573.001|1224.844 -15576.003|1226.760 -15579.083|1228.549 -15582.241|1230.213 -15585.466|1231.744 -15588.746|1233.149 -15592.093|1234.421 -15595.495|1235.554 -15598.942|1236.553 -15602.423|1237.413 -15605.948|1238.133 -15609.506|1238.707 -15613.086|1239.147 -15616.689|1248.207 -15706.279|1422.871 -15706.512|1422.962 -15638.550|1422.996 -15608.094
12 MIDPARK CR SE,1248.465 -15525.209|1164.789 -15465.831|1162.077 -15463.830|1159.455 -15461.717|1156.918 -15459.493|1154.471 -15457.180|1152.115 -15454.756|1149.865 -15452.254|1147.718 -15449.652|1145.670 -15446.972|1143.741 -15444.204|1141.916 -15441.368|1140.211 -15438.455|1138.624 -15435.475|1137.156 -15432.439|1135.814 -15429.348|1134.597 -15426.201|1133.507 -15422.999|1116.618 -15424.589|1117.156 -15435.275|1117.261 -15445.938|1116.981 -15455.679|1124.370 -15458.970|1131.591 -15462.606|1138.722 -15466.632|1145.649 -15470.990|1149.906 -15473.915|1159.560 -15480.764|1172.926 -15490.249|1186.285 -15499.734|1199.154 -15508.863|1212.520 -15518.348|1225.390 -15527.477|1239.252 -15537.307|1243.907 -15531.303
123 MIDGLEN PL SE,1517.172 -14691.803|1545.351 -14694.338|1544.875 -14692.581|1544.582 -14690.802|1544.463 -14688.990|1544.519 -14687.177|1544.757 -14685.387|1545.169 -14683.619|1545.756 -14681.907|1546.511 -14680.261|1547.420 -14678.704|1548.476 -14677.237|1549.678 -14675.880|1551.006 -14674.657|1552.446 -14673.567|1553.991 -14672.622|1555.613 -14671.833|1557.311 -14671.221|1554.858 -14640.409|1515.082 -14643.600|1511.181 -14648.482
55 MIDPARK RI SE,1183.768 -14722.059|1180.595 -14720.736|1171.661 -14717.133|1162.643 -14713.764|1153.535 -14710.628|1144.349 -14707.748|1138.708 -14706.125|1133.038 -14704.624|1127.334 -14703.245|1121.602 -14701.989|1115.842 -14700.866|1110.061 -14699.865|1104.259 -14698.986|1098.443 -14698.230|1096.849 -14698.219|1095.290 -14698.542|1093.829 -14699.175|1092.536 -14700.098|1091.466 -14701.277|1090.662 -14702.656|1090.159 -14704.179|1089.991 -14705.758|1089.718 -14762.201|1089.781 -14764.313|1089.991 -14766.415|1090.341 -14768.494|1090.837 -14770.540|1091.473 -14772.553|1092.242 -14774.521|1093.151 -14776.422|1094.185 -14778.268|1095.304 -14780.414|1096.136 -14782.683|1096.660 -14785.051|1096.863 -14787.464|1096.751 -14789.888|1096.317 -14792.268|1095.570 -14794.569|1094.528 -14796.760|1093.214 -14798.795|1091.634 -14800.630|1089.830 -14802.242|1087.831 -14803.599|1085.671 -14804.677|1083.385 -14805.455|1081.015 -14805.934|1078.604 -14806.089|1078.471 -14832.898|1183.230 -14833.421
121 MIDLAKE BV SE,1400.606 -14943.760|1428.868 -14939.501|1432.511 -14934.330|1431.043 -14927.525|1429.379 -14920.776|1427.512 -14914.071|1425.450 -14907.421|1423.192 -14900.850|1420.739 -14894.334|1418.096 -14887.895|1415.265 -14881.546|1412.245 -14875.286|1409.043 -14869.103|1405.667 -14863.032|1402.102 -14857.061|1398.369 -14851.190|1394.461 -14845.441|1390.386 -14839.815|1386.143 -14834.299|1380.362 -14827.350|1374.273 -14820.667|1367.884 -14814.262|1361.215 -14808.157|1354.273 -14802.364|1347.080 -14796.893|1339.642 -14791.756|1331.980 -14786.964|1323.732 -14782.249|1272.303 -14861.086|1305.438 -14870.682|1344.032 -14916.361|1363.445 -14899.760
202 MIDRIDGE CR SE,976.431 -14673.467|986.231 -14670.665|995.494 -14668.285|1004.819 -14666.195|1014.214 -14664.405|1023.651 -14662.904|1033.138 -14661.692|1042.652 -14660.780|1052.194 -14660.179|1061.750 -14659.857|1063.127 -14659.712|1064.455 -14659.312|1065.685 -14658.678|1066.783 -14657.822|1067.705 -14656.788|1068.425 -14655.598|1068.915 -14654.297|1069.166 -14652.929|1069.900 -14646.080|1070.865 -14639.252|1072.075 -14632.470|1073.515 -14625.731|1070.047 -14621.428|1066.370 -14621.750|1062.707 -14622.251|1059.072 -14622.940|1055.472 -14623.796|1051.921 -14624.819|1048.426 -14626.031|1044.993 -14627.410|1041.631 -14628.945|1038.345 -14630.657|1035.151 -14632.514|1032.047 -14634.538|1029.048 -14636.695|1026.154 -14639.008|1023.379 -14641.465|1020.729 -14644.045|1018.206 -14646.758|1013.879 -14651.306|1009.251 -14655.554|1004.337 -14659.457|999.171 -14663.026|993.767 -14666.217|988.161 -14669.042|982.373 -14671.454
50 MIDPARK RI SE,929.937 -14899.827|937.235 -14914.593|938.193 -14916.528|940.332 -14920.842|967.860 -14949.130|1012.348 -14994.865|1029.181 -14978.308|1044.336 -14963.397|1066.384 -14955.758|1086.852 -14948.675|1106.845 -14941.758|1126.817 -14934.853|1146.929 -14927.892|1168.424 -14920.453|1169.955 -14919.920|1173.031 -14918.863|1176.009 -14920.231|1178.980 -14921.621|1208.766 -14935.487|1233.247 -14946.884|1236.078 -14948.196|1273.519 -14965.576|1277.685 -14967.511|1282.774 -14965.465|1287.919 -14963.586|1293.127 -14961.873|1298.384 -14960.339|1303.173 -14959.093|1307.996 -14957.993|1312.855 -14957.048|1317.734 -14956.236|1400.606 -14943.760|1363.445 -14899.760|1344.032 -14916.361|1305.438 -14870.682|1272.303 -14861.086|1323.732 -14782.249|1317.503 -14778.824|1311.163 -14775.633|1304.711 -14772.664|1298.161 -14769.929|1183.768 -14722.059|1183.230 -14833.421|1078.471 -14832.898|1078.604 -14806.089|1076.192 -14805.911|1073.822 -14805.422|1071.543 -14804.610|1069.390 -14803.510|1067.405 -14802.131|1065.615 -14800.507|1064.049 -14798.650|1062.749 -14796.604|1061.729 -14794.414|1061.009 -14792.101|1060.603 -14789.710|1060.512 -14787.286|1060.743 -14784.873|1061.288 -14782.505|1062.141 -14780.248|1063.287 -14778.113|1064.343 -14776.278|1065.266 -14774.388|1066.056 -14772.431|1066.706 -14770.418|1067.223 -14768.372|1067.594 -14766.304|1067.824 -14764.202|1067.908 -14762.089|1068.139 -14714.631|1068.076 -14713.186|1067.880 -14711.751|1067.552 -14710.350|1067.090 -14708.983|1066.503 -14707.671|1065.790 -14706.414|1064.965 -14705.235|1064.028 -14704.135|1063.001 -14703.123|1061.875 -14702.222|1060.673 -14701.433|1059.401 -14700.765|1058.066 -14700.209|1056.688 -14699.787|1055.276 -14699.509|1053.850 -14699.353|1034.983 -14698.275|1025.078 -14699.642|1015.235 -14701.377|1005.462 -14703.479|995.773 -14705.936|986.518 -14708.594|977.333 -14711.485|968.231 -14714.620|959.213 -14718.001|945.093 -14723.516|859.298 -14757.030|869.148 -14776.945|875.999 -14790.789|881.374 -14801.653|885.422 -14809.837|889.462 -14818.009|893.510 -14826.193|896.886 -14833.010|900.256 -14839.826|904.303 -14848.010|907.679 -14854.826|911.049 -14861.642|915.096 -14869.826|919.144 -14878.010|923.191 -14886.183
