ADDRESS,POINTS
129 17 AV SE,678.930 -1143.346|663.691 -1143.357|648.445 -1143.346|646.760 -1180.374|661.929 -1181.108|677.127 -1181.786|678.685 -1148.528
115 17 AV SW,446.678 -1148.606|421.009 -1148.617|418.402 -1209.763|442.687 -1210.864|443.952 -1210.919
219 17 AV SW,303.940 -1143.569|288.610 -1143.480|273.385 -1143.480|272.049 -1173.247|287.254 -1173.636|285.898 -1203.669|301.088 -1204.359|302.514 -1173.914
255 17 AV SW,242.703 -1148.650|227.492 -1148.650|217.251 -1148.650|212.148 -1153.687|210.226 -1195.830|214.434 -1200.434|225.136 -1200.923|240.327 -1201.601|241.627 -1172.668
229 17 AV SW,273.385 -1143.480|258.159 -1143.469|256.838 -1172.957|272.049 -1173.247
233 17 AV SW,258.159 -1143.469|242.934 -1143.469|242.703 -1148.650|241.627 -1172.668|248.715 -1172.791|256.838 -1172.957
230 18 AV SW,256.838 -1172.957|248.715 -1172.791|247.625 -1201.935|255.517 -1202.291
232 18 AV SW,248.715 -1172.791|241.627 -1172.668|240.327 -1201.601|247.625 -1201.935
111 17 AV SW,491.438 -1143.502|460.904 -1143.424|460.666 -1148.595|446.678 -1148.606|443.952 -1210.919|457.926 -1211.542|488.307 -1212.921|490.089 -1173.358
139 17 AV SE,703.711 -1150.885|703.858 -1148.406|703.858 -1147.727|699.587 -1143.246|678.930 -1143.346|678.685 -1148.528|677.127 -1181.786|702.222 -1182.832
