ADDRESS,POINTS
100 NOLANRIDGE CO NW,-6695.275 13662.425|-6693.639 13687.622|-6765.516 13682.952|-6771.269 13679.983|-6725.901 13640.397|-6712.423 13628.633|-6711.095 13630.779|-6709.592 13632.803|-6706.977 13635.649|-6704.027 13638.140|-6700.777 13640.231|-6697.282 13641.887|-6695.946 13662.470
105 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
110 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
115 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
120 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
125 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
130 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
135 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
140 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
145 50 NOLANRIDGE CO NW,-6728.445 13591.494|-6719.413 13608.596|-6718.218 13611.086|-6717.225 13613.655|-6716.435 13616.301|-6715.862 13618.992|-6715.324 13621.472|-6714.576 13623.885|-6713.604 13626.309|-6712.423 13628.633|-6771.269 13679.983|-6876.706 13625.519|-6838.391 13616.190|-6825.025 13612.754|-6811.751 13608.951|-6798.588 13604.804|-6785.536 13600.300|-6777.190 13597.209|-6768.913 13593.951|-6760.692 13590.538|-6752.541 13586.968|-6747.997 13584.889|-6746.480 13584.288|-6744.908 13583.855|-6743.293 13583.588|-6741.664 13583.499|-6739.637 13583.643|-6737.652 13584.055|-6735.743 13584.733|-6733.940 13585.667|-6732.283 13586.824|-6730.794 13588.202|-6729.508 13589.770
