ADDRESS,POINTS
156 OAKSIDE RD SW,-3453.875 -8438.556|-3464.535 -8436.944|-3475.168 -8435.143|-3485.765 -8433.141|-3496.328 -8430.951|-3496.349 -8452.333|-3453.889 -8452.433
320R OAKHILL PL SW,-3513.042 -8874.552|-3515.566 -8855.938|-3580.787 -8944.026|-3568.673 -8936.476|-3544.220 -8921.231|-3524.136 -8921.265|-3500.795 -8921.287|-3477.090 -8921.320|-3456.482 -8927.291|-3437.573 -8936.988|-3421.362 -8945.305|-3419.978 -8942.592|-3449.695 -8927.358|-3487.464 -8902.940|-3490.016 -8901.283|-3511.288 -8887.528
2720 OAKWOOD DR SW,-3553.307 -8878.177|-3784.545 -8798.116|-3784.552 -8802.375|-3784.636 -8811.493|-3784.853 -8820.611|-3785.217 -8829.729|-3785.713 -8838.836|-3786.356 -8847.932|-3787.139 -8857.016|-3788.062 -8866.090|-3789.124 -8875.152|-3790.327 -8884.192|-3791.662 -8893.210|-3793.144 -8902.206|-3794.766 -8911.190|-3796.520 -8920.130|-3798.415 -8929.059|-3800.442 -8937.944|-3802.609 -8946.806|-3749.153 -8973.548|-3608.008 -9032.081|-3589.476 -8941.313
416R OAKHILL PL SW,-3568.421 -9010.810|-3580.941 -9006.162|-3581.095 -9068.876|-3561.549 -9038.186|-3545.688 -9030.547|-3536.020 -9025.888|-3535.978 -9022.852
120R OAKDALE PL SW,-3548.701 -9129.833|-3581.206 -9113.498|-3581.255 -9132.679|-3563.045 -9132.724|-3549.519 -9132.757
3348 PALLISER DR SW,-4315.137 -8051.487|-4304.777 -8053.822|-4294.375 -8055.968|-4283.938 -8057.947|-4273.473 -8059.726|-4270.006 -8044.871|-4283.211 -8042.602|-4296.367 -8040.045|-4309.460 -8037.176|-4322.484 -8034.018|-4325.650 -8033.362|-4328.866 -8032.995|-4332.096 -8032.906|-4335.325 -8033.117|-4336.681 -8033.340|-4338.002 -8033.718|-4339.275 -8034.240|-4340.477 -8034.908|-4341.596 -8035.708|-4342.623 -8036.631|-4343.532 -8037.665|-4344.322 -8038.788|-4345.566 -8040.957|-4346.657 -8043.203|-4330.956 -8047.550
9632 OAKFIELD DR SW,-4113.475 -8862.921|-4291.271 -8862.442|-4292.481 -8873.106|-4293.431 -8883.803|-4294.123 -8894.511|-4294.557 -8905.241|-4294.724 -8915.972|-4294.634 -8926.713|-4294.277 -8937.443|-4293.662 -8948.163|-4292.760 -8959.160|-4291.579 -8970.124|-4290.125 -8981.054|-4288.398 -8991.951|-4286.399 -9002.804|-4284.127 -9013.590|-4281.589 -9024.331|-4278.779 -9034.995|-4266.581 -9079.006|-4265.987 -9081.185|-4260.254 -9085.611|-4118.061 -9085.955|-4098.215 -8968.400|-4090.316 -8959.282|-4091.868 -8948.652|-4092.951 -8941.202|-4096.167 -8919.196|-4098.851 -8900.816|-4104.381 -8862.932
9632 OAKFIELD DR SW,-4113.475 -8862.921|-4291.271 -8862.442|-4292.481 -8873.106|-4293.431 -8883.803|-4294.123 -8894.511|-4294.557 -8905.241|-4294.724 -8915.972|-4294.634 -8926.713|-4294.277 -8937.443|-4293.662 -8948.163|-4292.760 -8959.160|-4291.579 -8970.124|-4290.125 -8981.054|-4288.398 -8991.951|-4286.399 -9002.804|-4284.127 -9013.590|-4281.589 -9024.331|-4278.779 -9034.995|-4266.581 -9079.006|-4265.987 -9081.185|-4260.254 -9085.611|-4118.061 -9085.955|-4098.215 -8968.400|-4090.316 -8959.282|-4091.868 -8948.652|-4092.951 -8941.202|-4096.167 -8919.196|-4098.851 -8900.816|-4104.381 -8862.932
9821 OAKFIELD DR SW,-4271.712 -9212.017|-4319.506 -9211.895|-4322.323 -9214.208|-4330.998 -9221.313|-4271.642 -9221.458
9821 OAKFIELD DR SW,-4791.705 -9064.361|-4806.868 -9064.361|-4806.896 -9141.842|-4785.127 -9223.326|-4784.316 -9226.372|-4783.205 -9230.320|-4331.019 -9231.376|-4330.998 -9221.313|-4360.561 -9221.235|-4383.902 -9221.180|-4401.490 -9221.135|-4419.071 -9221.091|-4452.423 -9221.013|-4454.142 -9221.002|-4469.270 -9205.735|-4469.214 -9182.884|-4469.207 -9179.837|-4469.144 -9152.105|-4460.371 -9143.332|-4453.947 -9136.905|-4458.490 -9136.894|-4475.163 -9136.860|-4475.079 -9103.357|-4487.207 -9103.324|-4487.291 -9136.827|-4493.359 -9136.805|-4486.956 -9143.265|-4478.231 -9152.083|-4478.294 -9179.815|-4478.301 -9182.862|-4478.357 -9205.712|-4493.562 -9220.913|-4496.595 -9220.902|-4529.339 -9220.824|-4546.927 -9220.779|-4563.900 -9220.735|-4582.096 -9220.690|-4600.285 -9220.657|-4617.265 -9220.612|-4634.853 -9220.568|-4653.042 -9220.523|-4676.209 -9220.468|-4689.043 -9207.503|-4694.356 -9202.143|-4712.594 -9220.379|-4719.081 -9220.357|-4722.332 -9220.357|-4765.239 -9220.245|-4774.935 -9220.223|-4783.366 -9188.633|-4788.462 -9169.507|-4793.572 -9150.371|-4796.235 -9140.385|-4793.719 -9128.732|-4789.168 -9107.627|-4784.610 -9086.489|-4779.829 -9064.339
