ADDRESS,POINTS
5615 PENSACOLA CR SE,8166.829 -680.875|8166.808 -581.378|8152.848 -581.389|8152.848 -680.875
5645 PENSACOLA CR SE,8326.400 -775.213|8330.504 -775.113|8334.600 -774.802|8338.675 -774.290|8342.716 -773.590|8346.721 -772.678|8350.678 -771.577|8354.579 -770.287|8358.410 -768.808|8362.156 -767.129|8365.826 -765.283|8369.399 -763.249|8372.859 -761.047|8376.214 -758.679|8379.451 -756.143|8382.555 -753.452|8385.526 -750.617|8388.350 -747.637|8391.027 -744.523|8393.551 -741.288|8395.906 -737.918|8398.101 -734.449|8400.115 -730.869|8401.960 -727.199|8403.617 -723.441|8405.085 -719.605|8406.371 -715.702|8407.455 -711.743|8408.350 -707.740|8409.042 -703.693|8409.538 -699.612|8409.832 -695.509|8409.929 -691.406|8409.859 -541.626|8380.094 -541.637|8377.067 -541.648|8185.612 -541.737|8182.585 -541.737|8166.787 -541.737|8166.808 -581.378|8166.829 -680.875|8252.455 -680.820|8253.790 -680.019|8255.195 -679.330|8256.656 -678.763|8258.152 -678.329|8259.683 -678.018|8261.242 -677.840|8262.801 -677.795|8264.360 -677.884|8265.912 -678.118|8267.428 -678.474|8268.917 -678.952|8270.358 -679.563|8271.735 -680.297|8273.049 -681.142|8274.286 -682.099|8275.440 -683.155|8276.495 -684.300|8277.446 -685.546|8278.292 -686.858|8279.019 -688.237|8279.627 -689.682|8280.109 -691.172|8280.466 -692.695|8280.689 -694.241|8280.773 -695.798|8280.731 -697.366|8280.550 -698.911|8280.242 -700.446|8279.802 -701.947|8279.235 -703.404|8278.543 -704.805|8277.732 -706.150|8277.781 -770.676|8282.339 -775.247
220 52 ST SE,8147.290 404.865|8139.608 407.656|8140.146 397.048|8140.488 386.418|8140.649 375.788|8140.614 365.157|8146.619 363.000
6055 12 AV SE,8483.609 -1076.930|8507.558 -1074.483|8712.484 -868.806|8712.505 -719.416|8712.505 -716.369|8712.505 -710.298|8712.505 -701.157|8712.512 -679.808|8697.322 -679.819|8604.363 -679.875|8599.938 -684.445|8600.231 -688.025|8600.686 -691.595|8601.294 -695.131|8602.070 -698.644|8602.999 -702.114|8604.090 -705.538|8605.327 -708.908|8606.725 -712.221|8608.263 -715.468|8609.955 -718.637|8611.786 -721.728|8613.751 -724.742|8615.855 -727.655|8618.085 -730.468|8620.441 -733.182|8622.922 -735.783|8692.813 -805.825|8661.670 -837.071|8660.601 -838.150|8691.121 -868.750|8686.389 -873.498|8685.312 -874.577|8684.250 -875.656|8626.250 -933.833|8624.104 -935.979|8570.403 -989.853|8568.257 -991.999
268 PENSVILLE CL SE,8853.657 -126.480|8853.657 -104.730|8844.541 -104.730|8844.541 -129.716|8842.717 -129.716|8836.251 -129.716|8829.784 -129.716|8823.318 -129.716|8816.845 -129.716|8810.379 -129.716|8803.913 -129.704|8795.930 -129.704|8785.283 -129.704|8778.432 -129.704|8771.966 -129.704|8754.455 -129.704|8721.285 -129.693|8715.707 -129.693|8715.707 -126.613|8712.673 -126.613|8712.666 -129.693|8712.666 -138.789|8853.650 -138.822
6103 PENEDO WY SE,8848.547 -719.371|8743.123 -719.404|8743.103 -679.797|8712.512 -679.808|8712.505 -701.157|8712.505 -710.298|8712.505 -716.369|8712.505 -719.416|8712.484 -868.806|8854.999 -725.809
458 PENBROOKE CR SE,9458.760 39.523|9458.732 -15.652|9463.576 -20.511|9470.476 -13.595|9473.020 -10.915|9475.425 -8.124|9477.697 -5.211|9479.822 -2.197|9481.800 0.916|9483.625 4.130|9485.288 7.410|9486.798 10.779|9488.141 14.215|9489.315 17.718|9490.315 21.265|9491.146 24.857|9491.804 28.493|9492.279 32.151|9492.587 35.820|9492.705 39.512
6135 5 AV SE,8853.657 -126.480|8863.618 -126.469|8863.632 46.840|8853.664 46.829|8853.664 11.602|8853.664 -18.243|8853.657 -104.730
6053 5 AV SE,8715.728 11.647|8715.735 46.717|8712.694 46.706|8691.429 46.695|8691.422 11.635|8691.422 -15.819|8691.415 -42.550|8691.415 -49.044|8691.415 -55.537|8691.415 -62.220|8691.408 -78.644|8691.408 -92.399|8691.408 -98.892|8691.408 -109.200|8691.408 -117.217|8691.401 -123.711|8691.401 -129.704|8712.666 -129.693|8712.673 -126.613|8715.707 -126.613|8715.707 -125.913|8715.714 -101.494|8715.714 -93.488|8715.714 -87.006|8715.714 -70.604|8715.721 -55.337|8715.721 -48.477|8715.721 -41.994|8715.721 -35.500|8715.721 -29.017|8715.721 -22.535|8715.721 -16.052
6036 PENWORTH RD SE,8638.259 412.226|8642.817 416.785|8642.817 433.342|8638.867 440.158|8607.431 458.261|8601.203 456.571|8578.001 416.096|8580.287 412.137
