ADDRESS,POINTS
2125 HURST RD SE,2274.297 -1575.528|2281.881 -1575.528|2285.677 -1575.516|2289.522 -1570.035|2309.571 -1541.435|2289.410 -1541.435|2281.832 -1541.435|2274.255 -1541.435
804 MACDONALD AV SE,1966.184 -722.718|1965.423 -715.157|1964.654 -707.596|1953.476 -708.708|1948.121 -716.858|1942.766 -725.009|1921.732 -757.011|1949.393 -754.431|1956.950 -753.730|1964.514 -753.030|1961.662 -723.163
914 19 AV SE,2186.189 -1270.920|2178.604 -1270.909|2178.541 -1305.046|2186.133 -1305.068
1010 21 AV SE,2320.035 -1451.745|2316.393 -1451.745|2316.393 -1449.922|2316.414 -1414.428|2312.465 -1414.428|2304.866 -1414.417|2297.267 -1414.417|2289.676 -1414.417|2282.077 -1414.417|2274.479 -1414.406|2266.887 -1414.406|2259.288 -1414.406|2251.690 -1414.406|2244.098 -1414.395|2236.499 -1414.395|2228.901 -1414.395|2228.873 -1449.877|2228.845 -1485.371|2236.443 -1485.371|2244.042 -1485.382|2251.641 -1485.382|2259.239 -1485.382|2266.831 -1485.382|2274.430 -1485.393|2282.028 -1485.393|2289.627 -1485.393|2297.226 -1485.393|2304.824 -1485.404|2312.423 -1485.404|2320.021 -1485.404
2223 SPILLER RD SE,1792.010 -1547.896|1701.930 -1465.478|1622.162 -1553.144|1692.745 -1656.789|1704.496 -1674.046|1762.839 -1727.364|1865.144 -1614.802
828 24 AV SE,2058.270 -1723.250|2050.678 -1723.239|2043.087 -1723.239|2043.066 -1755.207|2050.657 -1755.219|2058.249 -1755.219
830 24 AV SE,2065.862 -1723.250|2058.270 -1723.250|2058.249 -1755.219|2065.841 -1755.219
922 21 AV SE,2172.355 -1485.348|2178.429 -1485.360|2186.021 -1485.360|2193.613 -1485.360|2201.204 -1485.360|2208.803 -1485.371|2208.831 -1451.701|2201.232 -1451.701|2193.641 -1451.701|2186.049 -1451.690|2178.457 -1451.690|2172.383 -1451.690
910 21 AV SE,2172.383 -1451.690|2170.859 -1451.690|2163.267 -1451.690|2155.675 -1451.679|2148.084 -1451.679|2140.492 -1451.679|2132.893 -1451.679|2132.872 -1485.337|2140.464 -1485.337|2148.056 -1485.348|2155.647 -1485.348|2163.239 -1485.348|2170.831 -1485.348|2172.355 -1485.348
1005 9 ST SE,2161.226 -685.279|2159.947 -672.680|2147.951 -663.073|2135.690 -653.799|2123.170 -644.882|2110.398 -636.331|2115.781 -689.115
1013 9 ST SE,2166.294 -735.016|2165.280 -725.064|2164.267 -715.123|2163.253 -705.172|2162.239 -695.220|2161.226 -685.279|2115.781 -689.115|2116.794 -699.111|2117.815 -709.119|2118.836 -719.115|2119.856 -729.123|2120.870 -739.119
1017 9 ST SE,2167.301 -744.968|2166.294 -735.016|2120.870 -739.119|2121.890 -749.127
