ADDRESS,POINTS
622 EDMONTON TR NE,1230.458 1093.607|1204.922 1093.829|1204.894 1086.223|1204.866 1078.584|1210.025 1078.529|1230.402 1078.340|1230.430 1086.001
521 16 AV NE,1370.547 2083.486|1362.948 2083.486|1355.350 2083.486|1355.315 2048.337|1362.913 2048.282|1370.512 2048.226
525 16 AV NE,1385.744 2083.497|1378.146 2083.497|1370.547 2083.486|1370.512 2048.226|1378.111 2048.171|1385.709 2048.115
529 16 AV NE,1400.942 2083.497|1393.343 2083.497|1385.744 2083.497|1385.709 2048.115|1393.308 2048.059|1393.329 2067.963|1400.928 2067.963|1400.935 2078.160
505 16 AV NE,1324.962 2083.464|1317.363 2083.464|1309.765 2083.464|1302.166 2083.464|1294.567 2083.453|1286.969 2083.453|1279.363 2083.453|1279.335 2048.904|1286.934 2048.849|1294.532 2048.793|1302.131 2048.738|1309.730 2048.682|1317.321 2048.626|1324.920 2048.571
517 16 AV NE,1355.350 2083.486|1347.751 2083.475|1340.159 2083.475|1332.561 2083.475|1324.962 2083.464|1324.920 2048.571|1332.519 2048.515|1340.117 2048.460|1347.716 2048.393|1355.315 2048.337
615 16 AV NE,1527.371 2083.575|1519.773 2083.564|1512.174 2083.564|1504.575 2083.564|1496.977 2083.553|1489.378 2083.553|1481.786 2083.542|1474.188 2083.542|1466.589 2083.542|1458.990 2083.531|1458.851 2083.531|1457.397 2083.386|1455.992 2082.963|1454.705 2082.263|1453.573 2081.340|1452.643 2080.206|1451.951 2078.916|1451.532 2077.515|1451.385 2076.058|1451.357 2047.615|1458.955 2047.559|1466.554 2047.503|1474.153 2047.448|1481.751 2047.392|1489.350 2047.337|1496.949 2047.281|1504.547 2047.225|1512.146 2047.159|1519.745 2047.103|1527.343 2047.047
619 16 AV NE,1603.337 2062.159|1603.204 2064.127|1602.813 2066.062|1602.169 2067.919|1601.296 2069.687|1600.191 2071.321|1598.884 2072.800|1597.395 2074.090|1595.745 2075.169|1593.431 2076.236|1590.978 2076.892|1588.146 2077.381|1580.555 2078.727|1572.956 2080.061|1565.358 2081.396|1557.766 2082.741|1552.984 2083.575|1550.160 2083.575|1542.569 2083.575|1534.970 2083.575|1527.371 2083.575|1527.343 2047.047|1534.935 2046.992|1542.541 2046.936|1550.132 2046.881|1557.738 2046.825|1565.330 2046.758|1572.928 2046.703|1580.527 2046.647|1588.126 2046.592|1595.724 2046.536|1603.323 2046.480
1615 5 ST NE,1431.329 2077.937|1423.730 2077.993|1416.132 2078.049|1408.533 2078.104|1400.935 2078.160|1400.928 2067.963|1393.329 2067.963|1393.308 2048.059|1400.907 2048.004|1408.505 2047.937|1416.104 2047.881|1423.703 2047.826|1431.301 2047.770
1621 5 ST NE,1431.329 2077.937|1431.329 2083.519|1423.737 2083.508|1416.139 2083.508|1408.540 2083.508|1400.942 2083.497|1400.935 2078.160|1408.533 2078.104|1416.132 2078.049|1423.730 2077.993
