ADDRESS,POINTS
6728 36 ST NE,6465.011 7222.971|6465.011 7231.989|6289.732 7232.111|6285.160 7227.541|6285.153 7141.643|6289.920 7141.632|6464.990 7141.521
3130 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3125 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3120 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3115 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3110 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3135 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3140 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3145 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3150 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3155 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3160 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3165 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3170 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3175 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3180 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3185 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3190 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
3235 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1130 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1125 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1120 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
1115 6520 36 ST NE,6301.329 6960.006|6355.645 6960.040|6381.559 6960.062|6464.906 6960.117|6465.221 7050.808|6287.530 7050.897|6285.132 7050.897|6285.104 6987.082|6285.090 6959.995
