ADDRESS,POINTS
37 SAVANNA BV NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
41 SAVANNA BV NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
45 SAVANNA BV NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
49 SAVANNA BV NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
108 9036 46 ST NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
106 9036 46 ST NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
104 9036 46 ST NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
102 9036 46 ST NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
9052 46 ST NE,7396.995 9625.927|7442.287 9625.916|7442.301 9661.498|7417.981 9661.509|7415.918 9661.398|7413.884 9661.098|7411.885 9660.597|7409.942 9659.897|7408.082 9659.018|7406.314 9657.962|7404.664 9656.739|7403.133 9655.349|7401.756 9653.826|7400.525 9652.180|7399.470 9650.412|7398.589 9648.555|7397.897 9646.609|7397.401 9644.619|7397.100 9642.584|7397.002 9640.527
55 SAVANNA BV NE,7444.097 9661.487|7444.083 9625.905|7478.861 9625.894|7478.868 9631.498|7478.875 9648.989|7478.875 9651.980|7478.882 9658.474|7478.882 9661.476
