ADDRESS,POINTS
7704R 80 AV NE,10347.116 9396.165|10346.781 9397.866|10345.474 9403.937|10343.950 9409.953|10342.188 9416.224|10340.217 9422.429|10340.119 9396.265
57 SADDLELAKE GD NE,9709.396 9265.767|9709.662 9262.375|9709.410 9234.087|9709.410 9232.286|9710.011 9231.685|9712.206 9229.484|9726.802 9214.884|9729.452 9212.237|9729.452 9193.423|9729.459 9173.230|9729.459 9161.099|9722.629 9154.260|9707.642 9139.260|9706.726 9138.337|9686.544 9138.337|9671.983 9138.337|9672.333 9137.325|9674.038 9131.321|9674.290 9130.320|9687.663 9130.320|9697.449 9130.320|9707.236 9130.320|9717.617 9130.320|9727.998 9130.320|9737.784 9130.320|9748.158 9130.320|9758.546 9130.320|9768.326 9130.320|9778.714 9130.320|9789.095 9130.320|9800.077 9130.320|9811.059 9130.320|9821.426 9130.320|9830.702 9130.253|9831.205 9130.320|9831.709 9130.431|9833.281 9130.687|9839.223 9132.132|9840.684 9132.244|9840.691 9132.255|9840.775 9132.266|9841.034 9132.410|9864.193 9132.399|9873.029 9141.250|9873.029 9156.506|9873.029 9173.408|9910.512 9173.419|9911.596 9173.419|9913.986 9173.375|9913.965 9188.519|9913.965 9188.586|9909.338 9187.641|9904.780 9186.418|9901.543 9185.495|9898.272 9184.694|9894.972 9184.038|9891.652 9183.516|9888.310 9183.115|9884.962 9182.860|9881.600 9182.737|9878.237 9182.748|9876.790 9182.704|9875.364 9182.504|9873.966 9182.148|9872.617 9181.648|9871.331 9181.003|9870.121 9180.213|9869.003 9179.301|9867.989 9178.278|9867.094 9177.144|9866.332 9175.932|9865.703 9174.631|9865.221 9173.275|9864.885 9171.874|9864.711 9170.450|9864.690 9169.005|9864.822 9167.570|9865.032 9165.402|9865.018 9163.223|9864.773 9161.054|9864.312 9158.919|9863.641 9156.851|9862.753 9154.850|9861.670 9152.959|9860.397 9151.191|9858.950 9149.557|9857.343 9148.078|9855.588 9146.777|9853.715 9145.654|9851.736 9144.731|9849.674 9144.019|9847.549 9143.519|9845.382 9143.241|9841.824 9142.829|9838.315 9142.129|9834.875 9141.150|9831.527 9139.894|9828.157 9138.648|9824.697 9137.692|9821.167 9137.036|9817.588 9136.691|9813.995 9136.647|9810.416 9136.914|9806.864 9137.481|9803.383 9138.359|9800.978 9138.993|9798.546 9139.482|9796.085 9139.816|9793.610 9140.005|9791.122 9140.050|9788.640 9139.938|9786.173 9139.671|9783.726 9139.260|9777.966 9138.326|9772.157 9137.792|9766.320 9137.670|9760.490 9137.948|9757.470 9138.437|9754.569 9139.416|9751.856 9140.850|9749.417 9142.707|9747.047 9145.076|9744.957 9147.689|9743.167 9150.535|9741.706 9153.549|9740.595 9156.707|9739.840 9159.976|9739.462 9163.300|9739.448 9166.658|9739.553 9170.762|9739.434 9174.854|9739.092 9178.946|9738.525 9183.004|9738.064 9186.162|9737.743 9189.331|9737.554 9192.511|9737.498 9195.691|9737.582 9198.883|9737.798 9202.063|9738.155 9205.232|9738.637 9208.379|9738.665 9208.512|9732.912 9208.134|9732.989 9209.813|9733.213 9211.470|9733.332 9212.682|9733.248 9213.894|9732.968 9215.073|9732.500 9216.196|9731.850 9217.219|9731.046 9218.131|9730.095 9218.898|9729.039 9219.498|9727.669 9220.210|9726.369 9221.033|9725.153 9221.978|9724.020 9223.023|9722.993 9224.168|9722.070 9225.392|9721.259 9226.704|9720.574 9228.083|9720.015 9229.517|9719.581 9230.996|9719.295 9232.508|9719.134 9234.043|9719.120 9235.577|9719.246 9237.112|9719.504 9238.624|9719.903 9240.114|9720.993 9244.161|9721.783 9248.276|9722.266 9252.445|9722.426 9256.626|9722.433 9265.767
65 SADDLELAKE GD NE,9786.089 9232.263|9765.124 9232.286|9752.381 9232.286|9741.399 9232.275|9730.424 9232.263|9730.396 9265.744|9729.892 9265.744|9727.411 9265.767|9727.404 9256.626|9727.229 9252.056|9726.712 9247.519|9725.852 9243.027|9724.656 9238.624|9724.237 9236.845|9724.090 9235.021|9724.223 9233.209|9724.628 9231.430|9725.292 9229.728|9726.208 9228.160|9727.355 9226.737|9728.697 9225.503|9730.214 9224.480|9731.871 9223.713|9733.618 9223.190|9735.429 9222.934|9737.253 9222.968|9739.057 9223.268|9740.790 9223.835|9742.419 9224.658|9744.635 9225.803|9746.977 9226.648|9752.206 9228.172|9754.016 9221.856|9756.973 9222.234|9759.951 9222.345|9786.082 9222.289|9788.039 9222.478|9789.912 9223.045|9791.646 9223.979|9793.163 9225.225|9813.023 9245.118|9814.323 9246.730|9815.267 9248.565|9815.812 9250.566|9815.938 9252.623|9815.491 9262.653|9815.281 9269.792|9815.288 9274.829|9815.435 9279.855|9815.735 9284.892|9816.183 9289.907|9816.651 9292.075|9817.588 9294.088|9818.944 9295.845|9820.650 9297.268|9825.117 9299.937|9829.807 9302.183|9832.988 9303.328|9836.273 9304.107|9839.629 9304.529|9843.005 9304.574|9846.368 9304.240|9849.674 9303.528|9852.883 9302.461|9855.945 9301.049|9857.853 9299.781|9859.461 9298.158|9860.705 9296.245|9861.530 9294.110|9862.578 9290.029|9863.445 9285.904|9864.137 9281.745|9864.655 9277.564|9864.871 9274.084|9864.829 9270.603|9864.529 9267.134|9863.977 9263.698|9863.312 9259.484|9863.019 9255.225|9863.089 9250.955|9863.515 9246.708|9864.780 9238.524|9866.193 9230.373|9866.801 9228.194|9867.786 9226.159|9869.108 9224.324|9870.736 9222.745|9872.610 9221.478|9874.686 9220.555|9876.888 9220.021|9879.146 9219.865|9883.466 9219.832|9887.772 9219.476|9892.043 9218.820|9896.252 9217.853|9898.132 9217.274|9899.964 9216.541|9901.732 9215.673|9903.424 9214.661|9905.025 9213.527|9906.542 9212.271|9907.947 9210.892|9909.240 9209.402|9913.958 9203.497|9913.917 9226.615|9910.393 9226.626|9872.959 9226.726|9872.959 9237.134|9872.966 9247.130|9872.966 9257.138|9872.973 9267.145|9872.980 9277.142|9872.980 9287.138|9872.980 9297.123|9872.973 9307.120|9872.973 9313.658|9874.197 9317.517|9879.160 9333.240|9876.629 9334.129|9874.295 9335.452|9872.239 9337.176|9870.520 9339.244|9862.718 9314.414|9853.428 9314.392|9842.250 9314.370|9831.072 9314.370|9820.244 9314.359|9808.668 9314.348|9805.977 9314.336|9805.991 9303.917|9805.998 9293.487|9805.998 9283.068|9805.991 9268.135|9805.984 9252.156|9801.356 9247.531|9786.718 9232.897
40 SADDLELAKE WY NE,10123.924 9383.010|10137.122 9396.220|10134.578 9396.220|10116.878 9396.220|9892.533 9396.176|9889.051 9396.176|9889.289 9392.829|9889.674 9389.504|9890.191 9386.191|9890.855 9382.899|9891.652 9379.652|9892.589 9376.428|9893.658 9373.259|9894.867 9370.123|9896.203 9367.054|9897.664 9364.029|9899.258 9361.083|9900.970 9358.203|9902.809 9355.390|9904.759 9352.665|9906.821 9350.019|9908.995 9347.473|9912.015 9343.903|9914.874 9340.212|9917.559 9336.386|9920.068 9332.450|9922.396 9328.403|9924.542 9324.244|9926.492 9320.007|9928.247 9315.682|9929.806 9311.279|9931.169 9306.809|9932.322 9302.283|9933.266 9297.713|9934.007 9293.109|9934.531 9288.461|9934.853 9283.802|9934.958 9279.143|9934.944 9276.541|9934.958 9276.408|9935.112 9274.962|9935.545 9273.572|9936.237 9272.305|9937.167 9271.182|9938.299 9270.270|9939.586 9269.592|9940.984 9269.180|9942.431 9269.047|10006.072 9269.025|10018.683 9268.869|10031.280 9268.402|10043.870 9267.612|10056.431 9266.523|10068.965 9265.122|10081.457 9263.420|10093.907 9261.397|10106.301 9259.073|10112.628 9257.938|10118.989 9257.015|10120.842 9256.737|10119.248 9266.089|10117.787 9276.519|10116.640 9286.971|10115.822 9297.468|10115.319 9307.976|10115.137 9318.495|10115.137 9319.096|10115.130 9328.336|10115.130 9338.132|10115.130 9347.917|10115.123 9365.330|10115.123 9374.193
45 SADDLEMEAD WY NE,8854.020 8889.972|8823.060 8889.983|8822.514 8877.996|8821.445 8862.140|8819.991 8846.317|8818.145 8830.538|8815.908 8814.804|8815.125 8809.878|8821.466 8808.577|8827.785 8807.188|8834.056 8805.609|8851.574 8833.708|8850.525 8835.409|8849.707 8837.232|8849.134 8839.145|8848.826 8841.113|8848.785 8843.115|8849.008 8845.094|8849.491 8847.040|8850.225 8848.897|8850.854 8850.376|8851.343 8851.910|8851.693 8853.478|8851.909 8855.079|8852.797 8866.521|8853.496 8877.985
8416 SADDLEBROOK DR NE,10131.418 9093.826|10123.526 9101.832|10122.317 9100.753|10121.016 9099.786|10119.632 9098.952|10118.178 9098.251|10116.661 9097.684|10115.095 9097.262|10113.502 9096.984|10111.887 9096.873|10105.176 9097.540|10098.437 9097.751|10091.705 9097.506|10085.001 9096.806|10072.216 9096.806|10069.567 9096.984|10066.966 9097.506|10064.463 9098.374|10062.094 9099.563|10059.906 9101.053|10057.934 9102.821|10056.208 9104.834|10054.775 9107.058|10052.845 9110.238|10050.685 9113.274|10048.308 9116.131|10045.722 9118.800|10042.940 9121.280|10039.983 9123.537|10036.872 9125.572|10033.607 9127.373|10030.224 9128.919|10026.729 9130.209|10023.150 9131.232|10019.508 9131.999|10015.817 9132.477|10012.098 9132.688|10008.372 9132.622|10004.667 9132.277|9978.802 9128.874|9974.936 9128.619|9971.071 9128.863|9935.713 9133.400|9936.377 9117.021|9936.538 9115.142|9936.873 9113.285|9937.384 9111.472|9938.055 9109.716|9938.887 9108.025|9939.879 9106.424|9941.012 9104.912|9942.277 9103.522|9944.052 9101.554|9945.618 9099.408|9946.947 9097.117|9948.023 9094.693|9948.841 9092.180|9949.393 9089.589|9949.673 9086.954|9949.673 9084.308|10023.744 9084.308|10029.155 9084.308|10060.731 9084.308|10097.682 9084.308|10104.491 9084.308|10141.554 9084.308|10174.074 9084.308|10175.367 9089.801|10159.289 9089.801|10142.980 9089.378|10141.387 9089.367|10139.800 9089.534|10138.234 9089.856|10136.717 9090.345|10135.256 9091.001|10133.879 9091.802|10132.593 9092.747
8440 SADDLEBROOK DR NE,10122.953 9187.797|10124.994 9208.868|10123.561 9208.990|10119.856 9204.965|10119.010 9204.031|10112.194 9205.710|10102.009 9208.001|10091.796 9210.069|10081.555 9211.893|10071.286 9213.483|10060.989 9214.839|10050.671 9215.962|10041.227 9216.785|10030.860 9217.475|10020.486 9217.908|10010.106 9218.119|10006.009 9218.142|9999.711 9218.142|9989.323 9218.142|9978.928 9218.142|9969.064 9218.142|9958.677 9218.142|9948.317 9218.220|9934.944 9218.231|9934.944 9199.061|9940.138 9199.872|9945.276 9201.007|9950.330 9202.441|9955.286 9204.198|9957.887 9205.021|9960.564 9205.521|9963.283 9205.688|9966.003 9205.521|9969.917 9205.232|9973.839 9205.321|9985.520 9206.044|9997.208 9206.477|10008.910 9206.644|10020.605 9206.522|10025.135 9206.244|10029.630 9205.599|10034.055 9204.598|10038.389 9203.253|10042.940 9201.796|10047.574 9200.629|10052.272 9199.761|10057.012 9199.194|10061.786 9198.927|10066.561 9198.972|10071.328 9199.316|10076.061 9199.961|10079.122 9200.317|10082.198 9200.373|10085.274 9200.117|10088.301 9199.561|10095.187 9197.871|10102.037 9196.058|10108.860 9194.124|10115.641 9192.078|10117.640 9191.322|10119.541 9190.354|10121.324 9189.175
135R SADDLELAKE WY NE,10134.249 9213.816|10130.104 9214.728|10129.405 9211.014|10128.937 9207.256|10127.902 9196.570|10127.937 9194.546|10128.259 9192.545|10129.195 9189.709|10130.426 9186.996|10133.068 9181.681|10128.713 9179.579|10129.768 9176.599|10130.447 9173.508|10130.726 9170.361|10130.614 9167.192|10129.090 9153.971|10127.140 9140.795|10126.686 9137.492|10126.385 9134.156|10126.252 9130.820|10126.287 9127.473|10126.490 9124.138|10126.853 9120.813|10127.378 9117.510|10128.070 9114.241|10128.328 9112.451|10128.252 9110.627|10132.837 9111.105|10132.970 9108.459|10132.963 9101.554|10133.320 9100.420|10133.823 9099.330|10134.459 9098.329|10135.221 9097.406|10136.095 9096.595|10137.067 9095.905|10138.115 9095.338|10139.234 9094.916|10141.883 9094.293|10142.946 9094.293|10142.953 9105.290|10142.953 9116.287|10142.953 9127.284|10142.953 9129.341|10142.869 9138.015|10142.505 9148.667|10141.869 9159.320|10140.960 9169.950|10139.779 9180.558|10138.325 9191.121|10136.598 9201.652|10134.599 9212.126
26 SAVANNA GR NE,8178.580 9462.793|8211.204 9462.826|8215.699 9467.318|8215.755 9563.980|8211.267 9568.484|8178.642 9568.506|8174.141 9564.002|8174.085 9467.296
110 SAVANNA LD NE,7893.725 9916.001|7893.725 9912.999|7923.882 9913.010|7929.383 9912.999|7927.440 9914.200|7925.580 9915.534|7923.154 9917.447|7920.918 9919.593|7918.883 9921.928|7917.087 9924.441|7915.521 9927.109|7914.221 9929.912|7913.186 9932.836|7912.431 9935.827|7911.746 9938.618|7910.802 9941.331|7909.621 9943.944|7908.195 9946.446|7906.552 9948.804|7904.700 9950.994|7902.651 9953.007|7900.421 9954.830|7898.038 9956.432|7895.521 9957.821|7892.879 9958.967|7890.145 9959.856|7887.342 9960.501|7884.497 9960.890|7881.617 9961.013|7878.744 9960.868|7858.933 9958.933|7855.815 9958.733|7852.690 9958.722|7828.475 9959.434|7819.479 9959.690|7811.132 9959.923|7808.420 9960.157|7805.756 9960.713|7803.177 9961.569|7800.716 9962.714|7798.402 9964.148|7796.270 9965.839|7794.355 9967.762|7792.670 9969.897|7788.441 9975.969|7783.876 9977.992|7783.967 9997.407|7786.931 10012.807|7769.203 10012.819|7769.196 9999.909|7769.182 9986.499|7769.175 9973.100|7769.168 9959.701|7769.161 9943.299|7769.168 9941.787|7819.472 9941.765|7828.461 9941.754|7868.035 9941.732|7869.957 9941.843|7871.865 9942.143|7873.725 9942.655|7875.521 9943.366|7876.996 9943.955|7878.520 9944.378|7880.086 9944.634|7881.673 9944.723|7883.546 9944.612|7885.399 9944.267|7887.181 9943.689|7888.887 9942.899|7890.481 9941.898|7891.935 9940.720|7893.228 9939.352|7894.340 9937.840|7895.255 9936.205|7895.962 9934.471|7896.437 9932.658|7896.689 9930.801|7896.703 9928.922|7896.486 9927.054|7896.038 9925.241|7895.360 9923.485|7894.654 9921.694|7894.137 9919.826|7893.829 9917.925
