ADDRESS,POINTS
63 SHAWNEE RI SW,-567.877 -13593.687|-600.334 -13571.359|-627.457 -13589.050|-659.453 -13609.921|-657.069 -13614.091|-654.447 -13618.116|-651.581 -13621.974|-648.499 -13625.655|-645.192 -13629.135|-641.690 -13632.427|-637.999 -13635.485|-634.126 -13638.331|-589.569 -13668.977|-575.819 -13648.772|-569.968 -13643.713|-564.913 -13636.285|-546.109 -13608.653
103R SHAWNEE RI SW,-472.087 -13484.182|-552.582 -13468.025|-567.996 -13442.984|-609.205 -13432.265|-659.830 -13421.890|-674.720 -13444.385|-662.382 -13438.925|-651.064 -13433.911|-643.451 -13435.467|-625.821 -13439.070|-614.189 -13441.450|-610.645 -13442.172|-601.606 -13447.032|-590.254 -13453.136|-582.760 -13457.161|-572.288 -13462.799|-564.795 -13466.824|-554.316 -13472.451|-546.822 -13476.487|-536.127 -13482.236|-528.633 -13486.261|-517.937 -13492.010|-510.444 -13496.035|-499.972 -13501.662|-499.748 -13501.784|-490.731 -13507.989|-480.720 -13514.883|-473.709 -13519.709|-463.698 -13526.591|-456.687 -13531.417|-452.178 -13534.520|-448.697 -13534.520|-440.147 -13534.542|-428.320 -13534.553|-428.327 -13530.628|-428.292 -13516.717|-428.299 -13513.037|-451.157 -13500.149
114R SHAWNEE PL SW,-654.161 -13312.219|-656.852 -13305.125|-688.673 -13305.669|-694.265 -13304.257|-691.378 -13322.282|-686.897 -13350.325|-684.423 -13365.793|-682.046 -13380.682|-681.564 -13383.684|-676.999 -13412.294|-676.600 -13414.763|-692.000 -13438.025|-693.503 -13440.293|-714.041 -13449.400|-716.963 -13450.701|-708.085 -13457.695|-705.730 -13459.552|-691.937 -13470.405|-687.212 -13463.266|-677.942 -13449.255|-674.720 -13444.385|-659.830 -13421.890|-672.700 -13341.474
65 SHAWNEE RI SW,-567.877 -13593.687|-571.652 -13590.940|-575.273 -13588.016|-578.748 -13584.902|-582.054 -13581.611|-585.186 -13578.153|-588.136 -13574.539|-590.904 -13570.780|-593.470 -13566.889|-600.334 -13571.359
119 SHAWNEE MR SW,-957.009 -14021.498|-957.016 -14018.496|-991.025 -14018.540|-991.549 -14019.963|-992.234 -14021.320|-993.073 -14022.576|-994.045 -14023.733|-995.156 -14024.767|-996.373 -14025.668|-997.687 -14026.413|-999.078 -14027.002|-999.036 -14067.722|-961.910 -14067.688|-961.931 -14054.501|-961.938 -14042.580|-959.477 -14032.039
35 SHAWNEE WY SW,-1282.353 -13959.974|-1285.527 -13956.794|-1285.513 -13967.613|-1285.499 -13983.069|-1278.348 -13983.069|-1269.092 -13992.354|-1269.064 -14018.029|-1232.161 -14017.995|-1228.995 -14017.917|-1225.835 -14017.706|-1222.689 -14017.350|-1219.565 -14016.861|-1225.576 -13983.002|-1237.537 -13983.013|-1259.368 -13983.047|-1267.561 -13974.818
150 SHAWNEE BV SW,-709.903 -13847.578|-706.156 -13847.756|-702.395 -13847.656|-698.662 -13847.267|-694.964 -13846.588|-691.413 -13845.676|-687.925 -13844.520|-684.535 -13843.119|-681.242 -13841.496|-679.117 -13840.461|-676.915 -13839.594|-674.657 -13838.905|-672.350 -13838.393|-670.015 -13838.071|-667.653 -13837.937|-665.297 -13837.993|-662.941 -13838.226|-659.935 -13838.816|-656.999 -13839.716|-654.902 -13840.584|-652.875 -13841.596|-650.931 -13842.763|-649.086 -13844.086|-648.016 -13844.898|-642.242 -13849.313|-639.369 -13851.503|-638.174 -13852.337|-636.894 -13853.049|-635.559 -13853.627|-634.175 -13854.083|-632.749 -13854.394|-631.302 -13854.572|-629.848 -13854.617|-628.394 -13854.505|-616.070 -13853.026|-607.471 -13852.237|-584.745 -13850.791|-576.315 -13850.413|-567.870 -13850.291|-567.724 -13847.789|-567.668 -13846.788|-565.592 -13811.729|-591.827 -13793.871|-632.232 -13766.383|-660.278 -13747.291|-669.875 -13760.935|-687.813 -13786.499
414 SHAWNEE BV SW,-1041.454 -13713.844|-1043.020 -13698.933|-1044.236 -13687.313|-1045.453 -13675.737|-1046.662 -13664.206|-1048.067 -13650.796|-1036.267 -13625.266|-1031.325 -13614.658|-1026.383 -13604.050|-1019.903 -13590.151|-1013.220 -13576.129|-1020.721 -13574.772|-1036.652 -13571.903|-1039.602 -13571.370|-1042.552 -13570.836|-1058.483 -13567.967|-1077.364 -13564.553|-1087.801 -13562.674|-1086.137 -13602.582|-1085.215 -13624.765|-1084.655 -13638.153|-1103.816 -13673.035|-1111.394 -13686.823|-1111.674 -13687.346|-1110.248 -13688.113|-1105.179 -13690.815|-1100.349 -13693.384|-1094.994 -13694.740|-1083.656 -13697.620|-1089.849 -13731.535|-1083.747 -13732.046|-1072.080 -13732.591|-1066.110 -13732.880|-1047.361 -13733.759|-1041.769 -13733.814|-1036.190 -13733.436|-1033.261 -13733.047|-1030.367 -13732.469|-1027.508 -13731.724|-1024.705 -13730.801|-1024.125 -13730.579|-1021.930 -13729.500|-1019.917 -13728.110|-1018.120 -13726.453|-1016.589 -13724.541|-1015.764 -13723.217|-1015.058 -13721.839|-1014.492 -13720.382|-1014.052 -13718.892|-1013.408 -13715.278|-1013.234 -13711.609|-1016.212 -13711.842|-1016.869 -13711.853
655 SHAWNEE BV SW,-1434.438 -13536.399|-1437.220 -13537.667|-1480.827 -13557.626|-1480.855 -13588.649|-1506.985 -13611.378|-1585.705 -13611.300|-1585.705 -13613.090|-1585.719 -13625.288|-1585.733 -13637.475|-1585.740 -13649.673|-1585.754 -13661.860|-1585.768 -13674.158|-1585.782 -13686.445|-1585.796 -13699.233|-1585.803 -13711.531|-1585.817 -13723.818|-1585.831 -13736.616|-1585.845 -13749.404|-1585.859 -13762.191|-1585.866 -13774.690|-1585.866 -13778.670|-1584.873 -13778.670|-1570.808 -13778.670|-1558.645 -13778.670|-1546.474 -13778.670|-1534.304 -13778.670|-1522.133 -13778.670|-1509.963 -13778.659|-1494.780 -13778.659|-1486.112 -13778.659|-1483.022 -13778.659|-1480.827 -13775.835|-1472.948 -13765.716|-1464.133 -13754.385|-1455.318 -13743.066|-1446.510 -13731.735|-1437.695 -13720.404|-1428.881 -13709.085|-1420.066 -13697.754|-1414.207 -13690.226|-1412.963 -13689.325|-1409.901 -13687.491|-1406.539 -13685.878|-1402.995 -13684.700|-1399.332 -13683.966|-1395.613 -13683.710|-1393.474 -13683.777|-1391.342 -13683.999|-1389.238 -13684.377|-1387.161 -13684.911|-1367.728 -13690.626|-1363.638 -13691.683|-1359.479 -13692.450|-1355.278 -13692.906|-1351.056 -13693.073|-1349.748 -13693.084|-1345.575 -13692.850|-1341.423 -13692.316|-1337.319 -13691.494|-1333.286 -13690.393|-1329.343 -13689.003|-1325.498 -13687.335|-1321.786 -13685.411|-1318.221 -13683.221|-1314.642 -13680.663|-1312.174 -13674.459|-1310.734 -13671.011|-1314.397 -13668.498|-1312.244 -13663.417|-1310.469 -13658.180|-1310.049 -13656.445|-1309.798 -13654.677|-1309.721 -13652.898|-1309.826 -13651.119|-1310.070 -13649.506|-1310.462 -13647.927|-1310.993 -13646.393|-1311.657 -13644.903|-1312.461 -13643.491|-1313.384 -13642.145|-1314.425 -13640.900|-1315.572 -13639.743|-1318.263 -13637.386|-1321.045 -13635.129|-1361.290 -13603.861|-1364.142 -13605.440|-1377.619 -13612.868|-1377.228 -13614.747|-1377.032 -13616.659|-1376.899 -13617.493|-1376.606 -13618.283|-1376.151 -13618.994|-1375.557 -13619.606|-1374.851 -13620.073|-1374.068 -13620.384|-1373.236 -13620.529|-1372.390 -13620.496|-1369.517 -13620.262|-1366.644 -13620.362|-1363.792 -13620.785|-1361.010 -13621.552|-1358.340 -13622.631|-1355.809 -13624.009|-1353.453 -13625.666|-1351.307 -13627.601|-1349.539 -13629.480|-1347.868 -13631.448|-1346.302 -13633.505|-1344.841 -13635.640|-1343.981 -13636.763|-1342.961 -13637.753|-1341.898 -13638.643|-1334.998 -13644.380|-1332.461 -13646.482|-1331.405 -13647.438|-1330.441 -13648.494|-1329.574 -13649.629|-1328.805 -13650.830|-1328.155 -13652.097|-1327.616 -13653.420|-1327.197 -13654.788|-1326.903 -13656.178|-1326.736 -13657.601|-1326.694 -13659.025|-1326.785 -13660.459|-1326.994 -13661.871|-1327.337 -13663.250|-1327.798 -13664.607|-1328.378 -13665.908|-1329.070 -13667.153|-1329.874 -13668.332|-1330.776 -13669.444|-1331.776 -13670.455|-1332.866 -13671.378|-1334.027 -13672.201|-1335.264 -13672.913|-1336.557 -13673.513|-1337.899 -13674.003|-1339.277 -13674.358|-1340.682 -13674.592|-1342.101 -13674.703|-1343.527 -13674.681|-1344.939 -13674.536|-1346.337 -13674.258|-1347.707 -13673.858|-1349.035 -13673.347|-1352.551 -13671.656|-1355.984 -13669.811|-1359.325 -13667.787|-1362.562 -13665.596|-1365.456 -13663.750|-1368.518 -13662.194|-1371.719 -13660.948|-1375.026 -13660.025|-1378.409 -13659.447|-1381.835 -13659.191|-1385.267 -13659.280|-1388.671 -13659.714|-1411.376 -13663.728|-1414.389 -13664.395|-1417.339 -13665.341|-1420.191 -13666.541|-1422.925 -13667.987|-1425.525 -13669.677|-1427.958 -13671.590|-1430.216 -13673.713|-1432.271 -13676.026|-1449.006 -13696.586|-1450.320 -13698.021|-1451.774 -13699.322|-1453.354 -13700.467|-1455.046 -13701.434|-1456.821 -13702.224|-1458.681 -13702.824|-1460.582 -13703.225|-1462.519 -13703.425|-1464.469 -13703.425|-1466.405 -13703.225|-1468.307 -13702.824|-1470.159 -13702.224|-1471.942 -13701.434|-1473.634 -13700.456|-1475.213 -13699.322|-1476.667 -13698.021|-1477.975 -13696.575|-1479.128 -13695.007|-1480.114 -13693.317|-1480.925 -13691.538|-1481.540 -13689.692|-1481.959 -13687.791|-1482.183 -13685.845|-1482.204 -13683.899|-1482.022 -13681.953|-1481.645 -13680.040|-1481.064 -13678.172|-1480.295 -13676.382|-1479.345 -13674.670|-1478.226 -13673.080|-1476.947 -13671.601|-1475.521 -13670.278|-1444.805 -13644.325|-1444.043 -13643.513|-1443.477 -13642.557|-1443.134 -13641.511|-1443.029 -13640.399|-1443.176 -13639.299|-1443.554 -13638.265|-1444.155 -13637.331|-1444.945 -13636.552|-1448.167 -13634.028|-1449.090 -13633.216|-1449.901 -13632.282|-1450.593 -13631.270|-1451.159 -13630.170|-1451.579 -13629.013|-1451.858 -13627.801|-1451.991 -13626.578|-1451.963 -13625.344|-1451.788 -13624.121|-1451.467 -13622.931|-1450.998 -13621.785|-1450.397 -13620.707|-1449.663 -13619.717|-1448.810 -13618.817|-1447.860 -13618.038|-1446.818 -13617.382|-1424.036 -13604.873|-1420.723 -13603.183|-1417.304 -13601.726|-1413.795 -13600.492|-1410.209 -13599.480|-1406.574 -13598.713|-1402.890 -13598.190|-1399.185 -13597.901|-1395.466 -13597.856|-1393.110 -13598.090|-1390.817 -13598.701|-1388.650 -13599.669|-1386.665 -13600.970|-1384.218 -13602.871|-1383.030 -13603.883|-1381.925 -13604.984|-1371.873 -13599.435|-1369.014 -13597.867|-1388.133 -13583.034|-1394.557 -13577.875|-1400.814 -13572.515|-1406.888 -13566.966|-1412.788 -13561.218|-1418.493 -13555.269|-1424.008 -13549.153|-1429.328 -13542.859
1316 SHAWNEE RD SW,-1042.083 -13885.740|-1048.088 -13883.983|-1058.882 -13927.672|-1052.639 -13929.217|-1043.957 -13931.386|-1037.665 -13932.953|-1032.884 -13913.605|-1031.220 -13906.911|-1030.976 -13905.911
